date,quarterlyPretaxIncome,annualOtherIntangibleAssets,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,annualTotalNonCurrentAssets,annualNetPPE,annualOtherIncomeExpense,trailingGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,annualGrossProfit,annualEbitda,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyDilutedEPS,trailingRepaymentOfDebt,quarterlyRepaymentOfDebt,quarterlyTaxProvision,annualChangeInInventory,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyAccumulatedDepreciation,quarterlyCurrentDebt,quarterlyCapitalExpenditure,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyCashFlowFromContinuingFinancingActivities,annualDilutedAverageShares,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,trailingOtherNonCashItems,annualBeginningCashPosition,trailingOtherIncomeExpense,quarterlyNetOtherFinancingCharges,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,trailingOperatingExpense,trailingSellingGeneralAndAdministration,annualIncomeTaxPayable,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,trailingInvestingCashFlow,quarterlySaleOfInvestment,annualAccumulatedDepreciation,annualInvestingCashFlow,annualCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,trailingNetIncomeContinuousOperations,trailingPurchaseOfInvestment,quarterlyResearchAndDevelopment,trailingCapitalExpenditure,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,trailingInterestExpense,quarterlyChangeInWorkingCapital,trailingCashDividendsPaid,quarterlyAccountsPayable,annualNonCurrentDeferredTaxesLiabilities,annualDilutedEPS,trailingPurchaseOfBusiness,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue,annualChangesInAccountReceivables,annualBasicEPS,annualNonCurrentDeferredRevenue,quarterlyNetPPE,quarterlyDilutedAverageShares,quarterlyEbitda,annualGoodwill,annualCashFlowFromContinuingFinancingActivities,annualNetOtherFinancingCharges,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualInventory,trailingChangeInInventory,annualChangeInCashSupplementalAsReported,trailingResearchAndDevelopment,annualPurchaseOfInvestment,annualCapitalStock,annualRepaymentOfDebt,annualTotalRevenue,trailingChangesInAccountReceivables,trailingChangeInWorkingCapital,annualInterestExpense,quarterlyCurrentAssets,annualFreeCashFlow,annualCommonStockIssuance,quarterlyCashDividendsPaid,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualOtherShortTermInvestments,annualAccountsPayable,annualChangeInAccountPayable,annualTotalLiabilitiesNetMinorityInterest,annualResearchAndDevelopment,quarterlyOtherNonCashItems,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,quarterlySellingGeneralAndAdministration,trailingTotalRevenue,annualChangeInWorkingCapital,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,annualOtherCurrentAssets,annualOperatingIncome,annualEndCashPosition,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,trailingNetIncome,trailingEndCashPosition,annualNetOtherInvestingChanges,quarterlyTotalRevenue,trailingPretaxIncome,quarterlyPurchaseOfInvestment,trailingTaxProvision,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualPretaxIncome,annualCostOfRevenue,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,annualCurrentDeferredRevenue,annualNetIncome,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualInvestmentsAndAdvances,quarterlyBasicAverageShares,quarterlyTotalAssets,quarterlyBasicEPS,annualCashDividendsPaid,trailingSaleOfInvestment,annualOtherNonCurrentAssets,annualSaleOfInvestment,annualBasicAverageShares,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,annualLongTermDebt,annualStockholdersEquity,annualCurrentAssets,annualOtherNonCashItems,quarterlyOtherCurrentAssets,annualRepurchaseOfCapitalStock,quarterlyNetOtherInvestingChanges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyGoodwill,annualTotalAssets,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualTaxProvision,quarterlyAccountsReceivable,annualDepreciationAndAmortization,annualNetIncomeCommonStockholders,trailingNetIncomeCommonStockholders,annualCurrentLiabilities,annualCurrentAccruedExpenses,quarterlyStockholdersEquity,annualRetainedEarnings,quarterlyNonCurrentDeferredTaxesLiabilities,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyInvestmentsAndAdvances,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyGrossProfit,quarterlyOperatingExpense,annualStockBasedCompensation,quarterlyCommonStockIssuance,trailingDilutedEPS,trailingDilutedAverageShares,quarterlyStockBasedCompensation,trailingCommonStockIssuance,trailingStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,annualDeferredIncomeTax,quarterlyDeferredIncomeTax,quarterlyChangeInInventory,trailingBasicEPS,quarterlyChangeInAccountPayable,trailingBasicAverageShares,quarterlyDepreciationAndAmortization,trailingDeferredIncomeTax,trailingRepurchaseOfCapitalStock
2000-12-31,,,,,14756162000.0,,-707226000.0,13210738000.0,2419791000.0,4129737000.0,,6784049000.0,4954364000.0,,,,,-36077993000.0,,,,-8776669000.0,,,,,-16266476000.0,,7924989000.0,,7884365625.0,,,4799767000.0,,437432000.0,,,1829685000.0,6946506000.0,6455000000.0,,,,,-5528369000.0,,,-2016872000.0,,,1481012000.0,-13288000.0,,-6852022000.0,,,4685050000.0,,0.0,,,0.32,-356300000.0,27835866000.0,,,0.32,,,,,,-2509888000.0,-2509888000.0,,202601000.0,,1194454000.0,,626873000.0,,,,18270938000.0,-2486201000.0,-257953000.0,,,4129737000.0,,,,,6166154000.0,,,,18282118000.0,309477000.0,,,167029416000.0,,180240154000.0,,199529000.0,,6132264000.0,4954364000.0,,,,,746477000.0,19130652000.0,-2016872000.0,,2303511000.0,,822499000.0,2419791000.0,2657663000.0,4247138000.0,11486889000.0,,,,2522997000.0,,,6264232000.0,,,,,,198000000.0,,,7884365625.0,,,,259101000.0,,,5026099000.0,8552055000.0,,,,,,,,,,23308217000.0,,,1589475000.0,,,2522997000.0,617195249.0,,,,,,,13018176000.0,,-5660000.0,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,,761210846.4,,,21383812084.8,20557990824.0,170040041.28,,4498259003.52,1940953139.52,,4341629451.84,4772412456.96,,,,,,,,-501817209.6,,33756396014.4,,,,,,,,8122481900.0,-8278.08,,,1800200945.28,,,,1383507232.32,,,,,,,,,-13198405190.4,-2575600420.8,-2944521334.08,,,,,,,,,,,,,0.165562,,,,,0.165562,,,,,,3108063082.56,-1141182996.48,3833885136.96,,3800102292.48,,2473415801.28,,-3245007.36,10352459232.96,,15987787027.2,,,549407891.52,,-1003568194.56,3441644872.32,,98881665.6,,,2375808.96,2126009617.92,,18871389970.56,144046870.08,,5391811514.88,,,,-1630069845.12,,,644291244.48,2958122219.52,4273616746.56,,,,,,471734666.88,,,,,4495883194.56,1588066867.2,2344882053.12,11646157575.36,,,,1588066867.2,5477506199.04,,,,,,,,,20893873.92,8989994.88,8122481900.0,,,,1409624574.72,,5391819792.96,14095972570.56,12013431150.72,-703727858.88,,,,,,,,,33397243235.52,,,756815185.92,,1814290237.44,1588066867.2,,13479578455.68,2042177501.76,,392198874.24,,1431023411.52,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-31,,,,,,,,,,,,,,,,,0.024968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3992186914.2,,,,,,,,,,,,,,,11447019868.0,3992186914.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3992186914.2,,,,,,,,,,,,,285804018.0,,,11447019868.0,,0.024968,,,,,,,285804018.0,285804018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-30,379509492.6,,743146153.2,,,,,,,,3008662237.2,,,3008662237.2,,10485890434.8,0.024967,,,93715845.6,,,,-13180898898.0,5390496418.2,,,135960726.6,,,,,,,,,,98353688.7,,,,,34130391666.0,,,,,,,,,,,19063932.6,,524861644.8,1212213140.1,,,,1985864892.3,,,,,,,,,20949492768.0,10491735800.0,552696970.5,,,,,,,,,,,,,,,,,10334048609.1,,,,,11961030423.3,,,,,,,,,,219656847.0,,,,,,,,785002480.5,5023668657.0,21734743261.5,,,,3992042049.3,,,,,,,,,16984699080.3,,,,285793647.0,,,10491735800.0,32068791870.6,0.024967,,,,,,20709085.5,285793647.0,285793647.0,,-8267.1,,,,,556863588.9,,,3810694943.7,-13574578.2,,,,,3157544441.1,3372455972.7,,2401146126.6,,,,,,14675086284.9,,,,,,,,5023676924.1,834497608.2,309635963.4,,,,,,,,,,,,,,,,,,
2002-09-30,,,,,,,,,,,,,,,,,0.057686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4389858011.58,,,,,,,,,,,,,,,10491735800.0,4389858011.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4389858011.58,,,,,,,,,,,,,413776718.82,,,10491735800.0,,0.057686,,,,,,,413776718.82,413776718.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,,736765676.16,736765676.16,,23356569607.68,22558330909.44,46738039.68,,2341711548.48,2671137742.08,2341711548.48,3433606856.64,4147376026.56,2341711548.48,,10499809056.96,,,,,484673305.92,,37610645228.16,-15052314318.72,5102095271.04,,,,,,10777728257.0,0.0,,,4272656489.28,,,385493629.44,1311413433.6,,,,37610645228.16,,,,,-15052314318.72,-3779936889.6,-3893296917.12,,,,,,-10249199064.9,1129833748.8,,,,1971043960.32,,0.130016,,,,,0.130016,,22558330909.44,,-10249199064.9,,-868304367.36,101580319.68,1129833748.8,,3255984094.08,,-1977103514.88,,-13650553.92,10499809056.96,,16788873384.96,,,490501074.24,8555991701.76,-1222159175.04,204708640.32,,385493629.44,11006361328.32,,,1971043960.32,,15954509145.6,131911204.8,,4948147817.28,,,,-201505023.36,,,570376268.16,2122193423.04,2295552974.4,1324815645.12,4948147817.28,23356569607.68,,,97341942.72,4417480897.02,,,,2341711548.48,1401271992.0,1631435728.32,13355266528.32,,15954509145.6,,1401271992.0,5102095271.04,416090508.78,,,,31912561309.44,,-217937012.16,,28749771.84,380791.68,10777728257.0,28749771.84,416090508.78,416090508.78,1226496888.96,0.0,4948147817.28,15520348683.84,8555991701.76,-1227523370.88,570376268.16,,,3255984094.08,,,,,31912561309.44,,2803388348.16,183351193.92,847783007.04,2025182603.52,1401271992.0,,11006361328.32,2803388348.16,15520348683.84,1324815645.12,,847783007.04,,,,,4948147817.28,,,,,,,,,,,,,,,,,,,,
2003-03-31,,,,,,,,,,,,,,,,,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5169762622.05,,,,,,,,,,,,,,,10500110375.0,5169762622.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5169762622.05,,,,,,,,,,,,,787508687.65,,,10500110375.0,,0.075,,,,,,,787508687.65,787508687.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-30,1053311806.0,,714901034.0,,,,,,,,2456507899.9,,,2456507899.9,,10499906122.2,0.075,,,231564689.95,,,,-15052441602.1,4909158181.9,,,113808006.2,,,,,,,,,,388957155.9,,,,,38597644242.95,,,,,,,,,,,26821206.0,,1213676127.8,1038667758.65,,,,1897178138.85,,,,,,,,,23545202640.85,10499900200.0,1243792037.5,,,,,,,,,,,,,,,,,8646833966.55,,,,,10761371489.95,,,,,,,,,,263336229.65,,,,,,,,2383900246.25,5099299009.25,24403804080.7,,,,5169762622.05,,,,,,,,,15860670499.2,,,,787508687.65,,,10499900200.0,33050638047.25,0.075,,,,,,32773195.85,787508687.65,787508687.65,,0.0,,,,,1146788675.8,,,3748263538.5,-82500042.9,,,,,3598404189.05,2916367410.55,,466258520.6,,,,,,16627500368.15,,,,,,,,5099299009.25,1571358433.0,357682305.2,,,,,,,,,,,,,,,,,,
2003-09-30,,,,,,,,,,,,,,,,,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6453182163.6,,,,,,,,,,,,,,,10405367724.0,6453182163.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6453182163.6,,,,,,,,,,,,,988510447.8,,,10405367724.0,,0.095,,,,,,,988510447.8,988510447.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,,706018579.05,706018579.05,,26439740569.85,25554210308.05,17400671.3,,2596441747.5,6002511399.45,2596441747.5,6806328042.6,7170922603.05,2596441747.5,,10499906122.2,,,,,-819478902.95,,42119690776.4,-16565480468.35,4617129884.35,,,,,,10445361377.0,0.0,,,2296085631.05,,,1155695965.2,1727848580.6,,,,42119690776.4,,,,,-16565480468.35,-5395259428.05,-5352775962.25,,,,,,-11714219667.55,952508773.45,,,,1867666534.1,,0.340058,,,,,0.340058,,25554210308.05,,-11714219667.55,,-306895854.95,131672253.9,952508773.45,,4125821681.85,,300356116.45,,-51067907.35,10499906122.2,,23245873015.0,,,451407519.5,8638572372.85,649735437.2,80596068.4,,1155695965.2,10271404347.75,,,1867666534.1,,15684031334.5,173361017.3,,5412626986.75,,,,26465245.55,,,1128419460.95,5078479462.0,2596441747.5,3593147563.8,5412626986.75,26439740569.85,,,-46423865.2,6453173885.45,,,,2596441747.5,3552029992.75,4628263996.1,16439544972.4,,15684031334.5,,3552029992.75,4617129884.35,988502169.65,,,,35078312942.7,,-496349595.85,,42632472.5,4966890.0,10445361377.0,42632472.5,988502169.65,988502169.65,1268013904.4,0.0,5412626986.75,18742352461.25,8638572372.85,-1427351735.6,1128419460.95,,,4125821681.85,,,,,35078312942.7,,2834099155.85,918866371.85,384991922.05,2092443141.05,3552029992.75,,10271404347.75,2834099155.85,18742352461.25,3593147563.8,,384991922.05,,,,,5412626986.75,,,,,,,,,,,,,,,,,,,,
