date,trailingTaxProvision,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualNetOtherFinancingCharges,trailingEndCashPosition,annualTaxProvision,annualCurrentDebt,annualEndCashPosition,quarterlyNetIncomeCommonStockholders,trailingTotalRevenue,trailingCostOfRevenue,trailingOperatingIncome,annualResearchAndDevelopment,trailingNetIncomeContinuousOperations,annualOtherCurrentAssets,quarterlyPurchaseOfInvestment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,quarterlyEbitda,quarterlyRetainedEarnings,annualOperatingExpense,annualFreeCashFlow,annualOtherNonCurrentAssets,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyCurrentLiabilities,trailingSellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyGrossPPE,trailingOperatingExpense,annualRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyFreeCashFlow,annualCostOfRevenue,annualNetIncomeContinuousOperations,annualBeginningCashPosition,quarterlyOperatingIncome,quarterlyTotalRevenue,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualTotalAssets,trailingPretaxIncome,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,quarterlyCostOfRevenue,annualLongTermDebt,quarterlyOtherCurrentAssets,annualNetIncome,annualCashDividendsPaid,annualEbitda,annualCurrentAssets,annualNetIncomeCommonStockholders,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,quarterlyBasicEPS,trailingSaleOfInvestment,annualCommonStockIssuance,quarterlyGrossProfit,annualOtherIntangibleAssets,annualSaleOfInvestment,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,quarterlyOperatingExpense,annualStockholdersEquity,annualDilutedAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsReceivable,trailingNetIncomeCommonStockholders,quarterlyNonCurrentDeferredTaxesLiabilities,annualDepreciationAndAmortization,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyBasicAverageShares,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyStockholdersEquity,annualRetainedEarnings,quarterlyNetPPE,quarterlyTaxProvision,quarterlyInventory,annualChangeInInventory,quarterlyRepaymentOfDebt,quarterlyInterestExpense,annualOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOperatingCashFlow,annualNetPPE,annualTotalNonCurrentAssets,annualInventory,annualCurrentLiabilities,quarterlyCurrentDebt,annualDilutedEPS,annualGrossProfit,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyDilutedAverageShares,annualNonCurrentDeferredTaxesLiabilities,annualCashCashEquivalentsAndMarketableSecurities,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyPretaxIncome,quarterlyCapitalExpenditure,annualOtherNonCurrentLiabilities,annualBasicAverageShares,annualPurchaseOfBusiness,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,trailingNetIncome,annualGoodwill,trailingCashDividendsPaid,trailingInterestExpense,trailingBeginningCashPosition,annualPretaxIncome,trailingPurchaseOfInvestment,annualNonCurrentDeferredRevenue,quarterlyTotalNonCurrentAssets,annualInterestExpense,quarterlyDilutedEPS,quarterlyTotalAssets,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,quarterlyOtherCurrentLiabilities,quarterlyBeginningCashPosition,trailingCapitalExpenditure,quarterlySaleOfInvestment,quarterlyCapitalStock,annualGrossPPE,trailingChangeInCashSupplementalAsReported,trailingInvestingCashFlow,quarterlyChangeInCashSupplementalAsReported,annualAccumulatedDepreciation,annualBasicEPS,annualOperatingIncome,trailingRepaymentOfDebt,quarterlyAccountsPayable,annualPurchaseOfInvestment,trailingResearchAndDevelopment,annualCapitalStock,annualRepaymentOfDebt,annualTotalRevenue,annualCapitalExpenditure,annualOtherCurrentLiabilities,trailingGrossProfit,annualInvestingCashFlow,annualChangeInCashSupplementalAsReported,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,trailingNetOtherInvestingChanges,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,annualStockBasedCompensation,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyOtherNonCashItems,trailingNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,trailingOperatingCashFlow,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingBasicEPS,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,quarterlyOperatingCashFlow,annualGainsLossesNotAffectingRetainedEarnings,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,trailingChangeInInventory,trailingPurchaseOfBusiness,quarterlyCurrentDeferredRevenue,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,annualIncomeTaxPayable,trailingDepreciationAndAmortization,trailingOtherIncomeExpense,quarterlyChangeInInventory,trailingDilutedAverageShares
2004-12-31,34117122.78,,,12307000.0,639520622.53,13953000.0,96660000.0,361625000.0,,5831765539.88,5059636501.58,-674910402.03,,-875683667.47,69206000.0,,,,,,426829000.0,-412014000.0,0.0,,,,1078546416.55,,-52497446.5,,1447039440.33,,,,3905535000.0,7759000.0,384994000.0,,,397437000.0,66027000.0,3649665000.0,-841566544.69,,,,0.0,,9860000.0,-8623000.0,123399000.0,2345076000.0,11961000.0,,396000000.0,,894243073.17,,,,261074000.0,19661000.0,,,2077131000.0,785000000.0,,96926000.0,-832966573.6,,89867000.0,,,,,,,,,,,,-84525000.0,,,-33062000.0,,,,-282118000.0,887411000.0,1304589000.0,865110000.0,1412889000.0,,0.0152,341019000.0,,,,,417098000.0,,,,,,785000000.0,-800000.0,,,-832966573.6,-1758000.0,-142212757.71,176663280.4,1722180655.49,23813000.0,45366828.43,,,9719000.0,,,,-369877000.0,,,-178729208.21,,,,-1076754434.36,760966463.04,,,0.0152,28217000.0,-3937456500.0,,-4689000.0,370895229.16,785000000.0,-186907000.0,4246554000.0,-129896000.0,0.0,772129038.3,223702000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,,,,700000.0,,-17183000.0,172250000.0,435067000.0,,,,,,,121124000.0,,,,,,520629000.0,57920000.0,0.0,,,,,,,,,,,,4408063000.0,-70162000.0,361625000.0,,,542429000.0,-60750000.0,3821630000.0,,,,,1000000.0,,-60299000.0,-3721000.0,18830000.0,2476497000.0,-50436000.0,,434503000.0,,,,,,0.0,3576000.0,,,2030919000.0,785000000.0,,193685000.0,,,85126000.0,,,,,,,,,,,,89535000.0,,,-21968000.0,,,,241468000.0,936763000.0,1345133000.0,755227000.0,1625733000.0,,-0.0642,357765000.0,,,,,546005000.0,,,,,146536000.0,785000000.0,0.0,,,,0.0,,,,-77482000.0,,,,11186000.0,,,,187347000.0,,,,,,,,,,,-0.0642,-59341000.0,,,-66908000.0,,785000000.0,-153040000.0,4765828000.0,-183548000.0,0.0,,-242838000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,,,,1725000.0,,15251000.0,441558000.0,708030000.0,,,,,,,122440000.0,,,,,,596841000.0,61196000.0,0.0,,,,,,,,,,,,5509093000.0,71583000.0,435067000.0,,,765904000.0,-7828000.0,4991222000.0,,,,,120000000.0,,72216000.0,-6570000.0,201977000.0,3232980000.0,72849000.0,,568228000.0,,,,,,56000000.0,3487000.0,,,2198031000.0,785000000.0,,174820000.0,,,97917000.0,,,,,,,,,,,,15725000.0,,,-21690000.0,,,,242184000.0,1232240000.0,1758242000.0,852366000.0,2418807000.0,,0.0928,592358000.0,,,,47850000.0,769391000.0,,,,,27680000.0,785000000.0,,,,,52990000.0,,,,87467000.0,,,,16593000.0,,,,54197000.0,,,,,,,,,,,0.0928,102233000.0,,,-8644000.0,,785000000.0,-294400000.0,6101451000.0,-180988000.0,0.0,,-82947000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,,,,0.0,,40024000.0,459900000.0,1049905000.0,,,,,,,151640000.0,,,,,,733530000.0,-100454000.0,0.0,,,,,,,,,-33827000.0,,,5976022000.0,181762000.0,708030000.0,,,1147084000.0,-81202000.0,5488083000.0,,,,,214000000.0,,197780000.0,-2992000.0,385528000.0,3829429000.0,181762000.0,,669677000.0,,,255824000.0,,,108873000.0,47365000.0,,,2575045000.0,796346000.0,,194215000.0,,,116135000.0,,,,,,,,,,,,14332000.0,,,-23233000.0,,,,86092000.0,1256455000.0,1658654000.0,841800000.0,2366144000.0,,0.2282,799412000.0,,,,25225000.0,1194449000.0,,,,,177848000.0,796346000.0,-17046000.0,,,,52990000.0,,,,237804000.0,,105154000.0,,31589000.0,,,,-149038000.0,,,,,,,,,,,0.2282,282042000.0,,,-14162000.0,,845900000.0,-627709000.0,6775434000.0,-186546000.0,0.0,,-73036000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,,,,0.0,,10261435.0,225000000.0,1149387530.0,,,,,,,50000000.0,,312659753.0,1566066360.0,,,812060241.0,138529282.0,502475431.0,2927592456.0,,,,,,,,,,,7279594565.0,96999340.0,1271984995.0,,,1217830638.0,9202500.0,5743473330.0,,,,,194690129.0,,78566641.0,-77737322.0,111798404.0,3666557462.0,78566641.0,,804546473.0,,,0.0,,110265160.0,120629008.0,4444370.0,,,2597876095.0,845711959.0,,606468815.0,,,128273000.0,,,,,,,,-7327085.0,,,,-70662000.0,,,0.0,,,,297267000.0,1282572970.0,2076915868.0,1065477384.0,2614932703.0,,0.0929,931594518.0,,,,4331580.0,1222275008.0,,,,,113638044.0,845711959.0,,,,,52990000.0,,,,107260775.0,,103774000.0,,4537629.0,,,,90929000.0,,,,,,1282572970.0,,,,-1593032000.0,0.0929,119534277.0,,,-111453893.0,,845900000.0,-794950000.0,8211189083.0,-191271274.0,274732317.0,,-145872825.0,-122597465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,,,,54282634.0,,87156133.0,156000000.0,1187782578.0,,,,,,,0.0,,144946643.0,1730425897.0,,,988463813.0,183108072.0,547401517.0,2969110476.0,4162432000.0,2632606000.0,,2837615000.0,,2921023000.0,,,103700000.0,,7985359625.0,286608206.0,1149387530.0,,,1260165718.0,3580000.0,6043649269.0,,,,,13472700.0,323139000.0,252422877.0,-71814111.0,522335315.0,3900031082.0,252422877.0,0.0,979773196.0,,,54818000.0,,99892292.0,85981843.0,28941581.0,,,2844607558.0,845921170.0,205009000.0,555635485.0,,13109000.0,119548041.0,0.0,,,52990000.0,,,2815226000.0,173466901.0,1176405000.0,,1018867000.0,-134046364.0,,,26269889.0,,915181000.0,925321000.0,338319929.0,1238690707.0,2143618187.0,1060046603.0,2824163833.0,143000000.0,0.2984,1333257751.0,,,,13109169.0,1289107299.0,,,,,118364774.0,845921170.0,,0.0,-1744618000.0,,52990000.0,,,,373764339.0,,103700000.0,1680777000.0,29022935.0,,5843209000.0,10140000.0,-94774742.0,296246000.0,,,,845900000.0,1238690707.0,,,,-1744618000.0,0.2984,344793938.0,,,-49467703.0,,845900000.0,-533911500.0,9318617376.0,-155211857.0,327668611.0,,-54193610.0,38395048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,,,,,,,,,,,,,,,,,,,101508000.0,,,,,5841354000.0,4095635000.0,,4383632000.0,,,,,102169000.0,,,,,,,,,,,329271000.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,287997000.0,,,10154000.0,,100000000.0,,,52990000.0,,,2957587000.0,,1201659000.0,,690319000.0,,,,,,1050149000.0,1155270000.0,,,,,,476922000.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,1702107000.0,,,7543461000.0,105121000.0,,0.0,,,,845900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,,,58000000.0,,84092609.0,425726315.0,1209255670.0,,,,,,,350000000.0,,736577392.0,2026864332.0,,,1014028297.0,-23823384.0,548088458.0,4797671855.0,5765534000.0,3905113000.0,,4715013000.0,,3444844000.0,,,106748000.0,,8726675048.0,562049172.0,1187782578.0,,,1362562903.0,4200000.0,8341699937.0,,,,,600000000.0,175728000.0,542669716.0,-280845330.0,814719153.0,5364054650.0,542669716.0,0.0,1002230356.0,,,22000000.0,,215198306.0,34833529.0,251993572.0,,,3151779923.0,845938762.0,809900000.0,586013465.0,,27062000.0,128343674.0,600000000.0,,,,,,3082948000.0,484824123.0,1814315000.0,,1329527000.0,-306531102.0,,,30891164.0,,1512162000.0,1765156000.0,543234318.0,1830550678.0,2977645287.0,1376834673.0,4061094463.0,505258000.0,0.6415,1494129917.0,,,,27061629.0,1614556475.0,,,,,109515763.0,845938762.0,-119917669.0,0.0,-1630529000.0,,,,,,646141781.0,,106748000.0,2427802000.0,40233698.0,,8193336000.0,252994000.0,38856771.0,99500000.0,,,,845900000.0,1830550678.0,,,,-1630529000.0,0.6415,480101620.0,,,-332081817.0,,845900000.0,-753000000.0,10220804965.0,-567057702.0,821873589.0,,-863852183.0,21473092.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,,,,,,,,,,,,,,,,,,,688388463.0,,,,,5807709499.0,5271744332.0,,5607315615.0,,1987465563.0,,,115309000.0,,,,,,,,,,,1611036531.0,,,,50000000.0,,,,,,118136720.0,,,,,,,,,,,,,335571283.0,,,17434563.0,,200000000.0,,,,,,3213989306.0,,1987465563.0,,1138997176.0,,,,,,1165244771.0,1365105381.0,,,,,,1293336218.0,,,215204781.0,,,,,,,,,,,,767042174.0,,,,,,,,,,3423708972.0,,,9231418471.0,199860610.0,,751422472.0,,,,845900000.0,,,,,,,,,2622305444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,,1207801614.37,-186388391.25,,,,,,45750107.84,,,,,,,-28963990.6,,,73516672.04,,,,,,,,,,,,,,,38779940.71,,,,70437544.85,2352988185.58,,,,,,14100000.12,2006840460.66,,,,,,,,,,0.0541,,,346147724.92,,,,-86975718.09,275710180.07,,,,,,,,,53222106.68,845658186.0,,270402532.75,45750107.84,,,,16608540.78,,,-456354660.38,3686024.58,,,,,,,,,,,,,,-0.23,845658186.0,,,0.0,,69830647.46,-181413476.05,,,,,,,,,,,,,,,,0.0541,,,,,990622723.0,,8700357.32,,,,,217178891.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
