,quarterlyOperatingCashFlow,annualPurchaseOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,trailingInvestingCashFlow,quarterlyNetIncome,annualInvestingCashFlow,annualPretaxIncome,quarterlyNetIncomeContinuousOperations,trailingPretaxIncome,annualNonCurrentDeferredTaxesLiabilities,annualNonCurrentDeferredRevenue,annualTotalAssets,trailingCashDividendsPaid,trailingNetIncome,trailingPurchaseOfBusiness,annualStockholdersEquity,annualLongTermDebt,annualOtherNonCashItems,quarterlyDilutedEPS,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,quarterlyAccountsReceivable,annualCurrentLiabilities,trailingStockBasedCompensation,annualRetainedEarnings,trailingChangeInInventory,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualDepreciationAndAmortization,quarterlyGoodwill,annualCommonStockIssuance,annualGoodwill,annualStockBasedCompensation,annualDilutedAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,trailingChangeInWorkingCapital,annualCapitalStock,quarterlyInventory,quarterlyInvestmentsAndAdvances,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,annualAccountsReceivable,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalRevenue,quarterlyCashAndCashEquivalents,annualChangeInAccountPayable,trailingOtherIncomeExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingGrossProfit,annualAccountsPayable,trailingOperatingIncome,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,quarterlyDepreciationAndAmortization,annualBasicAverageShares,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualNetPPE,annualOtherIncomeExpense,annualEbitda,trailingTotalRevenue,trailingRepaymentOfDebt,quarterlyCapitalStock,annualOperatingIncome,quarterlyBeginningCashPosition,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,trailingChangeInCashSupplementalAsReported,quarterlyInterestExpense,quarterlyCurrentDebt,annualGrossPPE,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,trailingCashFlowFromContinuingFinancingActivities,trailingEndCashPosition,annualInvestmentsAndAdvances,annualIncomeTaxPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentLiabilities,quarterlyFreeCashFlow,trailingCapitalExpenditure,annualCapitalExpenditure,trailingDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyIncomeTaxPayable,annualDeferredIncomeTax,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,trailingInterestExpense,quarterlyOtherCurrentAssets,annualAccumulatedDepreciation,quarterlyNonCurrentDeferredRevenue,trailingBeginningCashPosition,annualSellingGeneralAndAdministration,quarterlyChangeInWorkingCapital,annualOtherNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangesInAccountReceivables,annualCurrentAssets,trailingOperatingExpense,annualRepurchaseOfCapitalStock,trailingNetIncomeContinuousOperations,quarterlyStockBasedCompensation,quarterlyBasicEPS,trailingNetIncomeCommonStockholders,quarterlyEbitda,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,annualNetOtherFinancingCharges,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualNetIncomeCommonStockholders,quarterlyNetOtherInvestingChanges,quarterlyGrossProfit,trailingChangesInAccountReceivables,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualInterestExpense,annualRepaymentOfDebt,quarterlyBasicAverageShares,quarterlyOperatingExpense,quarterlyChangeInInventory,annualDilutedEPS,quarterlyCurrentDeferredRevenue,annualOtherCurrentAssets,annualTotalNonCurrentAssets,quarterlyOtherNonCashItems,trailingFreeCashFlow,annualGrossProfit,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,quarterlyTaxProvision,annualInventory,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,trailingCostOfRevenue,annualChangeInWorkingCapital,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyRetainedEarnings,annualBasicEPS,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,annualNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,annualChangeInInventory,trailingTaxProvision,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyDilutedAverageShares,annualNetIncome,annualFreeCashFlow,annualCurrentDebt,quarterlyAccumulatedDepreciation,annualCurrentDeferredRevenue,trailingOtherNonCashItems,annualCashDividendsPaid,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualBeginningCashPosition,annualPurchaseOfBusiness,annualCostOfRevenue,annualResearchAndDevelopment,trailingBasicAverageShares,quarterlySaleOfInvestment,annualSaleOfInvestment,trailingDilutedEPS,trailingBasicEPS,trailingResearchAndDevelopment,trailingCommonStockIssuance,trailingSaleOfInvestment,trailingPurchaseOfInvestment,trailingChangeInAccountPayable,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915062400,,,,,,,-1035700000.0,1127000000.0,,,,,7923200000.0,,,,4373900000.0,1608700000.0,-143300000.0,,,,,,,1771300000.0,,1526800000.0,,,,1021800000.0,,7800000.0,,,475172414.0,,,,69700000.0,,,,,685600000.0,1496300000.0,1768400000.0,4842700000.0,,,,,,748300000.0,,,,81400000.0,134400000.0,,475172414.0,-775900000.0,81400000.0,5810100000.0,971300000.0,1391100000.0,,,,369300000.0,,81400000.0,61900000.0,,,,,,,,,,,,,,,,,,,159700000.0,,,-1097600000.0,,,,,81500000.0,,,,,,,,,,822300000.0,,,1156400000.0,,-47600000.0,,,,,,-315300000.0,,1500000.0,,241100000.0,,68900000.0,,,,,,,,209000000.0,,,,,0.145,,389400000.0,6766800000.0,,,1391100000.0,,,,3539700000.0,524000000.0,,,,,,,,,,,0.145,,,603000000.0,,,,,,,72400000.0,398700000.0,781900000.0,,,,-309700000.0,1021800000.0,,396700000.0,,3451600000.0,,,,,,,,,,,,,
922838400,372200000.0,,-96100000.0,159500000.0,,-129600000.0,,,-129600000.0,,,,,,,,,,,-0.275,,1100000.0,,,,,,,,856100000.0,,,,,,,,,1616600000.0,,,,,,-222100000.0,,,,,,,,,,,,-83900000.0,,,,263400000.0,,,,,,,,,69700000.0,,81400000.0,,,,46600000.0,,,,,,,,,3515300000.0,7600800000.0,-130700000.0,986100000.0,,6676100000.0,,300000.0,,148500000.0,,,,-1600000.0,,,,-37700000.0,,,,,,,,,,,,,,,,,-0.275,,325000000.0,,,,4076100000.0,,,,-46100000.0,325000000.0,,,,-14700000.0,-269800000.0,,,475272727.0,263400000.0,,,,,,-51900000.0,,,924700000.0,,1739200000.0,,,-77900000.0,,,1776100000.0,,,,-207500000.0,5690000000.0,1313300000.0,,,-223700000.0,,-198500000.0,,,61600000.0,1181100000.0,475272727.0,,,,,,,,,,,,,,,,,,,,,,,,,
930700800,351800000.0,,-8700000.0,152000000.0,,134500000.0,,,134500000.0,,,,,,,,,,,0.28,,800000.0,,,,,,,,875300000.0,,,,,,,,,1497700000.0,,,,,,270100000.0,,,,,,,,,,,,-83500000.0,,,,265200000.0,,,,,,,,,69700000.0,,-14700000.0,,,,45200000.0,,,,,,,,,3652100000.0,7790400000.0,133600000.0,1003000000.0,,6726000000.0,,800000.0,,60500000.0,,,,300000.0,,,,45000000.0,,,,,,,,,,,,,,,,,0.28,,306000000.0,,,,4127900000.0,,,,3900000.0,306000000.0,,,,-23400000.0,-287400000.0,,,477142857.0,265200000.0,,,,,,-43500000.0,,,1064400000.0,,2002400000.0,,,130100000.0,,,1649700000.0,,,,264600000.0,5723000000.0,1364100000.0,,,-291300000.0,,-73100000.0,,,40800000.0,1181300000.0,477142857.0,,,,,,,,,,,,,,,,,,,,,,,,,
938649600,439700000.0,,103100000.0,147100000.0,,144300000.0,,,144300000.0,,,,,,,,,,,0.305,,700000.0,,,,,,,,862700000.0,,,,,,,,,1502600000.0,,,,,,270200000.0,,,,,,,,,,,,-83700000.0,,,,266700000.0,,,,,,,,,69700000.0,,-23400000.0,,,,50300000.0,,,,,,,,,3573500000.0,7773200000.0,143500000.0,766800000.0,,6462200000.0,,400000.0,,192200000.0,,,,0.0,,,,34000000.0,,,,,,,,,,,,,,,,,0.305,,325700000.0,,,,4189200000.0,,,,6600000.0,325700000.0,,,,79700000.0,-240900000.0,,,470491803.0,266700000.0,,,,,,,,,1311000000.0,,1923800000.0,,,134200000.0,,,1649700000.0,,,,278500000.0,5695400000.0,1422100000.0,,,-247500000.0,,-95700000.0,,,59000000.0,1188400000.0,470491803.0,,,,,,,,,,,,,,,,,,,,,,,,,
946598400,481400000.0,,-112000000.0,141000000.0,,200700000.0,-1198300000.0,646600000.0,200700000.0,,,,7811100000.0,,,,4307700000.0,1555500000.0,329500000.0,,259200000.0,900000.0,,,698100000.0,1794500000.0,,1457500000.0,,950800000.0,,1062100000.0,,3500000.0,,,474246575.0,,1555500000.0,,69700000.0,56300000.0,,,-632600000.0,698100000.0,1645100000.0,1696500000.0,5761800000.0,,,,,,929800000.0,,-83800000.0,,,64800000.0,266800000.0,474246575.0,-560500000.0,-32300000.0,5873400000.0,-315600000.0,2216900000.0,,,69700000.0,1154800000.0,79700000.0,,-39300000.0,,46600000.0,605500000.0,14410600000.0,,,,,,,3491000000.0,7811100000.0,199800000.0,626600000.0,64800000.0,6564800000.0,7400000.0,400000.0,141000000.0,44700000.0,,-1199200000.0,,-500000.0,14410600000.0,,-10100000.0,-51400000.0,929800000.0,,491900000.0,-8537200000.0,,,,38100000.0,626600000.0,7400000.0,,1246300000.0,,-1800000.0,,,,,1259200000.0,-113700000.0,,1900000.0,4307700000.0,259200000.0,,346200000.0,-3700000.0,1259200000.0,,,,-32300000.0,-400200000.0,188700000.0,,,266800000.0,,0.73,,491900000.0,6564800000.0,,,2216900000.0,1246300000.0,,1794500000.0,3491000000.0,296900000.0,110500000.0,56300000.0,,1696500000.0,,,-90400000.0,311200000.0,5873400000.0,1457500000.0,0.73,,-436700000.0,349700000.0,-193200000.0,,,992400000.0,2210000000.0,,349700000.0,445900000.0,605500000.0,-8537200000.0,,,-334900000.0,1062100000.0,,81400000.0,,3544900000.0,,,,,,,,,,,,,
954460800,388800000.0,,183500000.0,138000000.0,,162400000.0,,,162400000.0,,,,,,,,,,,0.34,257400000.0,5900000.0,,,684000000.0,,,,,872700000.0,,,,,,,,,1477000000.0,,,57400000.0,,,270200000.0,,,,,151200000.0,,,151200000.0,,,,-83800000.0,,,,272400000.0,,,,,,,,,69700000.0,,-32300000.0,,,,45000000.0,720800000.0,,,,,,,,3428500000.0,7834000000.0,161500000.0,675500000.0,18200000.0,6480600000.0,,-3200000.0,,204800000.0,,,,,14324100000.0,,,69800000.0,835300000.0,,460800000.0,,,,,-93700000.0,,,,,,,,,0.34,,337800000.0,,,,4392100000.0,,,,-13300000.0,337800000.0,,,,151200000.0,-197300000.0,,,475000000.0,272400000.0,,,,,,,,,1353400000.0,,1813500000.0,,,127700000.0,,,1615000000.0,,,,290100000.0,5786900000.0,1536100000.0,,,-184000000.0,,-8000000.0,,,65400000.0,1210500000.0,475000000.0,,,,-8537200000.0,,,,,,,,,,,,,,,,,,,,,
962323200,372500000.0,,-49800000.0,153200000.0,,165000000.0,,,165000000.0,,,,,,,,,,,0.345,251300000.0,3800000.0,,,870200000.0,,,,,904300000.0,,,,,,,,,1727100000.0,,,51500000.0,,,304000000.0,,,,,101400000.0,,,101400000.0,,,,-83800000.0,,,,279100000.0,,,,,,,,,69700000.0,,151200000.0,,,,58100000.0,1137400000.0,,,,,,,,4134300000.0,8694500000.0,164100000.0,659700000.0,462000000.0,7345400000.0,,400000.0,,-536400000.0,,,,,14760900000.0,,,65000000.0,865300000.0,,326000000.0,,,,,-127700000.0,,,,,,,,,0.345,,328500000.0,,,,4476800000.0,,,,2100000.0,328400000.0,,,,101400000.0,-906800000.0,,,475652174.0,279000000.0,,,,,,,,,1349100000.0,,2254000000.0,,,127900000.0,,,1880300000.0,,,,292900000.0,6223700000.0,1616800000.0,,,-908900000.0,,484500000.0,,,49400000.0,1232700000.0,475652174.0,,,,-8537200000.0,,,,,,,,,,,,,,,,,,,,,
970272000,420200000.0,,119000000.0,152100000.0,,161000000.0,,,161000000.0,,,,,,,,,,,0.34,272500000.0,4000000.0,,,866700000.0,,,,,979600000.0,,,,,,,,,1733200000.0,,,97200000.0,,,324000000.0,,,,,220400000.0,,,220400000.0,,,,-84000000.0,,,,289200000.0,,,,,,,,,69700000.0,,101400000.0,,,,71400000.0,1302900000.0,,,,,,,,4345200000.0,8975000000.0,160100000.0,674200000.0,465100000.0,7458900000.0,,107600000.0,,639800000.0,,,,,14856800000.0,,,18900000.0,884500000.0,,331800000.0,,,,,-33500000.0,,,,,,,,,0.34,,331800000.0,,,,4558200000.0,,,,-6200000.0,331800000.0,,,,220400000.0,-393200000.0,,,474000000.0,289400000.0,,,,,,,,,1516100000.0,,2459900000.0,,,131000000.0,,,1885300000.0,,,,292000000.0,6319600000.0,1694300000.0,,,219600000.0,,92000000.0,,,42400000.0,1311400000.0,474000000.0,,,,-8537200000.0,,,,,,,,,,,,,,,,,,,,,
978220800,453600480.0,,-120200000.0,205499400.0,,-27399700.0,-3831099280.0,957099580.0,-27399700.0,,,,16415000000.0,,,,6418399820.0,3047300540.0,,,310200960.0,700120.0,,,1011499700.0,6669500600.0,,1563399820.0,,1211799820.0,,1212200060.0,,14400120.0,,,494000000.0,,3047300540.0,,69700060.0,151700660.0,,,-868099520.0,1011499700.0,1635100480.0,3252799940.0,6433200360.0,100199460.0,,,100199460.0,,1326000300.0,,-101399400.0,,100199460.0,1794500600.0,371500060.0,494000000.0,2328500300.0,100199460.0,11531000300.0,30100480.0,2464800540.0,,,69700060.0,1252600480.0,220400000.0,100199460.0,-22699460.0,,142400120.0,5033299340.0,21782500000.0,,,,,,,9922300540.0,16415000000.0,-28200000.0,1340698860.0,1794500600.0,14666199760.0,7399520.0,-20200420.0,205499400.0,-114399760.0,,-1441300240.0,,,21782500000.0,,152000600.0,-1699400.0,1326000300.0,,485400420.0,-10251499700.0,,,,85399400.0,1340698860.0,7399520.0,,1748800240.0,,,,,,,1466800540.0,132500000.0,,84599580.0,6418399820.0,310200960.0,,457500000.0,-5299460.0,1466800540.0,,,,100199460.0,-2333799280.0,316900120.0,,,371500060.0,,0.923735,,485400420.0,14666199760.0,,,2464800540.0,1748800240.0,,6669500600.0,9922300540.0,496099280.0,109399280.0,151700660.0,,3252799940.0,,,-169500600.0,81999580.0,11531000300.0,1563399820.0,0.923735,,-568000240.0,461000300.0,1760000300.0,,,1095300480.0,2678600360.0,,461000300.0,193800240.0,5033299340.0,-10251499700.0,,,-352999400.0,1212200060.0,,-32300540.0,,3968399820.0,,,,,,,,,,,,,
