date,quarterlyNonCurrentDeferredRevenue,annualCashAndCashEquivalents,annualAccumulatedDepreciation,trailingNetOtherFinancingCharges,annualNetOtherFinancingCharges,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualCapitalExpenditure,annualNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,annualBeginningCashPosition,annualInterestExpense,trailingCostOfRevenue,trailingBeginningCashPosition,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingFreeCashFlow,annualOtherNonCurrentAssets,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualResearchAndDevelopment,quarterlyRetainedEarnings,annualRepurchaseOfCapitalStock,trailingOperatingExpense,trailingNetIncomeContinuousOperations,annualCurrentAssets,annualEbitda,annualBasicAverageShares,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherShortTermInvestments,annualNetIncomeCommonStockholders,annualTotalLiabilitiesNetMinorityInterest,annualOtherIntangibleAssets,quarterlyGoodwill,quarterlyAccountsReceivable,annualCommonStockIssuance,annualFreeCashFlow,annualRetainedEarnings,trailingNetIncomeCommonStockholders,annualNetIncome,trailingOperatingCashFlow,annualCostOfRevenue,annualCashDividendsPaid,quarterlyLongTermDebt,annualLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,annualCurrentDebt,quarterlyOtherNonCurrentLiabilities,annualTaxProvision,trailingTaxProvision,annualTotalAssets,trailingCommonStockIssuance,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualOtherCurrentAssets,quarterlyOtherCurrentAssets,annualOtherNonCashItems,trailingOtherNonCashItems,trailingPurchaseOfBusiness,quarterlyOtherNonCurrentAssets,annualStockholdersEquity,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDebt,trailingDepreciationAndAmortization,trailingSaleOfInvestment,annualDepreciationAndAmortization,annualInvestingCashFlow,annualStockBasedCompensation,annualPurchaseOfBusiness,quarterlyInventory,annualAccountsReceivable,quarterlyAccumulatedDepreciation,annualGoodwill,annualInventory,trailingCashDividendsPaid,annualChangeInInventory,trailingPretaxIncome,annualCurrentLiabilities,annualGrossProfit,annualNetPPE,trailingChangeInInventory,trailingNetIncome,annualDilutedAverageShares,annualOperatingCashFlow,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,annualRepaymentOfDebt,annualChangeInWorkingCapital,quarterlyCapitalStock,annualNetOtherInvestingChanges,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedEPS,annualChangeInCashSupplementalAsReported,trailingGrossProfit,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,annualBasicEPS,annualTotalRevenue,trailingResearchAndDevelopment,annualOtherNonCurrentLiabilities,trailingChangeInWorkingCapital,annualCapitalStock,trailingPurchaseOfInvestment,annualPretaxIncome,trailingTotalRevenue,annualPurchaseOfInvestment,annualEndCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingOperatingIncome,trailingInterestExpense,trailingEndCashPosition,trailingStockBasedCompensation,trailingChangeInCashSupplementalAsReported,annualAccountsPayable,annualGrossPPE,trailingInvestingCashFlow,trailingCapitalExpenditure,annualNonCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,annualOperatingIncome,trailingRepaymentOfDebt,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,quarterlyNetIncome,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,annualChangesInAccountReceivables,quarterlyDilutedAverageShares,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,trailingBasicEPS,quarterlyCashDividendsPaid,trailingBasicAverageShares,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,quarterlyNetOtherInvestingChanges,trailingChangesInAccountReceivables,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,annualGainsLossesNotAffectingRetainedEarnings,trailingCashFlowFromContinuingFinancingActivities,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,trailingDilutedEPS,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,annualIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,trailingOtherIncomeExpense,quarterlyEbitda,quarterlyChangeInInventory,trailingDilutedAverageShares
2006-12-31,,160275000.0,,27228000.0,5389000.0,78747000.0,752342000.0,-111354000.0,165985000.0,,132927000.0,2913000.0,24073378000.0,1497178000.0,0.0,1412456000.0,0.0,,,,12310000.0,,,2195782000.0,2755349000.0,472654000.0,206333000.0,574869000.0,,,0.0,117158000.0,430510000.0,,,,48359000.0,146827000.0,,2742253000.0,117158000.0,4126716000.0,652917000.0,-7727000.0,,,,,,0.0,344132000.0,785392000.0,-138852000.0,312738000.0,74810000.0,202904000.0,,3122000.0,175284000.0,-76615000.0,,354877000.0,,,,1033794000.0,47256863000.0,37435000.0,-129033000.0,,-35222000.0,,862000.0,,0.0,108342000.0,-623011000.0,-42860000.0,3099481000.0,430510000.0,247781000.0,301890000.0,-1627715000.0,2742253000.0,574869000.0,258181000.0,292534000.0,,,,-200958000.0,54585000.0,,14060000.0,236009000.0,160275000.0,0.2,27348000.0,5457038000.0,,,,0.2,900698000.0,1644421000.0,0.0,-213231000.0,101000.0,-47664549000.0,165985000.0,29530416000.0,,160275000.0,,3261256000.0,237675000.0,1638488000.0,103877000.0,141310000.0,194501000.0,,-2578282000.0,-2714260000.0,,,,169034000.0,-2901448000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,,543689000.0,,,0.0,136507000.0,,-170317000.0,225871000.0,,160275000.0,3795000.0,,,0.0,,0.0,,,,28535000.0,,,,,1127607000.0,294445000.0,915616000.0,,,66188000.0,225436000.0,273556000.0,,,,745052000.0,-10187000.0,,,225436000.0,,1005268000.0,-236009000.0,,,,,,10424000.0,,1568601000.0,,440994000.0,154035000.0,379942000.0,,-27191000.0,,,,1288815000.0,,,,,,54355000.0,-208939000.0,,0.0,,2298000.0,,12077000.0,134988000.0,,-25512000.0,,273556000.0,376597000.0,401142000.0,,,915616000.0,160130000.0,,,,,-247853000.0,-94731000.0,,-73598000.0,0.0,609877000.0,0.25,383414000.0,,,,,0.25,1381865000.0,,0.0,,97520000.0,,236295000.0,,,543689000.0,,,,,,,270886000.0,,,,,,,240090000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,1023000.0,387536000.0,-237564000.0,,1414000.0,153941000.0,,-150163000.0,76572000.0,245725000.0,543689000.0,15000.0,,,26245000.0,,1755000.0,734143000.0,1069311000.0,219480000.0,56146000.0,,,,,1069311000.0,161765000.0,1000000000.0,1342719000.0,26245000.0,295070000.0,78377000.0,245725000.0,8796000.0,12168000.0,257606000.0,0.0,52547000.0,,,78377000.0,,1016210000.0,-21000000.0,17226000.0,17226000.0,7996000.0,18284000.0,,12097000.0,,1612049000.0,,542738000.0,138959000.0,4492000.0,4492000.0,-3607000.0,,,1755000.0,1342719000.0,66188000.0,7996000.0,18284000.0,,,73081000.0,-354639000.0,,,126351000.0,257606000.0,-237564000.0,12168000.0,126351000.0,,-809000.0,,219480000.0,250847000.0,496579000.0,,,1000000000.0,202710000.0,,295070000.0,496579000.0,0.0,0.0,51787000.0,97520000.0,1690000.0,0.0,682606000.0,0.08,-156410000.0,,542738000.0,8796000.0,1612049000.0,0.08,1267057000.0,,,,97520000.0,,88669000.0,,-287214000.0,387536000.0,682606000.0,,,,,,198415000.0,734143000.0,,,1023000.0,387536000.0,198415000.0,96906000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,777000.0,,,,,,,,,255430000.0,,,,,,,,,1106741000.0,219726000.0,,293147000.0,,,,,,,1345423000.0,35704000.0,,,,,12168000.0,195800000.0,,,,,,,,,26273000.0,,8654000.0,,0.0,,,,,,,,17447000.0,,,,4149000.0,,,,25613000.0,,,,,,,121194000.0,,,,,,,,,,,,,,,,0.0,475754000.0,0.0,,,97520000.0,,,,,,,519177000.0,7325000.0,1625918000.0,,,,,,,,,,,,688950000.0,,,,,,,,,,,688950000.0,187150000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,3368000.0,740320000.0,-314015000.0,,-1956000.0,172414000.0,,-77958000.0,86935000.0,372425000.0,387536000.0,1850000.0,,,38410000.0,,3210000.0,800228000.0,1284024000.0,334015000.0,75929000.0,,,,,1284024000.0,187434000.0,1000000000.0,1416174000.0,38410000.0,0.0,91934000.0,372425000.0,14946000.0,12168000.0,375586000.0,,52676000.0,,,91934000.0,,1035611000.0,-20000000.0,27011000.0,27011000.0,8031000.0,28888000.0,0.0,12755000.0,,1821828000.0,,537804000.0,125762000.0,19185000.0,19185000.0,502000.0,,,3210000.0,1416174000.0,295070000.0,8031000.0,28888000.0,,,85894000.0,228596000.0,,,148431000.0,375586000.0,-314015000.0,12168000.0,148431000.0,,-21661000.0,,334015000.0,273954000.0,486213000.0,,,1000000000.0,130634000.0,,0.0,486213000.0,0.0,-30259000.0,-35591000.0,97520000.0,-18314000.0,0.0,740320000.0,0.0919,352044000.0,,537804000.0,14946000.0,1821828000.0,0.0919,1309565000.0,,0.0,,97520000.0,,99690000.0,,0.0,740320000.0,740320000.0,,,,,,300792000.0,800228000.0,,,3368000.0,740320000.0,300792000.0,101540000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,,,,,,,,,466696000.0,,,,,,,,,1359158000.0,430732000.0,,,,,,,,,1402156000.0,35964000.0,,,,,4071000.0,423310000.0,,,,,,,,,25321000.0,,7100000.0,,3543000.0,,,,,,,,97301000.0,,,,0.0,,,,104787000.0,,,,,,,171515000.0,,,,,,,,,,,,,,,,,479338000.0,463000.0,,,97520000.0,,,,,,,537766000.0,16326000.0,1896924000.0,,,,,,,,,,,,666530000.0,,,,,,,,,,,666530000.0,315909000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,1469000.0,188278000.0,-396503000.0,,978000.0,209779000.0,,-82246000.0,138225000.0,529702000.0,740320000.0,4129000.0,,,33789000.0,,7040000.0,861762000.0,1527186000.0,495913000.0,99575000.0,,-50394000.0,,,1527186000.0,260120000.0,978117000.0,1495935000.0,33789000.0,,143826000.0,529702000.0,19313000.0,4071000.0,926000.0,,102818000.0,,,143826000.0,,1426090000.0,-20000000.0,25412000.0,25412000.0,6908000.0,87548000.0,0.0,26651000.0,,2057649000.0,,530463000.0,151277000.0,76570000.0,76570000.0,-26236000.0,,,7040000.0,1495935000.0,0.0,6908000.0,87548000.0,,,91115000.0,-720952000.0,7931000.0,-20050000.0,220598000.0,926000.0,-396503000.0,4071000.0,220598000.0,,-69917000.0,,495913000.0,391977000.0,465259000.0,,,982972000.0,185064000.0,,,465259000.0,0.0,-133611000.0,-40387000.0,97520000.0,-642005000.0,0.0,188278000.0,0.1463,-552028000.0,,530463000.0,19313000.0,2057649000.0,0.147,1818067000.0,,0.0,,97520000.0,,164876000.0,,,188278000.0,188278000.0,,,,,,6650000.0,861762000.0,,,1469000.0,188278000.0,6650000.0,182198000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,1066000.0,,,,,,,,,518865000.0,,,,,,,,,1509781000.0,494039000.0,,,,,,,,,1539828000.0,24826000.0,,,,,0.0,838752000.0,,,,,,,,,17044000.0,,6716000.0,,0.0,,,,,,,,48000000.0,,,,32229000.0,,,,69390000.0,,,,,,,273284000.0,,,,,,,,,,,,,,,,51000000.0,494866000.0,0.0,,,97520000.0,,,,,,,577219000.0,14347000.0,2087000000.0,,,,,,,,,,,,349243000.0,,,,,,,,,,,298243000.0,3055000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,1035000.0,251677000.0,-466378000.0,,356000.0,312786000.0,,-196626000.0,201745000.0,694373000.0,188278000.0,2982000.0,,,23848000.0,,30485000.0,955668000.0,1822425000.0,670525000.0,131114000.0,,-19680000.0,,,1822425000.0,334223000.0,965377000.0,1661372000.0,23848000.0,,215308000.0,694373000.0,35000.0,0.0,627593000.0,,-124190000.0,,,215308000.0,,1975740000.0,-43500000.0,17218000.0,17218000.0,5595000.0,62416000.0,0.0,37838000.0,,2375477000.0,,553052000.0,181672000.0,173649000.0,173649000.0,-41164000.0,,,30485000.0,1661372000.0,,5595000.0,62416000.0,,,91658000.0,87221000.0,14980000.0,,472339000.0,627593000.0,-466378000.0,0.0,472339000.0,,-255609000.0,,670525000.0,522760000.0,489290000.0,,,974323000.0,72436000.0,,,489290000.0,0.0,-81515000.0,-227961000.0,97520000.0,306513000.0,0.0,251677000.0,0.221,62987000.0,,553052000.0,35000.0,2375477000.0,0.223,2498500000.0,,0.0,,97520000.0,,239583000.0,,-84080000.0,251677000.0,251677000.0,,,,,,603335000.0,955668000.0,,,1035000.0,251677000.0,603335000.0,209974000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,8035000.0,,,,,,,,,854118000.0,,,,,,,,,1944834000.0,838754000.0,,,,,,,,,1747915000.0,15364000.0,,,,,,810284000.0,,,,,,,,,0.0,,7329000.0,,0.0,,,,,,,,131200000.0,,,,117948000.0,,,,150810000.0,,,,,,,477535000.0,,,,,,,,,,,,,,,,80000000.0,522282000.0,0.0,,,97520000.0,,,,,,,672694000.0,41000.0,2617528000.0,,,,,,,,,,,,406087000.0,,,,,,,,,,,326087000.0,654184000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
