,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,trailingOtherNonCashItems,quarterlyCapitalExpenditure,annualPurchaseOfInvestment,annualBasicEPS,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,annualStockholdersEquity,annualLongTermDebt,trailingPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyDilutedAverageShares,quarterlyNetIncome,annualInvestingCashFlow,annualChangeInInventory,annualDepreciationAndAmortization,trailingPretaxIncome,trailingCashDividendsPaid,annualInventory,quarterlyOtherIncomeExpense,quarterlyTaxProvision,trailingNetIncome,quarterlyInventory,annualGoodwill,quarterlyNetPPE,annualCurrentLiabilities,annualRetainedEarnings,quarterlyNonCurrentDeferredTaxesLiabilities,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,annualCapitalStock,annualOperatingCashFlow,quarterlyBasicEPS,quarterlyChangeInCashSupplementalAsReported,quarterlyCostOfRevenue,annualOtherIntangibleAssets,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,trailingGrossProfit,trailingRepaymentOfDebt,annualOperatingIncome,trailingChangeInWorkingCapital,quarterlyBasicAverageShares,annualRepaymentOfDebt,annualEbitda,quarterlyCapitalStock,annualTotalRevenue,quarterlyFreeCashFlow,annualOtherIncomeExpense,annualDilutedEPS,annualNetOtherInvestingChanges,trailingTotalRevenue,annualDilutedAverageShares,annualOtherCurrentLiabilities,annualEndCashPosition,annualCashCashEquivalentsAndMarketableSecurities,annualCashFlowFromContinuingFinancingActivities,trailingEndCashPosition,trailingCashFlowFromContinuingFinancingActivities,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,annualNonCurrentDeferredRevenue,trailingChangeInCashSupplementalAsReported,quarterlyCurrentDebt,quarterlyInterestExpense,trailingOperatingIncome,annualOtherNonCurrentLiabilities,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,annualAccountsPayable,trailingOtherIncomeExpense,annualGrossPPE,trailingInvestingCashFlow,annualPretaxIncome,quarterlySaleOfInvestment,quarterlyPurchaseOfInvestment,annualIncomeTaxPayable,quarterlyChangesInAccountReceivables,trailingRepurchaseOfCapitalStock,annualAccumulatedDepreciation,quarterlyGrossProfit,annualInvestmentsAndAdvances,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,annualSellingGeneralAndAdministration,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,annualCapitalExpenditure,trailingOperatingExpense,trailingSellingGeneralAndAdministration,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualOperatingExpense,trailingNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,trailingCapitalExpenditure,annualNetIncomeContinuousOperations,trailingDeferredIncomeTax,annualCashAndCashEquivalents,annualChangesInAccountReceivables,trailingBeginningCashPosition,trailingNetOtherFinancingCharges,quarterlyTotalRevenue,trailingInterestExpense,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,quarterlyChangeInInventory,annualCurrentAssets,quarterlyOtherNonCashItems,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCashDividendsPaid,annualDeferredIncomeTax,annualInterestExpense,quarterlyEbitda,annualNetIncomeCommonStockholders,annualNetOtherFinancingCharges,annualOtherShortTermInvestments,quarterlyRetainedEarnings,annualCommonStockIssuance,annualFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualGrossProfit,quarterlyOperatingExpense,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,trailingNetIncomeCommonStockholders,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,trailingCostOfRevenue,quarterlyCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,trailingFreeCashFlow,annualTaxProvision,trailingTaxProvision,annualTotalAssets,annualNetIncome,quarterlyOtherCurrentAssets,annualCurrentDebt,quarterlyAccumulatedDepreciation,annualBeginningCashPosition,annualOtherCurrentAssets,trailingDepreciationAndAmortization,annualCostOfRevenue,annualOtherNonCashItems,annualPurchaseOfBusiness,quarterlyDilutedEPS,annualCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,annualBasicAverageShares,trailingBasicAverageShares,quarterlyStockBasedCompensation,trailingCommonStockIssuance,annualResearchAndDevelopment,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,trailingStockBasedCompensation,trailingPurchaseOfInvestment,annualCurrentDeferredRevenue,trailingChangesInAccountReceivables,annualStockBasedCompensation,trailingChangeInInventory,trailingChangeInAccountPayable,trailingSaleOfInvestment,trailingResearchAndDevelopment,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828230400,,,,,,,,,,,,,,,61500000.0,157692308.0,61500000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,157692308.0,,,,,,,,,,,,,,,,,,,61500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374400000.0,,374400000.0,,,,,,,,,,,,,,,374400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,
836092800,,,,,,,,,,,,,,,37600000.0,163478261.0,37600000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,163478261.0,,,,,,,,,,,,,,,,,,,37600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355400000.0,,355400000.0,,,,,,,,,,,,,,,355400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,
844041600,,,,,,,,,,,,,,,48600000.0,156774194.0,48600000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,156774194.0,,,,,,,,,,,,,,,,,,,48600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381600000.0,,381600000.0,,,,,,,,,,,,,,,381600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,
851990400,,,,,,,,,1.14,,,,,,33300000.0,,33300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575300000.0,,,,1575300000.0,,1575300000.0,,,1.14,,,158771930.0,,,,,,,,,33300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181000000.0,,,,,,463900000.0,,463900000.0,,,,,,,,,,,,,,,463900000.0,181000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,181000000.0,,,,,,,,,,,,,158771930.0,,,,,,,,,,,,,,,,,
859766400,,,2899474.0,61098034.0,,,-41800055.0,,,87899474.0,-55700637.0,,,,68399335.0,159500000.0,68399335.0,,,,,,,1700360.0,62700083.0,,,,4535700637.0,,,,,,2037100526.0,0.0,,,700637.0,,,0.429,-7899474.0,84599834.0,,,688799502.0,,,34400443.0,,,,,,,159500000.0,,,0.0,,46099419.0,,,,,,,,,,,,5031999446.0,4617198837.0,68399335.0,,,,51800055.0,,,,,,,,,,1600665.0,,,,,,356800055.0,,,,,,-14599834.0,,,,,,,,,,,3257600387.0,,,,,,,,441399889.0,,185499861.0,,4535700637.0,-40099695.0,26499585.0,,,,,73199945.0,,,,,,260199390.0,,,,,,,,131099418.0,,,171300194.0,,,,,,1610199391.0,,688799502.0,,,99695.0,,414800609.0,,,,,,,,,,,,,,,0.429,,,,,,,,,,,,,,,,,,,,
867628800,,,3600181.0,61100069.0,,,-73799669.0,,,69101216.0,16900085.0,,,,50699793.0,159500000.0,50699793.0,,,,,,,2899931.0,50800552.0,,,,4530800552.0,,,,,,2033599724.0,0.0,,,1199984.0,,,0.31984,10399129.0,87199448.0,,,705900621.0,,,26499585.0,,,,,,,159500000.0,,,0.0,,-4698453.0,,,,,,,,,,,,5062200138.0,4611700483.0,50699793.0,,,,53000690.0,,,,,,,,,,-941.0,,,,,,346200138.0,,,,,,167400386.0,,,,,,,,,,,3276800552.0,,,,,,,,433399586.0,,158400276.0,,4530800552.0,-75600788.0,36899931.0,,,,,-109899738.0,,,,,,227599724.0,,,,,,,,101500345.0,,,187799862.0,,,,,,1620299517.0,,705900621.0,,,-1800178.0,,450499655.0,,,,,,,,,,,,,,,0.31984,,2301199448.0,,,,,,,,,,,,,,,,,,
875577600,,,3899462.0,61100676.0,,,-85699820.0,,,143298992.0,-61499130.0,,,,59000138.0,159600000.0,59000138.0,,,,,,,2400221.0,58799890.0,,,,4505300373.0,,,,,,1911499793.0,0.0,,,1699710.0,,,0.37046,-10000000.0,94100262.0,,,777099848.0,,,36899931.0,,,,,,,159600000.0,,,0.0,,57599172.0,,,,,,,,,,,,5040499931.0,4599900566.0,59000138.0,,,,48000276.0,,,,,,,,,,-300180.0,,,,,,356199420.0,,,939.0,,,-147500179.0,,,,,,,,,,,3236599917.0,,,,,,,,450299682.0,,172299406.0,,4505300373.0,-91799862.0,26899600.0,,,,,270899489.0,,,,,,246298854.0,,,,,,,,117800028.0,,,183900014.0,,,,,,1637200663.0,,777099848.0,,,-5799862.0,,440599365.0,,,,,,,,,,,,,,,0.37046,,2189799751.0,,,,,,,,,,,,,,,,,,
883526400,2400286.0,88700500.0,-22299045.0,53699786.0,,,-135601099.0,,1.14114,206300747.0,-38400818.0,1594300214.0,1966100071.0,,4500719.0,,4500719.0,-340400286.0,200143.0,,,,50900643.0,5700086.0,7700594.0,,50900643.0,,4356200143.0,802600429.0,655199428.0,88700500.0,331699786.0,,1966100071.0,273499643.0,,,2900026.0,0.0,506600429.0,,34999988.0,85599905.0,,331699786.0,,,,26899600.0,4356200143.0,-8300214.0,,,580900643.0,,,,859501072.0,0.0,1685699786.0,70699648.0,12700500.0,1.14114,-3699786.0,,159700000.0,273499643.0,61899929.0,61899929.0,-138700500.0,,,4882200143.0,4437699786.0,4500719.0,,,273499643.0,47901163.0,,2054800572.0,61899929.0,61899929.0,484400286.0,,7105299500.0,,362600429.0,1100742.0,,,,,-2749099357.0,274999757.0,,-8300214.0,-2101030.0,484400286.0,,146000556.0,,,,-336900643.0,,,-2900643.0,53699786.0,753299500.0,,3124999286.0,,182600429.0,,61899929.0,,,,360599662.0,,64699843.0,,7105299500.0,-132899941.0,61899929.0,,27499643.0,,444500357.0,94999732.0,,,,,200700500.0,125400811.0,182600429.0,-11899928.0,,655199428.0,6500357.0,169699786.0,,12201313.0,,1334200143.0,210299914.0,4437699786.0,151300929.0,,,,1594300214.0,,802600429.0,,,3800559.0,3124999286.0,444500357.0,,180000000.0,,4882200143.0,182600429.0,-1.0,273499643.0,-2749099357.0,34400286.0,-1.0,,351499643.0,329199428.0,,,,2054800572.0,159700000.0,,,,,,,,,,,,,,,,,
891302400,,,-32300709.0,52899291.0,,,-50700709.0,,,189500709.0,-74100709.0,,,,62600000.0,159700000.0,62600000.0,,,,,,,3600000.0,55500709.0,,,,4281800000.0,,,93700709.0,,,1965200000.0,0.0,,,4100709.0,,,0.39102,64300709.0,81600000.0,,,749100709.0,,,61900709.0,,,,,,,159700000.0,,,0.0,,138800000.0,,,,,,,,,,,,4845800000.0,4358899291.0,62600000.0,,,,45200000.0,,,,,,,,,,,,,,,,346400000.0,,,,,,33300709.0,,,,,,,,,,,2808000000.0,,,,,,,,428000000.0,,167398582.0,,7030900709.0,-51100709.0,126200000.0,,,,,85899291.0,,,-39100709.0,,,239598582.0,,,,,,,,118100709.0,,,179001418.0,,,,,,1611000000.0,,749100709.0,,,-400000.0,,486900709.0,,,,,,,,-2749100709.0,,,,,,,0.39102,,,,,,,,,,,,,,,,,,,,
