date,annualOtherShortTermInvestments,annualFreeCashFlow,quarterlyCurrentAssets,annualCommonStockIssuance,quarterlyRetainedEarnings,annualDilutedAverageShares,trailingCommonStockIssuance,quarterlyDepreciationAndAmortization,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,annualResearchAndDevelopment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualAccountsPayable,annualOtherCurrentAssets,quarterlyOtherNonCashItems,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,annualOperatingIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,quarterlyCurrentLiabilities,trailingCostOfRevenue,trailingTaxProvision,trailingNetIncome,quarterlyDilutedEPS,trailingPretaxIncome,trailingEndCashPosition,annualDilutedEPS,quarterlyPurchaseOfInvestment,annualNetOtherInvestingChanges,quarterlyOtherNonCurrentLiabilities,annualCashAndCashEquivalents,quarterlyFreeCashFlow,annualNetIncomeContinuousOperations,annualCurrentDeferredRevenue,annualCostOfRevenue,annualNetIncome,annualPretaxIncome,quarterlyNetIncomeCommonStockholders,annualCashDividendsPaid,trailingOperatingIncome,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,annualCurrentDebt,trailingSaleOfInvestment,quarterlyGrossProfit,annualSaleOfInvestment,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualOtherNonCurrentAssets,annualBasicAverageShares,annualSellingGeneralAndAdministration,annualOtherNonCashItems,annualLongTermDebt,annualCurrentAssets,annualDepreciationAndAmortization,annualRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,annualStockholdersEquity,quarterlyBasicAverageShares,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInventory,annualTotalAssets,annualTaxProvision,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,annualNetIncomeCommonStockholders,quarterlyGoodwill,trailingNetIncomeCommonStockholders,annualCurrentLiabilities,annualRetainedEarnings,annualCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,trailingChangeInAccountPayable,quarterlyLongTermDebt,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyChangeInInventory,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfBusiness,annualOtherIntangibleAssets,annualOtherIncomeExpense,quarterlyCapitalStock,trailingGrossProfit,annualTotalNonCurrentAssets,annualNetPPE,annualRepaymentOfDebt,annualOperatingCashFlow,annualGrossProfit,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyCashAndCashEquivalents,annualEbitda,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyBasicEPS,quarterlyPretaxIncome,trailingCashFlowFromContinuingFinancingActivities,quarterlyChangesInAccountReceivables,annualChangeInInventory,trailingChangeInCashSupplementalAsReported,quarterlyCurrentDebt,annualGrossPPE,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyInterestExpense,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,quarterlyNetOtherFinancingCharges,trailingOtherIncomeExpense,annualAccumulatedDepreciation,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,annualNonCurrentDeferredTaxesLiabilities,quarterlyGrossPPE,quarterlySaleOfInvestment,trailingSellingGeneralAndAdministration,annualInvestingCashFlow,quarterlyOperatingCashFlow,annualDeferredIncomeTax,quarterlyDilutedAverageShares,quarterlyRepurchaseOfCapitalStock,trailingInvestingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,annualCapitalExpenditure,quarterlyCommonStockIssuance,trailingNetIncomeContinuousOperations,trailingPurchaseOfInvestment,trailingCapitalExpenditure,quarterlyResearchAndDevelopment,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyTotalRevenue,trailingOperatingExpense,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,annualChangesInAccountReceivables,trailingPurchaseOfBusiness,quarterlyChangeInWorkingCapital,trailingBeginningCashPosition,quarterlyTaxProvision,annualInventory,annualGoodwill,quarterlyNetPPE,annualCashFlowFromContinuingFinancingActivities,annualNetOtherFinancingCharges,trailingStockBasedCompensation,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,quarterlyEbitda,annualChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyChangeInCashSupplementalAsReported,annualCapitalStock,annualPurchaseOfInvestment,annualTotalRevenue,trailingResearchAndDevelopment,trailingChangeInWorkingCapital,annualBasicEPS,annualStockBasedCompensation,annualInterestExpense,trailingBasicAverageShares,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredRevenue,trailingOtherNonCashItems,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,trailingBasicEPS,trailingDilutedEPS,trailingRepaymentOfDebt,trailingInterestExpense,trailingChangesInAccountReceivables,trailingNetOtherInvestingChanges,annualIncomeTaxPayable,trailingChangeInInventory,trailingCashDividendsPaid,trailingDeferredIncomeTax,quarterlyIncomeTaxPayable,trailingDilutedAverageShares
1989-06-30,,,,,,,59000000.0,,,1763000000.0,,,,,,,,5388000000.0,,,,,,,,1376000000.0,-1517000000.0,2830000000.0,0.01,1313000000.0,3599000000.0,,,,,,,,,,,,,,1256000000.0,,,,2108000000.0,,,,,,800000.0,,,,,,,,,,,149568000.0,,,,,,,,,,,2830000000.0,,,,,,-9000000.0,,,1898000000.0,,,,,,,-1217000000.0,,,,,,,4012000000.0,,,,,,,,,,,,0.01,,-1340000000.0,,,-284000000.0,,,,,,,148000000.0,,,,-69000000.0,,,,,,,1180000000.0,,,,149568000.0,,-846000000.0,,,,2830000000.0,-2819000000.0,-135000000.0,,13700000,,13700000,2756000000.0,,,,0.0,,3887000000.0,,,,,,,329000000.0,-182000000.0,,13700000,,,,,,,1555000000.0,-1423000000.0,,,,,,,,,,,,,,,,,,,,,
1989-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,1100000.0,,,,,,,,,,,149568000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,149568000.0,,,,,,,,,,17300000,,17300000,,,,,,,,,,,,,,,,,17300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-12-31,,,38600000.0,,11000000.0,,,,,,,,,,,,,,6800000.0,,,,700000.0,,13400000.0,,,,0.02,,,,,,500000.0,,,,,,,,2800000.0,,,45500000.0,6900000.0,,,11200000.0,,4800000.0,14100000.0,2800000.0,2800000.0,,,,,,,,,1500000.0,,140000000.0,,200000.0,,7100000.0,,,,,,,,,,,,100000.0,,100000.0,,,12300000.0,,7100000.0,,,,,,,,,,,,,,,,,16200000.0,31400000.0,16200000.0,,,,0.02,4300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,140000000.0,,,,,,,,,,4100000,7400000.0,23500000,,6000000.0,,,,,,1500000.0,,,2100000.0,,,,,,4400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-31,,9200000.0,39800000.0,10800000.0,12500000.0,133333333.0,,300000.0,14300000.0,,,,300000.0,,5800000.0,2000000.0,,,6400000.0,3000000.0,,9000000.0,300000.0,0.0,14000000.0,,,,,,,0.045,,0.0,200000.0,22000000.0,5700000.0,6000000.0,,37600000.0,6000000.0,9600000.0,1400000.0,,,46800000.0,7000000.0,,,8500000.0,200000.0,4800000.0,14300000.0,1400000.0,1400000.0,4800000.0,133333333.0,24600000.0,-200000.0,,39800000.0,1200000.0,-700000.0,2000000.0,32500000.0,,-200000.0,500000.0,0.0,5300000.0,46800000.0,3600000.0,,200000.0,6000000.0,,,14000000.0,12500000.0,,,100000.0,,,,,9400000.0,,6700000.0,,1700000.0,,,,22000000.0,,,600000.0,,,7000000.0,2200000.0,,10000000.0,34800000.0,22000000.0,32500000.0,22000000.0,10200000.0,0.0,,,2300000.0,,,1800000.0,,,5800000.0,-3600000.0,-500000.0,,,,200000.0,3100000.0,400000.0,,-3600000.0,,25800000.0,100000.0,5800000.0,,,-400000.0,6200000.0,,,-600000.0,,-100000.0,-800000.0,0.0,,,,,1800000,8200000.0,17900000,,5800000.0,,,,4400000.0,,900000.0,5300000.0,,2200000.0,9600000.0,-100000.0,,,8200000.0,2100000,19000000.0,,5900000.0,,,72400000.0,,,0.045,,,,,,,,,,,,,,,,,,,,
1990-06-30,,,40900000.0,,13600000.0,,,300000.0,,,,,,,,,-400000.0,,6100000.0,,,,200000.0,,13200000.0,,,,0.01,,,,,,100000.0,,-1200000.0,,,,,,1200000.0,,,47900000.0,7000000.0,,,7800000.0,,4900000.0,13400000.0,1200000.0,1200000.0,,,,,,,,,2200000.0,,120000000.0,-100000.0,400000.0,0.0,5300000.0,,,,0.0,,,,,,,,100000.0,,,,,9200000.0,,6400000.0,,100000.0,,,,,,,,,,,,,,,21500000.0,34500000.0,21500000.0,,22000000.0,,0.01,1900000.0,,,,,,,-3600000.0,-100000.0,,,,,,0.0,,,,,,5700000.0,,,,-1100000.0,,120000000.0,,,400000.0,,400000.0,,,,,1400000,7500000.0,17000000,,5700000.0,,,,-2100000.0,,700000.0,,,2100000.0,,,,,,1700000,,,-500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-09-30,,,49000000.0,,15400000.0,,,400000.0,,,,,,,,,-300000.0,,7600000.0,,,,100000.0,,19500000.0,,,,0.015,,,,,,0.0,,-2100000.0,,,,,,1700000.0,,,56200000.0,7200000.0,,,10300000.0,,5200000.0,19600000.0,1700000.0,1700000.0,,,,,,,,,2600000.0,,113333333.0,-300000.0,400000.0,0.0,9000000.0,,,,0.0,,,,,,,,100000.0,,,,,14000000.0,,8000000.0,,-3700000.0,,,,,,,,,,,,,,,19800000.0,36600000.0,19800000.0,,0.0,,0.015,2600000.0,,,,,,,-3600000.0,-300000.0,,,,,,0.0,,,,,,5600000.0,,,,-1800000.0,,113333333.0,,,100000.0,,100000.0,,,,,2300000,8900000.0,24300000,,10600000.0,,,,-3500000.0,,900000.0,,,2000000.0,,,,,,2700000,,,-1800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-12-31,,,54400000.0,,19400000.0,,,400000.0,,,,,,,,,-100000.0,,9500000.0,,,,100000.0,,21400000.0,,,,0.03,,,,,,0.0,,-1500000.0,,,,,,4000000.0,,,62100000.0,7700000.0,,,15700000.0,,5100000.0,21500000.0,4000000.0,4000000.0,,,,,,,,,3100000.0,,133333333.0,-1000000.0,200000.0,0.0,8100000.0,,,,0.0,,,,,,,,100000.0,,,,,19500000.0,,9800000.0,,900000.0,,,,,,,,,,,,,,,18400000.0,40600000.0,18400000.0,,0.0,,0.03,6100000.0,,,,,,,-3600000.0,-1000000.0,,,,,,0.0,,,,,,6200000.0,,,,-500000.0,,133333333.0,,,100000.0,,100000.0,,,,,5900000,12000000.0,35200000,,9400000.0,,,,-4700000.0,,2100000.0,,,2600000.0,,,,,,6300000,,,-1400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-03-31,,3600000.0,53700000.0,1800000.0,21600000.0,151666667.0,,400000.0,19300000.0,,,,200000.0,,7800000.0,3400000.0,500000.0,,7300000.0,-5100000.0,,12700000.0,200000.0,0.0,19100000.0,,,,,,,0.06,,0.0,100000.0,27600000.0,8400000.0,9100000.0,,57100000.0,9100000.0,13800000.0,2200000.0,,,63100000.0,9400000.0,,,10800000.0,,6900000.0,19300000.0,2200000.0,2200000.0,6900000.0,151666667.0,30500000.0,-300000.0,,53700000.0,1500000.0,,3400000.0,43800000.0,,-200000.0,200000.0,0.0,5500000.0,63100000.0,4700000.0,,0.0,9100000.0,,,19100000.0,21600000.0,,,100000.0,,,,,14400000.0,,7700000.0,,2500000.0,,,,27600000.0,,,1200000.0,,,9400000.0,2500000.0,,5200000.0,44700000.0,27600000.0,43800000.0,27600000.0,14200000.0,0.0,,,3200000.0,,,-200000.0,,,7300000.0,-4800000.0,-200000.0,,,,100000.0,22000000.0,0.0,,-4800000.0,,32000000.0,100000.0,7300000.0,,,-1600000.0,8600000.0,,,,,1200000.0,-1600000.0,1200000.0,,,,,3100000,11300000.0,25200000,,7800000.0,,,,5200000.0,,1000000.0,5500000.0,,2500000.0,1800000.0,0.0,,,11300000.0,3500000,5600000.0,,9300000.0,,,101800000.0,,,0.06,,,,,,,,,,,,,,,,,,,,
1991-06-30,,,53700000.0,,23200000.0,,,300000.0,,,,,,,,,-100000.0,,9000000.0,,,,100000.0,,16800000.0,,,,0.01,,,,,,0.0,,-3600000.0,,,,,,1600000.0,,,63200000.0,9500000.0,,,11300000.0,,6900000.0,16900000.0,1600000.0,1600000.0,,,,,,,,,6300000.0,,160000000.0,-300000.0,400000.0,0.0,3600000.0,,,,0.0,,,,,,,,100000.0,,,,,12600000.0,,9300000.0,,1900000.0,,,,,,,,,,,,,,,25000000.0,46300000.0,25000000.0,,27600000.0,,0.01,2400000.0,,,,,,,-4800000.0,-300000.0,,,,,,0.0,,,,,,7400000.0,,,,-3300000.0,,160000000.0,,,1200000.0,,1200000.0,,,,,2000000,11500000.0,23900000,,5300000.0,,,,-5100000.0,,800000.0,,,2600000.0,,,,,,2300000,,,-2700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-09-30,,,62500000.0,,25100000.0,,,400000.0,,,,,,,,,0.0,,11900000.0,,,,100000.0,,25000000.0,,,,0.02,,,,,,0.0,,500000.0,,,,,,2700000.0,,,73300000.0,10800000.0,,,16200000.0,,7000000.0,25100000.0,2700000.0,2700000.0,,,,,,,,,4600000.0,,135000000.0,-1100000.0,300000.0,0.0,5200000.0,,,,0.0,,,,,,,,100000.0,,,,,16800000.0,,12400000.0,,-1500000.0,,,,,,,,,,,,,,,25500000.0,48200000.0,25500000.0,,0.0,,0.02,4200000.0,,,,,,,-4800000.0,-1100000.0,,,,,,700000.0,,,,,,8600000.0,,,,1600000.0,,135000000.0,,,400000.0,,-300000.0,,,,,3800000,13200000.0,33000000,,11800000.0,,,,-1500000.0,,1500000.0,,,3800000.0,,,,,,4300000,,,1300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
