date,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,annualInvestmentsAndAdvances,annualNetIncomeContinuousOperations,quarterlyDeferredIncomeTax,trailingRepurchaseOfCapitalStock,quarterlyAccountsPayable,annualRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,annualCurrentAccruedExpenses,trailingSellingGeneralAndAdministration,annualCapitalExpenditure,quarterlyIncomeTaxPayable,quarterlyGrossPPE,annualOperatingExpense,annualCashAndCashEquivalents,trailingDeferredIncomeTax,annualTaxProvision,quarterlyTotalRevenue,annualDilutedEPS,annualChangesInAccountReceivables,annualInterestExpense,trailingBeginningCashPosition,trailingCostOfRevenue,annualBasicAverageShares,quarterlyOtherNonCashItems,annualTotalRevenue,trailingResearchAndDevelopment,annualCurrentAssets,trailingOperatingExpense,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,annualNetOtherFinancingCharges,quarterlyStockBasedCompensation,annualOtherShortTermInvestments,annualCommonStockIssuance,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualResearchAndDevelopment,annualOtherNonCurrentAssets,annualAccumulatedDepreciation,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,trailingFreeCashFlow,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,annualRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,trailingNetIncome,trailingNetIncomeCommonStockholders,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,annualCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,annualCostOfRevenue,annualOtherCurrentAssets,annualDilutedAverageShares,quarterlyOtherCurrentAssets,annualNetIncome,annualBeginningCashPosition,quarterlyBasicEPS,annualSellingGeneralAndAdministration,annualFreeCashFlow,annualTotalNonCurrentAssets,quarterlyBasicAverageShares,trailingDepreciationAndAmortization,trailingTaxProvision,quarterlyResearchAndDevelopment,annualStockholdersEquity,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,annualOtherNonCashItems,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,annualPurchaseOfBusiness,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,trailingStockBasedCompensation,annualNonCurrentDeferredTaxesLiabilities,annualCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,annualDepreciationAndAmortization,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,annualPurchaseOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyNetPPE,trailingOperatingCashFlow,annualAccountsReceivable,annualCapitalStock,quarterlyInventory,quarterlyTaxProvision,quarterlyOperatingExpense,annualGrossProfit,annualCurrentLiabilities,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,annualStockBasedCompensation,quarterlyCostOfRevenue,annualNetPPE,annualGoodwill,annualOperatingCashFlow,annualSaleOfInvestment,annualOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualEbitda,quarterlyDilutedEPS,quarterlyFreeCashFlow,annualOtherNonCurrentLiabilities,trailingChangeInWorkingCapital,annualGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedAverageShares,annualChangeInCashSupplementalAsReported,annualBasicEPS,trailingGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,trailingPretaxIncome,annualEndCashPosition,annualPretaxIncome,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingOperatingIncome,trailingCapitalExpenditure,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,annualNonCurrentDeferredRevenue,annualOperatingIncome,trailingTotalRevenue,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,annualOtherIncomeExpense,trailingChangeInCashSupplementalAsReported,quarterlyOtherIntangibleAssets,annualGrossPPE,trailingInvestingCashFlow,annualAccountsPayable,annualIncomeTaxPayable,quarterlyDepreciationAndAmortization,trailingEndCashPosition,trailingCashFlowFromContinuingFinancingActivities,trailingChangeInInventory,trailingPurchaseOfBusiness,annualInventory,quarterlyRepaymentOfDebt,trailingCashDividendsPaid,annualRepaymentOfDebt,quarterlyCurrentDebt,annualLongTermDebt,trailingRepaymentOfDebt,trailingBasicAverageShares,quarterlyPurchaseOfInvestment,trailingOtherIncomeExpense,quarterlyLongTermDebt,trailingSaleOfInvestment,quarterlySaleOfInvestment,quarterlyChangeInAccountPayable,trailingBasicEPS,trailingNetOtherInvestingChanges,quarterlyChangeInInventory,trailingChangesInAccountReceivables,trailingOtherNonCashItems,quarterlyInterestExpense,trailingPurchaseOfInvestment,annualChangeInInventory,trailingNetOtherFinancingCharges,trailingDilutedEPS,annualCashDividendsPaid,quarterlyCashDividendsPaid,annualCurrentDebt,trailingDilutedAverageShares,trailingInterestExpense,trailingCommonStockIssuance,trailingChangeInAccountPayable
1970-01-01 00:00:01.569801600,791580000.0,4800000,,,,,,,-1263639000.0,,,,,,646646000.0,,,,,,19689000.0,,4800000,,,,4071770000.0,213132000.0,,,,233910000.0,,880556000.0,4800000,,,,,,,,,,,,,,,,,,,,1093739000.0,,,,,,791580000.0,791580000.0,,,,,,,,,,,,,,,0.001111,,,,304308000.0,22713000.0,168379000.0,,,,,,,,,,2800000,104928000.0,,,,,,2800000,,,,,,,,,1118004000.0,,,,,,,,,,,,,,,,,,,,0.001111,,,163887000.0,,304308000.0,,,1763276000.0,,,,959959000.0,,,,,882720000.0,-24265000.0,2800000,,,,1976408000.0,,,,-149677000.0,,,-342191000.0,,,,3922654000.0,-1007613000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7400000,,,,,,,,,,,,,,,,,,,,,7400000,,,,,,,,,,,,7400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002222,,,,202770615.0,,,,,,,,,,,,3200000,,,,,,,3200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002222,,,,,202770615.0,,,,,,,,,,,,,,3200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7500000,,,,,,,,,,,,,,,,,,,,,7500000,,,,,,,,,,,,7500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002222,,,,196101949.0,,,,,,,,,,,,3800000,,,,,,,3800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002222,,,,,196101949.0,,,,,,,,,,,,,,3800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-5600000,,7800000.0,,,15200000.0,,,1000000.0,,,,,,-1200000.0,,1600000.0,16400000.0,13000000.0,,400000.0,12200000,0.007778,,400000.0,,,196347826.0,,31900000.0,,64000000.0,,-5600000,,0.0,,,37600000.0,,,,200000.0,-400000.0,400000.0,,15200000.0,,400000.0,-900000.0,,19900000.0,7400000.0,,,,19900000.0,,64000000.0,,,65400000.0,7800000.0,57600000.0,,,,-400000.0,,1400000.0,41500000.0,196347826.0,41500000.0,15200000.0,3600000.0,,15800000.0,13600000.0,1400000.0,,,,,57600000.0,,,-100000.0,200000.0,,,,3800000,,,37600000.0,,600000.0,,3800000,-43000000.0,,6400000.0,-41900000.0,,,,1200000.0,,,,,,,30500000.0,7400000.0,,,,,1200000.0,,14800000.0,,,,,14700000.0,,,,,,,9300000.0,0.01,,13000000.0,6400000.0,100000.0,,0.0,15600000.0,13000000.0,13000000.0,,,3800000,65400000.0,,14100000.0,,,1400000.0,1900000.0,,,1600000.0,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6200000,,11000000.0,,,,,,,,12700000.0,,,,,,1900000.0,,,,,13700000,,,,,,,,,,,,6200000,,,,,,0.0,0.0,,,,,,,,400000.0,,,26400000.0,10600000.0,,6800000.0,,,,72800000.0,,,,,64100000.0,5500000.0,,,-400000.0,,,,,43500000.0,,,0.003333,,,,196347826.0,,,1000000.0,,,,,800000.0,,,,6500000,,,,,,0.0,6500000,,,,,,,800000.0,1500000.0,,,,,300000.0,6500000.0,,,,,,1000000.0,,,,,,0.0,,,0.003333,0.0,,,,196347826.0,,,,,,,,,,19100000.0,19100000.0,,,6500000,75100000.0,,,,,2300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7600000,,14400000.0,,,,,,,,16000000.0,,,,,,2300000.0,,,,,17300000,,,,,,,,,,,,7600000,,,,,,0.0,0.0,,,,,,,,500000.0,,,34100000.0,13900000.0,,8100000.0,,,,83000000.0,,,,,72300000.0,7100000.0,,,-400000.0,,,,,65200000.0,,,0.004444,,,,196347826.0,,,1300000.0,,,,,1800000.0,,,,7700000,,,,,,0.0,7700000,,,,,,,800000.0,1900000.0,,,,,400000.0,8400000.0,,,,,,1300000.0,,,,,,0.0,,,0.004444,0.0,,,,196347826.0,,,,,,,,,,6800000.0,6800000.0,,,7700000,86700000.0,,,,,3700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11400000,,19700000.0,,,,,,,,20700000.0,,,,,,2700000.0,,,,,22400000,,,,,,,,,,,,11400000,,,,,,0.0,0.0,,,,,,,,600000.0,,,46000000.0,19100000.0,,12700000.0,,,,80400000.0,,,,,84900000.0,7700000.0,,,-400000.0,,,,,47300000.0,,,0.005556,,,,196347826.0,,,1600000.0,,,,,21900000.0,,,,12000000,,,,,,0.0,12000000,,,,,,,1500000.0,2300000.0,,,,,700000.0,9300000.0,,,,,,1700000.0,,,,,,0.0,,,0.005556,0.0,,,,196347826.0,,,,,,,,,,4900000.0,4900000.0,,,12000000,104600000.0,,,,,24200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13500000,,23700000.0,,,40200000.0,,,3100000.0,,28700000.0,,,,-2500000.0,,4100000.0,39400000.0,5400000.0,,2300000.0,29600000,0.02,,300000.0,,,205061469.0,,82900000.0,,84400000.0,,13500000,,0.0,,,1900000.0,0.0,-57900000.0,6200000.0,36700000.0,-1300000.0,700000.0,,40200000.0,,700000.0,6300000.0,,60100000.0,23000000.0,,14900000.0,,60100000.0,,84400000.0,,,123900000.0,23700000.0,100200000.0,11700000.0,,,-1300000.0,,4900000.0,59800000.0,205061469.0,59800000.0,40200000.0,13000000.0,,32000000.0,45900000.0,39500000.0,,,,2300000.0,100200000.0,,,-100000.0,36700000.0,,,,14100000,,,1900000.0,,1200000.0,48400000.0,14100000,-57900000.0,,19900000.0,-18300000.0,,,1000000.0,2800000.0,,,,,800000.0,15200000.0,78000000.0,23000000.0,,,,900000.0,2800000.0,,48400000.0,,,0.0,,39800000.0,,45900000.0,,,,,-7500000.0,0.023333,,5400000.0,19900000.0,-37100000.0,,0.0,42500000.0,5400000.0,5400000.0,,,14100000,123900000.0,,38600000.0,,,39500000.0,4100000.0,,,4100000.0,,3100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15200000,,28700000.0,,,,,,,,28300000.0,,,,,,,,,,,30900000,,,,,,,,,,,,15200000,,,,,,0.0,0.0,,,,,,,,800000.0,,,,27900000.0,,16300000.0,,,,96100000.0,,,,,117100000.0,10700000.0,,,,,,,,58900000.0,,,0.008889,,,,205061469.0,,,2400000.0,,,,,45500000.0,,,,15500000,,,,,,0.0,15500000,,,,,,,1200000.0,4200000.0,,,,,800000.0,13100000.0,,,,,,2600000.0,,,,,,0.0,,,0.007778,0.0,,,,205061469.0,,,,,,,,,,11700000.0,11700000.0,,,15500000,145800000.0,,,,,49700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16100000,,31100000.0,,,,,,,,31400000.0,,,,,,,,,,,34300000,,,,,,,,,,,,16100000,,,,,,0.0,0.0,,,,,,,,900000.0,,,,30200000.0,,20200000.0,,,,93800000.0,,,,,136800000.0,12700000.0,,,,,,,,60700000.0,,,0.01,,,,205061469.0,,,2600000.0,,,,,68500000.0,,,,19200000,,,,,,0.0,19200000,,,,,,,4000000.0,5600000.0,,,,,1000000.0,15300000.0,,,,,,2900000.0,,,,,,0.0,,,0.01,0.0,,,,205061469.0,,,,,,,,,,6500000.0,6500000.0,,,19200000,167900000.0,,,,,74100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
