,trailingInvestingCashFlow,quarterlyOperatingCashFlow,annualPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,trailingCashDividendsPaid,trailingPretaxIncome,annualNonCurrentDeferredRevenue,annualTotalAssets,trailingNetIncome,annualNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentLiabilities,annualOtherNonCashItems,annualStockholdersEquity,annualLongTermDebt,quarterlyCurrentAccruedExpenses,annualDepreciationAndAmortization,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,annualRetainedEarnings,annualInventory,annualCurrentLiabilities,quarterlyGoodwill,quarterlyInvestmentsAndAdvances,annualGoodwill,quarterlyLongTermDebt,annualSaleOfInvestment,annualCommonStockIssuance,quarterlyNonCurrentDeferredTaxesLiabilities,annualStockBasedCompensation,quarterlyInventory,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,trailingChangeInWorkingCapital,annualCapitalStock,annualAccountsPayable,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalRevenue,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashAndCashEquivalents,annualOtherIncomeExpense,quarterlyCashDividendsPaid,trailingOperatingIncome,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOperatingCashFlow,trailingGrossProfit,annualNetPPE,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,annualEndCashPosition,quarterlyCapitalStock,trailingRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,quarterlyBeginningCashPosition,annualEbitda,trailingTotalRevenue,annualOperatingIncome,annualNetOtherInvestingChanges,annualGrossPPE,annualCashAndCashEquivalents,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlyInterestExpense,trailingEndCashPosition,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,trailingCashFlowFromContinuingFinancingActivities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,annualIncomeTaxPayable,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,annualPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentLiabilities,quarterlySaleOfInvestment,annualCapitalExpenditure,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,annualDeferredIncomeTax,trailingInterestExpense,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,annualRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue,annualCurrentAssets,trailingNetIncomeContinuousOperations,annualChangesInAccountReceivables,trailingOperatingExpense,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,quarterlyEbitda,annualNetIncomeCommonStockholders,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,trailingChangesInAccountReceivables,quarterlyChangeInAccountPayable,annualInterestExpense,annualRepaymentOfDebt,quarterlyInvestingCashFlow,quarterlyEndCashPosition,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyChangeInInventory,annualTotalNonCurrentAssets,quarterlyOtherNonCashItems,quarterlyCurrentLiabilities,annualOtherCurrentAssets,quarterlyCurrentDeferredRevenue,trailingChangeInAccountPayable,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,annualGrossProfit,trailingFreeCashFlow,trailingCommonStockIssuance,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,trailingCostOfRevenue,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyCapitalExpenditure,annualChangeInInventory,quarterlyCashFlowFromContinuingFinancingActivities,trailingDepreciationAndAmortization,trailingTaxProvision,annualCurrentDebt,annualCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,annualOperatingExpense,annualFreeCashFlow,annualBeginningCashPosition,annualPurchaseOfBusiness,annualCashDividendsPaid,annualCostOfRevenue,trailingOtherNonCashItems,annualNetIncome,annualDilutedEPS,trailingBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyBasicAverageShares,trailingPurchaseOfBusiness,quarterlyDilutedEPS,annualDilutedAverageShares,trailingResearchAndDevelopment,quarterlyBasicEPS,trailingSaleOfInvestment,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingOtherIncomeExpense,trailingPurchaseOfInvestment,annualResearchAndDevelopment,annualBasicEPS,trailingDilutedAverageShares,trailingCapitalExpenditure,quarterlyDilutedAverageShares,annualBasicAverageShares,trailingStockBasedCompensation,trailingChangeInInventory,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009756800,,,,,,,,,,,,915654000.0,,,,,298785000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,225375000.0,,,-38316000.0,,,,43317000.0,,821588000.0,,,,,,,,,,48568000.0,,20250000.0,,821588000.0,,,,,,,,,,,,,,,-18066000.0,,,,,,,,,,,,,12621000.0,,,,,,,,,,,,,,,,,,,,,,,,,-18807000.0,,,,,39386000.0,,,,,,,,,,,,,,,,143517000.0,,,,,-8804000.0,616869000.0,,,,,,,,,-9262000.0,,,,,,,,,,123267000.0,43317000.0,,,,81858000.0,,-18807000.0,,,,,,,,,,,,,,,,,,,,,,,
1041292800,,,,,,,,,,,,1445889000.0,,,,,398742000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,190449000.0,,,-20271000.0,,,,26720000.0,,1316659000.0,,,,,,,,,,179231000.0,,153193000.0,,1316659000.0,,,,,,,,,,,,,,,-7386000.0,,,,,,,,,,,,,11218000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,22351000.0,,,,,,,,,,,,,,,,,,,,,-4834000.0,1047147000.0,,,,,,,,,-2552000.0,,,,,,,,,,37256000.0,26720000.0,,,,,,-10386000.0,,,,,,,,,,,,,,,,,,,,,,,
1064880000,,,,,,,270000.0,3215000.0,,,,,,,,,,,,,,45075000.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15864000.0,,,,,,,,,3215000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29231000.0,,,,,,,,,,,76994000.0,60968000.0,,,,,,,,23084000.0,,,,,,,,,,,,362000.0,,76000.0,,122069000.0,,16026000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072828800,,15262000.0,,2968000.0,-10560000.0,18371000.0,-15846000.0,-18816000.0,,,,1364942000.0,,43612000.0,38576000.0,15661000.0,330345000.0,891848000.0,13263000.0,68285000.0,19040000.0,47985000.0,,,,2690000.0,93323000.0,28493000.0,540000.0,28493000.0,891848000.0,,,43612000.0,,2690000.0,19040000.0,,0.0,,332087000.0,,,940066000.0,460702000.0,-1742000.0,20229000.0,0.0,-36236000.0,,20229000.0,60034000.0,,1235304000.0,,,20229000.0,68032000.0,20229000.0,332087000.0,,-80478000.0,30789000.0,99805000.0,,31520000.0,0.0,1235304000.0,20229000.0,,,13281000.0,,25804000.0,,,1033389000.0,17960000.0,,1364942000.0,-18816000.0,540000.0,-23003000.0,,-14194000.0,1282297000.0,5512000.0,2968000.0,,-100888000.0,,,,1235304000.0,17960000.0,93591000.0,,,-3241000.0,,3893000.0,,,-3970000.0,,,82645000.0,,,,37611000.0,-1742000.0,,,330345000.0,16299000.0,-2073000.0,13263000.0,0.0,62849000.0,-22266000.0,,38576000.0,,,55235000.0,-508654000.0,56597000.0,20229000.0,,71033000.0,76216000.0,-94000.0,1282297000.0,-27669000.0,93323000.0,37611000.0,,,26244000.0,82645000.0,283899000.0,,,-129878000.0,940066000.0,-2017000.0,1033389000.0,1595000.0,,1235304000.0,-18297000.0,,-2452000.0,,119018000.0,-21003000.0,-5183000.0,-29456000.0,251000.0,-82419000.0,,,25804000.0,,,252379000.0,-40854000.0,22302000.0,,-72006000.0,176803000.0,,-22266000.0,,,,,,,,,,,,,,,,,,,,,,,
1080691200,,9345000.0,,,-3270000.0,,-8826000.0,-25345000.0,,,,,,,,,,,,,,42070000.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,-300000.0,,,,,,,,,15065000.0,,,,,20229000.0,,,,,,,,,13342000.0,,,,,,,,,0.0,,,,-9033000.0,,7419000.0,,,,,,,,,,,0.0,,,-5892000.0,,,-452000.0,,,,,,,,,,,,,,,0.0,20774000.0,,,,,,,,-18378000.0,16959000.0,,70901000.0,65192000.0,31000.0,,24875000.0,,,,,21470000.0,,,,,-2660000.0,,,,,,,-7531000.0,,1303000.0,,112971000.0,,5709000.0,-18378000.0,,5763000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088553600,,19178000.0,,,6624000.0,,707000.0,707000.0,,,,,,,,,,,,,,,,,,,,,,,708163000.0,,,,,,,,,,,,,,,,,,-3146000.0,,,,,,,,,14724000.0,,314000.0,,,16959000.0,,,,,,,,,10602000.0,,6708000.0,,,779981000.0,,,1261620000.0,707000.0,,,28493000.0,-34329000.0,,18052000.0,,,,,,,1139162000.0,,,,0.0,,,347000.0,,,-1492000.0,,,,,,,,,,,395224000.0,,,,0.0,226125000.0,,,,,,,,-24137000.0,23583000.0,,,-92802000.0,-102000.0,,328000.0,,,,,14332000.0,,,,,-30682000.0,,,,,,1139162000.0,,,,,118599000.0,,211401000.0,-53507000.0,,11583000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096502400,,12475000.0,,19133000.0,3104000.0,,5916000.0,4520000.0,,,,,,,34137000.0,,,,14212000.0,,29125000.0,48434000.0,25427000.0,,,,,28493000.0,8000.0,,833920000.0,,,40995000.0,,2539000.0,,,0.0,,,,,,,,26687000.0,,-5904000.0,,26687000.0,,,,,,,-29575000.0,,331089000.0,,,23583000.0,,,,,,,,,13762000.0,,64786000.0,,,1029162000.0,12580000.0,,1359593000.0,4520000.0,,,,-1286000.0,1255135000.0,-25596000.0,,,,,,,1214054000.0,,,,,,,-8847000.0,,,-673000.0,,,,,,,691000.0,-1742000.0,,,329347000.0,,,,0.0,34572000.0,,,,,,,,-5547000.0,26687000.0,,86364000.0,66534000.0,75000.0,,45223000.0,133840000.0,,,,25676000.0,104458000.0,,,,-11894000.0,895322000.0,,,,,1214054000.0,6370000.0,,415000.0,,134798000.0,,19830000.0,-13761000.0,,-3824000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104451200,,593000.0,,2968000.0,-26450000.0,-45769000.0,-19169000.0,-19130000.0,,,,1253745000.0,,0.0,18902000.0,26164000.0,417332000.0,667452000.0,5814000.0,61322000.0,28273000.0,48454000.0,336584000.0,,-27859000.0,2522000.0,121163000.0,28493000.0,4000.0,28493000.0,667452000.0,,362011000.0,0.0,,2522000.0,28273000.0,,0.0,,345000.0,41476000.0,5515000.0,670420000.0,502664000.0,0.0,5966000.0,0.0,0.0,,5966000.0,41591000.0,,1134791000.0,,,5966000.0,61108000.0,16261000.0,345000.0,,-15814000.0,26687000.0,106933000.0,,45611000.0,0.0,1134791000.0,5966000.0,14126000.0,,24362000.0,,45009000.0,,,791583000.0,22342000.0,,1253745000.0,-19130000.0,4000.0,-18262000.0,,-17886000.0,1185630000.0,-176948000.0,2968000.0,,-104125000.0,,,,1134791000.0,22342000.0,107753000.0,,,-2617000.0,,-2932000.0,41476000.0,-28511000.0,0.0,,,68115000.0,,-1024000.0,,147000.0,0.0,,,417332000.0,-177073000.0,-19992000.0,5814000.0,0.0,55961000.0,-36100000.0,,18902000.0,,4757000.0,64588000.0,-620238000.0,2293000.0,16261000.0,,76860000.0,82007000.0,-17000.0,1185630000.0,-44262000.0,121163000.0,147000.0,,,34677000.0,68115000.0,316708000.0,,,-575002000.0,670420000.0,-280000.0,791583000.0,-17324000.0,,1134791000.0,-21873000.0,,-560000.0,-27859000.0,125314000.0,-15711000.0,-5147000.0,-18479000.0,-13000.0,-29336000.0,,,45009000.0,,,271097000.0,-62534000.0,36253000.0,,-9350000.0,185956000.0,,-36100000.0,,,,,,,,,,,,,,,,,,,,,,,
1112227200,,16239000.0,,17595000.0,63932000.0,,954000.0,1797000.0,,,,,,,31968000.0,,,,3606000.0,,26039000.0,43254000.0,121250000.0,,,,,28493000.0,22988000.0,,437954000.0,,,,,2394000.0,,,0.0,,,,,,,,69898000.0,,-11016000.0,,69898000.0,,,,,,,14354000.0,,121595000.0,,,5966000.0,,,,,,,5916000.0,,12168000.0,,215073000.0,,,741368000.0,22345000.0,,1312049000.0,1409000.0,,,,2534000.0,1185274000.0,-269000.0,,,,,,,1111448000.0,,,,-125049000.0,,,-662000.0,24814000.0,,0.0,,,,,,,780000.0,,,,526754000.0,,,,0.0,27321000.0,,,,,-7284000.0,,,-13705000.0,69898000.0,,73303000.0,60336000.0,128000.0,,-1079000.0,285819000.0,,,,23559000.0,126775000.0,,,,-44991000.0,455549000.0,,,,,1111448000.0,1105000.0,,0.0,-36419000.0,116557000.0,,12967000.0,-13705000.0,,61398000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
