date,quarterlyCapitalStock,quarterlyDilutedEPS,quarterlyOtherIntangibleAssets,annualEbitda,annualRepaymentOfDebt,quarterlyPretaxIncome,quarterlyOperatingExpense,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedAverageShares,quarterlyAccumulatedDepreciation,annualBeginningCashPosition,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,annualGrossPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,annualSellingGeneralAndAdministration,quarterlyInterestExpense,quarterlyAccountsPayable,annualNonCurrentDeferredTaxesLiabilities,trailingNetIncomeContinuousOperations,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,annualDilutedEPS,annualPurchaseOfBusiness,trailingOperatingExpense,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,annualPurchaseOfInvestment,annualCapitalExpenditure,quarterlyGrossPPE,quarterlyOperatingIncome,annualInvestingCashFlow,annualGoodwill,annualInterestExpense,annualStockBasedCompensation,trailingNetIncome,quarterlyNetPPE,annualCapitalStock,quarterlyTaxProvision,annualBasicEPS,quarterlyDilutedAverageShares,quarterlyEbitda,annualNetOtherFinancingCharges,annualAccumulatedDepreciation,annualTotalLiabilitiesNetMinorityInterest,annualCommonStockIssuance,annualFreeCashFlow,annualChangeInWorkingCapital,annualGainsLossesNotAffectingRetainedEarnings,quarterlyRetainedEarnings,annualOperatingIncome,annualTotalRevenue,annualNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,annualRetainedEarnings,quarterlyGoodwill,trailingPretaxIncome,annualNetIncome,annualTaxProvision,annualTotalAssets,quarterlyTotalAssets,annualPretaxIncome,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,annualEndCashPosition,quarterlyBasicEPS,annualLongTermDebt,annualCashDividendsPaid,trailingTotalRevenue,trailingTaxProvision,annualInvestmentsAndAdvances,annualSaleOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,annualStockholdersEquity,annualOtherNonCashItems,quarterlyInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,quarterlyBasicAverageShares,annualCashAndCashEquivalents,annualDepreciationAndAmortization,quarterlyNetIncome,annualBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,annualNetPPE,annualOperatingCashFlow,annualNetIncomeCommonStockholders,annualOtherIntangibleAssets,annualAccountsPayable,trailingSellingGeneralAndAdministration,annualInventory,trailingBeginningCashPosition,trailingBasicAverageShares,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlyFreeCashFlow,trailingOtherIncomeExpense,trailingOperatingIncome,quarterlyCostOfRevenue,quarterlyCurrentLiabilities,quarterlyStockBasedCompensation,trailingCommonStockIssuance,annualChangesInAccountReceivables,quarterlyBeginningCashPosition,annualResearchAndDevelopment,annualGrossProfit,quarterlyDepreciationAndAmortization,annualOtherNonCurrentAssets,trailingPurchaseOfBusiness,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,trailingOtherNonCashItems,quarterlyEndCashPosition,quarterlySaleOfInvestment,trailingChangeInWorkingCapital,quarterlyOtherIncomeExpense,trailingCashFlowFromContinuingFinancingActivities,quarterlyCashFlowFromContinuingFinancingActivities,annualOtherCurrentAssets,quarterlyOperatingCashFlow,annualCurrentAssets,annualNonCurrentDeferredRevenue,trailingCostOfRevenue,trailingBasicEPS,annualOtherCurrentLiabilities,trailingDilutedEPS,trailingRepaymentOfDebt,quarterlyResearchAndDevelopment,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingStockBasedCompensation,quarterlyChangeInAccountPayable,trailingPurchaseOfInvestment,trailingInterestExpense,quarterlyCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,annualCurrentDeferredRevenue,trailingChangesInAccountReceivables,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,trailingCapitalExpenditure,trailingNetOtherInvestingChanges,annualAccountsReceivable,annualIncomeTaxPayable,quarterlyChangeInCashSupplementalAsReported,annualOtherNonCurrentLiabilities,annualTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyAccountsReceivable,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,annualChangeInInventory,trailingChangeInInventory,trailingChangeInAccountPayable,quarterlyPurchaseOfBusiness,annualDeferredIncomeTax,trailingCashDividendsPaid,trailingEndCashPosition,trailingOperatingCashFlow,quarterlyOtherCurrentAssets,trailingNetOtherFinancingCharges,trailingInvestingCashFlow,annualCurrentLiabilities,trailingDepreciationAndAmortization,trailingSaleOfInvestment,quarterlyCapitalExpenditure,annualOtherShortTermInvestments,trailingDeferredIncomeTax,quarterlyOtherNonCashItems,trailingGrossProfit,annualCostOfRevenue,quarterlyCurrentDeferredRevenue,trailingResearchAndDevelopment,quarterlyInventory,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,annualOtherIncomeExpense,quarterlyChangeInWorkingCapital,annualCurrentAccruedExpenses,trailingDilutedAverageShares,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualCashFlowFromContinuingFinancingActivities,annualChangeInAccountPayable,trailingFreeCashFlow,quarterlyGrossProfit,quarterlyOtherNonCurrentAssets
1987-12-31,,,,,,,,13015000000.0,,,,,,,,,,,,,,,15825000000.0,,,,,48332000000.0,,,,,,,,,,,14487000000.0,,,,,,,,,103033368931.85693,,,,,,,,,,,,20500000000.0,,,107876641747.70015,,588312442.620801,,,,,,,66729000000.0,4675000000.0,14792123358.2523,,,4290558896.82049,,,,,26771963352.25676,,,,,,,4427332171.6973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108654677814.61726,,,,,,,,,,,,,,,113903704771.51506,,637883811.44587,,,,,,,,,14235260198.933256,,,4630964393.830186,,,,,30155326510.01874,,,,,,,2659651146.028543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124926187419.76894,,,,,,,,,,,,,,,132581835686.77792,,699614890.885751,,,,,,,,,16761874197.689344,,,6729781771.501926,,,,,33733953786.90629,,,,,,,4754492939.666239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141439373480.9614,,,,,,,,,,,,,,,149245785270.63,,511168550.596042,,,,,,,,,23317001658.886616,,,6894024150.302843,,,,,37350025076.19305,,,,,,,4949654720.111107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31,,,,,,,,,,,,,,,,,,,,,,,,,243254369.222709,,,,,,,,,,,,,,,,,,,,,,,152239811384.30447,,,,,,,,,,,,,,,160521687062.60992,,870102166.835074,,,,,,,,,28037872834.10052,,,7235881890.647805,,,,,43450843905.54246,,,,,,,5003555256.165563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31,,,,,,,,,4994464077.169248,,,270862981200.0,,32684695069.236954,,,,,,,,,,,424673532.222104,0.00684,10480336098.76693,,,2170385087.892254,-9811475285.517117,-259354192.892785,,,6259384526.716515,,,,,,,,0.00684,,,,,266582743087.67993,665827430.876799,-1868563541.777259,529325224.091123,,,,,,,,,,1851879938.725676,429223605.781627,280801722961.18787,,2599608693.673881,,,43714073377.5196,,,,,,54813219480.3816,6030364157.55388,,12150213095.111704,,,,,53988139474.92151,315471766.793563,,270862981200.0,,,,7336235269.136851,-1609209348.884474,1851879938.725676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31,,,,,,,,,9483166676.528015,,,346462257600.0,,42633571977.98947,,,,,,,,,,,602035382.521744,0.007713,-436364712.14721,,,3060469794.686705,-16275664161.883911,-408259866.280102,,,-7850127211.407609,,,,,,,,0.007713,,,,,290732796875.9245,251464410.389918,15877758712.502218,13536181291.047867,,,,,,,,,,2671439559.789362,761789243.240045,306856103189.1604,,3822259037.92675,,,52624105082.5395,,,,,,63389740252.05609,8984675462.990356,,13806875332.820543,,,,,26788355718.596535,473344772.498669,,346462257600.0,,,,7072066741.612922,16286018578.782322,2671439559.789362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-31,,,,,,,,,-1249159670.43447,,,355137584400.0,,55619655113.11227,,,,,,,,,,,634741960.195738,0.009037,-26577865.328393,,,3653674780.732611,-16501727561.246346,-650375998.624205,,,1344527304.848115,,,,,,,,0.009037,,,,,295569313509.3726,12507230.742773,-2603067398.339665,-6955583696.824727,,,,,,,,,,3209668089.364164,1296061785.719869,315054015602.7703,,4949736566.45248,,,52763316292.231445,,,,,,58679236433.563156,18305895595.891376,,16869127464.315308,,,,,33955568062.786297,534684114.253553,,355137584400.0,,,,7687256695.276957,-1952691399.715461,3209668089.364164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-31,,,,,,,,,-237962791.272637,,,360645728400.0,,8064466283.45386,,,,,,,,,,,973484146.115335,0.010548,-247234068.854688,,,4287965881.698498,-15741084121.391928,-622720810.927746,,,-2974534890.907967,,,,,,,,0.010548,,,,,326641016132.023,378577167.933741,4283330242.907473,-1319611842.511898,,,,,,,,,,3804314234.501514,1386055998.516596,350482106434.26666,,5674021880.215094,,,8007293405.031213,,,,,,71639161876.50658,13647320600.778788,,20685765498.48569,,,,,39716607948.57532,536188886.828605,,360645728400.0,,,,8946782866.679028,4906051053.835218,3804314234.501514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31,,,,22887625440.969963,-154125423.844916,,,,7526458197.760044,,3106483542.829743,364368338747.0,,13860523307.189095,,,,,8052197143.542145,,,673014350.789465,,,8680686371.887524,0.014626,-49662636.572251,,,6490392848.580334,-23185601260.403465,-1114840565.811556,,,-7062369421.515909,,14511764907.353495,,,,3448984484.707333,,0.014626,,,0.0,,375451244990.9237,22262561.222043,11672432099.188272,10752470801.794704,,,1058327910.401754,1715929718.806727,-1381991300.476076,,17428160427.441174,,,5909853752.097818,1837517553.173271,405098126519.8479,,7747371305.271089,8108709798.951947,,23751726547.248005,,17193547282.255028,,,,133309239990.40997,18327225399.86985,,26007809021.474808,1221015857.793609,,,,3106483542.829743,981631040.860362,,364368338747.0,,,,10682604377.162037,12787272664.999828,5329314655.615303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
