date,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,annualRepaymentOfDebt,quarterlyPurchaseOfBusiness,annualOtherNonCurrentLiabilities,annualEbitda,quarterlyPretaxIncome,annualOtherIncomeExpense,quarterlyOperatingExpense,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,trailingGrossProfit,quarterlyCurrentDeferredRevenue,trailingNetIncomeCommonStockholders,quarterlyNetOtherInvestingChanges,annualCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyBasicAverageShares,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,quarterlyOtherCurrentAssets,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,annualBeginningCashPosition,trailingOtherIncomeExpense,annualGrossPPE,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,trailingChangeInCashSupplementalAsReported,quarterlyCashCashEquivalentsAndMarketableSecurities,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyChangesInAccountReceivables,trailingCashFlowFromContinuingFinancingActivities,quarterlySaleOfInvestment,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingNetIncomeContinuousOperations,annualOperatingExpense,trailingOperatingExpense,trailingOtherNonCashItems,annualPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,trailingSellingGeneralAndAdministration,annualCapitalExpenditure,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyGrossPPE,annualInvestingCashFlow,trailingNetOtherFinancingCharges,trailingCashDividendsPaid,annualInterestExpense,trailingBeginningCashPosition,trailingNetIncome,quarterlyDilutedEPS,trailingCostOfRevenue,quarterlyOtherCurrentLiabilities,annualPurchaseOfInvestment,quarterlyNetPPE,annualChangesInAccountReceivables,quarterlyTaxProvision,annualTotalRevenue,annualCapitalStock,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,annualAccumulatedDepreciation,annualNetOtherFinancingCharges,quarterlyChangeInCashSupplementalAsReported,annualGrossProfit,annualDeferredIncomeTax,quarterlyEbitda,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualBasicAverageShares,annualCommonStockIssuance,annualFreeCashFlow,annualChangeInWorkingCapital,quarterlyFreeCashFlow,quarterlyRetainedEarnings,annualOperatingIncome,trailingChangeInWorkingCapital,annualNetOtherInvestingChanges,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,annualRetainedEarnings,trailingCommonStockIssuance,trailingFreeCashFlow,trailingPretaxIncome,annualNetIncome,annualTaxProvision,annualNonCurrentDeferredRevenue,annualPretaxIncome,annualTotalAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,annualEndCashPosition,trailingTotalRevenue,annualLongTermDebt,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,annualCurrentDeferredRevenue,annualOtherCurrentAssets,annualCostOfRevenue,trailingInvestingCashFlow,annualAccountsPayable,quarterlyDilutedAverageShares,quarterlyPurchaseOfInvestment,annualBasicEPS,trailingOperatingIncome,quarterlyOtherNonCurrentLiabilities,trailingEndCashPosition,quarterlyDepreciationAndAmortization,trailingTaxProvision,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,annualSaleOfInvestment,quarterlyOtherNonCurrentAssets,annualInvestmentsAndAdvances,annualStockholdersEquity,annualOtherNonCashItems,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,annualDilutedAverageShares,annualRepurchaseOfCapitalStock,annualDepreciationAndAmortization,quarterlyBasicEPS,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualCurrentAssets,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyLongTermDebt,quarterlyOtherIncomeExpense,annualChangeInAccountPayable,quarterlyCurrentAccruedExpenses,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetPPE,trailingNetOtherInvestingChanges,annualCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,annualOperatingCashFlow,annualOtherNonCurrentAssets,quarterlyAccountsReceivable,annualDilutedEPS,annualNetIncomeCommonStockholders,annualOtherIntangibleAssets,annualChangeInInventory,annualGoodwill,trailingDilutedAverageShares,annualResearchAndDevelopment,annualStockBasedCompensation,quarterlyStockBasedCompensation,trailingBasicEPS,quarterlyDeferredIncomeTax,annualIncomeTaxPayable,trailingChangeInAccountPayable,trailingDeferredIncomeTax,quarterlyGoodwill,quarterlyChangeInInventory,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingChangeInInventory,trailingResearchAndDevelopment,annualOtherShortTermInvestments,annualCurrentDebt,quarterlyNonCurrentDeferredTaxesLiabilities,trailingSaleOfInvestment,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,annualInventory,trailingChangesInAccountReceivables,quarterlyInventory,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfInvestment,trailingDilutedEPS
1993-03-31,,,,,,,,,,,-81008000.0,645301000.0,,404515000.0,,,,80000000.0,,,,,91115000.0,,,,244619000.0,,-285825000.0,,,-22269000.0,,,,,268051000.0,,-30440000.0,,,,,-9155000.0,,408547000.0,,395752000.0,35312000.0,,,19900000,,61900000.0,,,,19900000,,,-79348000.0,-309362000.0,,272801000.0,406066000.0,0.07,368840000.0,,,,,,,,,,,,,,,,,19900000,,,,,,,,,,34860000.0,,,,,,,226994000.0,231020000.0,414345000.0,,,,,,,5600000,,1014141000.0,,,,,,,-508674000.0,,80000000.0,,,249549000.0,,250532000.0,,5798000.0,,,,,,,,,,,,,,0.07,,,5600000,5600000,,,,,516845000.0,,,,,,,91244000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-30,,,,,,,,,,,,,,,,,,80000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19900000,,,,,,19900000,,,,,,,,0.07,,,,,,,,,,,,,,,,,,19900000,,,,,,,,,,,,,,,,,,,,,,,,,,5600000,,,,,,,,,,,80000000.0,,,,,,,,,,,,,,,,,,,,,0.07,,,5600000,5600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-09-30,,,,,,,,,-2600000.0,,,,,,,,32600000.0,40000000.0,,,,,,,,,,,,,,,,,,1800000.0,,,,,,,,,,,,,,,,4300000,,,,,,6900000,,,,,,,,-0.01,,,,,,,,,,,,,,,,,,6900000,,,,,,,,-35700000.0,,,,,,,100000.0,,,,,,,,,,125400000.0,-400000,,,,,,,,,,,40000000.0,,,,,,,,,92800000.0,,,,,,,,,,,,-0.01,,,-400000,-400000,,,,,,89200000.0,,,300000.0,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31,,,-78500000.0,,,66500000.0,,,-11200000.0,,,,,,-5900000.0,,347000000.0,,10100000.0,,,310700000.0,,,1800000.0,,,569100000.0,,,,,,,3400000.0,4700000.0,,0.0,,,0.0,,,,,,-19200000.0,,,,11400000.0,27000000,5000000.0,,-308700000.0,-307800000.0,312400000.0,38200000,569100000.0,-314900000.0,,,10300000.0,,,,,,,569100000.0,100000.0,,39900000.0,,,,1400000.0,,,-5600000.0,,,,42200000,283900000.0,,33333333.0,309300000.0,-294500000.0,200000.0,-296400000.0,-30600000.0,59100000.0,,-6200000.0,,,,3000000.0,-30600000.0,,,,5000000.0,,,,632900000.0,632900000.0,6000000,,,249800000.0,,-3400000.0,,,,,,,,0.23,,,,4000000.0,,,283900000.0,,,,347000000.0,1600000.0,200000.0,,,33333333.0,,7400000.0,,,8200000.0,6000000,6000000,,-313700000.0,,1200000.0,,249800000.0,,,8200000.0,,569100000.0,,,-800000.0,,14200000.0,,1200000.0,0.23,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-03-31,,,,,,,,,-10500000.0,10100000.0,,,,,-2100000.0,,345100000.0,32092000.0,,,,,,,-11300000.0,,,,,,,,,,,4200000.0,,100000.0,,,-1400000.0,,,,,,,,,,9400000.0,25700000,,,,-7300000.0,-2000000.0,36200000,573900000.0,,,,,,,0.09,,,,573900000.0,,,,,,,1200000.0,,,,-2000000.0,,,40200000,,,,,,,2100000.0,-32500000.0,,,,,,,3400000.0,,,,,,,,,,637200000.0,5600000,,,,,,,,,,,32092000.0,,,,,,4000000.0,,-800000.0,289900000.0,,,,,,-600000.0,,,,,,0.09,,,5600000,5600000,,-9400000.0,,,,260000000.0,,,,,,,,-9200000.0,,,,3800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-30,,,,,,,,,-11500000.0,,,,,,-2000000.0,,343500000.0,32092000.0,,,,,,,-700000.0,,,,,,,,,,,4500000.0,,,,,,,,,,,,,,,15900000.0,26300000,,,,-47200000.0,30200000.0,37800000,623800000.0,,,,,,,0.09,,,,623800000.0,,,,,,,4600000.0,,,,-3000000.0,,,41900000,,,,,,,-31300000.0,-34100000.0,,,,,,,2600000.0,,,,,,,,,,692500000.0,5800000,,,,,,,,,,,32092000.0,,,,,,4100000.0,,,346900000.0,,,,,,-400000.0,,,,,,0.09,,,5800000,5800000,,-49200000.0,,,,302900000.0,,,,,,,,-9700000.0,,,,4400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-09-30,,,,,,,,,-12000000.0,,,,,,-79800000.0,,426300000.0,39092000.0,,,,,,,-67300000.0,,,,,,,,,,,5200000.0,,,,,,,,,,,,,,,-200000.0,30300000,,,,51000000.0,57500000.0,42300000,649600000.0,,,,,,,0.12,,,,649600000.0,,,,,,,-12500000.0,,,,28500000.0,,,46900000,,,,,,,50800000.0,-34400000.0,,,,,,,3500000.0,,,,,,,,,,754800000.0,7700000,,,,,,,,,,,39092000.0,,,,,,4600000.0,,,325900000.0,,,,,,-1700000.0,,,,,,0.12,,,7700000,7700000,,-28800000.0,,,,287700000.0,,,,,,,,-9100000.0,,,,4600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-31,204000.0,,-79649000.0,,,48838000.0,,,111529000.0,,,,,,-28954000.0,40433000.0,445384000.0,,30368000.0,,,94733000.0,,-38058000.0,-349000.0,10065000.0,,723713000.0,,40433000.0,,,40433000.0,,2145000.0,5020000.0,,,,,,869000.0,,,,,77029000.0,,,,26773000.0,25531000,26216000.0,,-6721000.0,-3221000.0,9033000.0,-85998000,723713000.0,-116238000.0,,,18920000.0,,,,,,,685655000.0,700000.0,,107831000.0,204000.0,9045000.0,,14654000.0,,-38058000.0,-2062000.0,6868000.0,,,-83630000,328183000.0,,34278000.0,92145000.0,45152000.0,1400000.0,23552000.0,-35921000.0,30802000.0,,-112854000.0,,,,-6555000.0,-35921000.0,,,,26216000.0,,,,774901000.0,774901000.0,7116000,40433000.0,,298640000.0,,-40705000.0,,,,,869000.0,,,0.765,,,,2368000.0,,,328183000.0,,,694073000.0,445384000.0,7954000.0,638000.0,,694073000.0,34278000.0,,15068000.0,,40433000.0,8983000.0,7116000,7116000,,-28838000.0,,4257000.0,,298640000.0,,,8983000.0,,685655000.0,,,-12705000.0,,51873000.0,,4257000.0,0.765,26216000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-03-31,,,,,,,,,-13200000.0,40400000.0,,,,,-3100000.0,,443200000.0,40784000.0,,,,,,,,,,,,,,,,,,5100000.0,,,,,,,,,,,,,,,15900000.0,29800000,,,,-31900000.0,-13600000.0,43000000,715700000.0,,,,,,,0.09,,,,715700000.0,,,,,,,2900000.0,,,,-32600000.0,,,48600000,,,,,,,-16000000.0,-38100000.0,,,,,,,2400000.0,,,,,,,,,,773000000.0,7400000,,,,,,,,,,,40784000.0,,,,,,5600000.0,,,328600000.0,,,,,,-2100000.0,,,,,,0.09,,,7400000,7400000,,-35000000.0,,,,298500000.0,,,,,,,,-11500000.0,,,,4300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-06-30,,,,,,,,,-13400000.0,,,,,,-111300000.0,,538600000.0,48270000.0,,,,,,,,,,,,,,,,,,4900000.0,,,,,,,,,,,,,,,24900000.0,31400000,,,,,82200000.0,44800000,793200000.0,,,,,,,0.095,,,,793200000.0,,,,,,,11100000.0,,,,27500000.0,,,50300000,,,,,,,56800000.0,-39400000.0,,,,,,,2500000.0,,,,,,,,,,886900000.0,8300000,,,,,,,,,,,48270000.0,,,,,,5500000.0,,,342600000.0,,,,,,-2600000.0,,,,,,0.095,,,8300000,8300000,,-79400000.0,,,,300200000.0,,,,,,,,-11500000.0,,,,3700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
