date,annualOperatingIncome,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualResearchAndDevelopment,quarterlyOtherNonCashItems,trailingOperatingIncome,annualAccountsPayable,annualFreeCashFlow,annualCommonStockIssuance,quarterlyCurrentAssets,annualOtherShortTermInvestments,quarterlySellingGeneralAndAdministration,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,annualEndCashPosition,quarterlyOtherShortTermInvestments,annualOtherCurrentAssets,trailingNetOtherInvestingChanges,quarterlyRetainedEarnings,trailingTotalRevenue,annualChangeInWorkingCapital,quarterlyPurchaseOfInvestment,annualNetOtherInvestingChanges,quarterlyTotalNonCurrentAssets,annualCashAndCashEquivalents,trailingNetIncome,trailingTaxProvision,trailingPretaxIncome,quarterlyOperatingIncome,quarterlyTotalRevenue,trailingEndCashPosition,quarterlyTotalLiabilitiesNetMinorityInterest,annualPretaxIncome,annualNetIncome,quarterlyNetIncomeCommonStockholders,annualCashDividendsPaid,annualInvestmentsAndAdvances,quarterlyTotalAssets,annualCurrentDebt,annualNetIncomeContinuousOperations,quarterlyFreeCashFlow,annualOperatingExpense,annualCurrentDeferredRevenue,annualCostOfRevenue,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDilutedEPS,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualSaleOfInvestment,quarterlyOtherCurrentAssets,annualStockholdersEquity,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,annualLongTermDebt,annualRepurchaseOfCapitalStock,annualBasicEPS,annualCurrentAssets,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,annualCurrentAccruedExpenses,annualRetainedEarnings,annualCurrentLiabilities,quarterlyEndCashPosition,trailingNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyStockholdersEquity,annualTotalAssets,annualTaxProvision,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,annualDepreciationAndAmortization,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyInventory,quarterlyGrossProfit,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,trailingOperatingCashFlow,annualAccountsReceivable,annualOtherIncomeExpense,annualNetPPE,trailingGrossProfit,quarterlyOperatingExpense,trailingOtherIncomeExpense,quarterlyPretaxIncome,annualOperatingCashFlow,annualGrossProfit,annualTotalNonCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,quarterlyRepaymentOfDebt,quarterlyCapitalStock,annualDilutedEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTaxProvision,annualEbitda,quarterlyNetPPE,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlyCurrentDebt,annualGrossPPE,quarterlyCapitalExpenditure,quarterlyInterestExpense,trailingDepreciationAndAmortization,annualBasicAverageShares,trailingCashFlowFromContinuingFinancingActivities,annualChangeInInventory,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,trailingOtherNonCashItems,annualPurchaseOfBusiness,annualCapitalExpenditure,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,annualInvestingCashFlow,quarterlyOperatingCashFlow,trailingInvestingCashFlow,annualAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,annualIncomeTaxPayable,quarterlyGrossPPE,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue,trailingInterestExpense,annualChangesInAccountReceivables,quarterlyAccountsPayable,trailingCashDividendsPaid,annualNonCurrentDeferredRevenue,annualNonCurrentDeferredTaxesLiabilities,quarterlyChangeInCashSupplementalAsReported,trailingPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingCapitalExpenditure,quarterlyOtherCurrentLiabilities,trailingOperatingExpense,trailingNetIncomeContinuousOperations,trailingChangeInInventory,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,trailingStockBasedCompensation,annualDilutedAverageShares,quarterlyEbitda,annualChangeInCashSupplementalAsReported,annualStockBasedCompensation,quarterlyStockBasedCompensation,annualGoodwill,annualInventory,annualNetOtherFinancingCharges,annualCashFlowFromContinuingFinancingActivities,trailingChangeInWorkingCapital,annualRepaymentOfDebt,annualInterestExpense,quarterlyBasicEPS,annualCapitalStock,annualPurchaseOfInvestment,quarterlyBasicAverageShares,annualTotalRevenue,trailingBasicAverageShares,trailingDeferredIncomeTax,trailingRepurchaseOfCapitalStock,trailingSellingGeneralAndAdministration,trailingChangesInAccountReceivables,trailingDilutedEPS,trailingBasicEPS,trailingResearchAndDevelopment,quarterlyDeferredIncomeTax,trailingCommonStockIssuance,quarterlyChangeInAccountPayable,trailingSaleOfInvestment,trailingPurchaseOfInvestment,trailingChangeInAccountPayable,quarterlyResearchAndDevelopment,annualDeferredIncomeTax,trailingDilutedAverageShares
1970-01-01 00:00:00.733536000,,,,,,,,,326000000.0,,,,,,,,-99000000.0,,,1197000000.0,,,,29000000.0,,4296000000.0,,,,,,-164000000.0,139000000.0,-110000000.0,15300000,15300000,681000000.0,,,,8000000,,,,,,,,,,8200000,8000000,0.1425,,,,,,56140351.0,,,,,,,,,,,,,,,-164000000.0,,,,,,,,,,,,,,,,763000000.0,,,,3097000000.0,,52000000.0,,,,,,,,,,,,,,,,,,-1016000000.0,,-115000000.0,,,,,1019000000.0,,1561000000.0,,,,,,,,653000000.0,,,,,,,-2466000000.0,,,,,758000000.0,,459000000.0,,,-266000000.0,,,,-1963000000.0,,,,-862000000.0,,2771000000.0,-249000000.0,5000000.0,,-13000000.0,30000000.0,,15300000,,,,,,,,-126000000.0,,,0.1425,,,56140351.0,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.741398400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15300000,15300000,,,,,8200000,,,,,,,,,,8200000,8200000,0.1425,,,,,,57543860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15300000,,,,,,,,,,,0.1425,,,57543860.0,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.749347200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15300000,15300000,,,,,8200000,,,,,,,,,,8200000,8200000,0.1425,,,,,,57543860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15300000,,,,,,,,,,,0.1425,,,57543860.0,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.757296000,9300000.0,,,111900000.0,39500000.0,,,,,20700000.0,-40300000.0,,39600000.0,,,151400000.0,,,39500000.0,,0.0,,9600000.0,,-65300000.0,,,,77000000.0,204100000.0,7700000.0,,,,-36700000,15300000,,151400000.0,50500000.0,32700000.0,8200000,,,243700000.0,69700000.0,32900000.0,,26100000.0,,25900000.0,8200000,8200000,,150200000.0,18400000.0,,9600000.0,92300000.0,,0.0,-56700000.0,21300000.0,,0.5775,39600000.0,,32700000.0,,,,-65300000.0,111900000.0,,,,92300000.0,243700000.0,17600000.0,,,7700000.0,,21300000.0,3200000.0,,18200000.0,,,,,,,53900000.0,,,,,-16300000.0,35400000.0,204100000.0,,,7700000.0,,,,0.5775,7700000.0,7700000.0,,17000000.0,53900000.0,,,,,69700000.0,64800000.0,,,,56623377.0,,,150200000.0,,,-10900000.0,0.0,9300000.0,,,-24000000.0,,,53000000.0,,,-10900000.0,,,64800000.0,,,,,20700000.0,,,18200000.0,,,,,,,21500000.0,,,,21500000.0,,,56623377.0,-36700000,-1600000.0,,,,3200000.0,-19900000.0,,,,,,,,,61300000.0,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.765072000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000000,16000000,,,,,23600000,,,,,,,,,,-2400000,23600000,0.3975,,,,,,59371069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000000,,,,,,,,,,,0.3975,,,59371069.0,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.772934400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18400000,18400000,,,,,-3300000,,,,,,,,,,-3300000,-3300000,-0.06,,,,,,55000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18400000,,,,,,,,,,,-0.06,,,55000000.0,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.780883200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23500000,23500000,,,,,8100000,,,,,,,,,,8100000,8100000,0.135,,,,,,60000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23500000,,,,,,,,,,,0.135,,,60000000.0,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.788832000,-600000.0,,,90200000.0,124200000.0,,,,,18500000.0,-74200000.0,23200000.0,75400000.0,,,214400000.0,,,124200000.0,,0.0,,11200000.0,,-32100000.0,,-13700000.0,,10400000.0,265000000.0,31600000.0,,,,-58500000,23500000,,214400000.0,20800000.0,10400000.0,8000000,,,340400000.0,45600000.0,10400000.0,,47500000.0,,34500000.0,8000000,8000000,,179000000.0,38100000.0,,11200000.0,126000000.0,,0.0,-31900000.0,105100000.0,,0.1725,75400000.0,,10400000.0,,,,-32100000.0,90200000.0,,,,126000000.0,340400000.0,10400000.0,,,9400000.0,,105100000.0,6200000.0,,19100000.0,,,,,,,86000000.0,,,,,-25700000.0,46900000.0,265000000.0,,,31600000.0,,,,0.1725,31600000.0,31600000.0,,8800000.0,86000000.0,,,,,45600000.0,102900000.0,,,,60289855.0,,-3400000.0,179000000.0,,,-16900000.0,0.0,7700000.0,,,-48500000.0,,,-38100000.0,,,-16900000.0,,,102900000.0,,,,,18500000.0,,,19100000.0,,,,,,,26100000.0,,,,26100000.0,,,60289855.0,-58500000,24000000.0,,,,6200000.0,-100000.0,,,,,,,,,81400000.0,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.796608000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26400000,26400000,,,,,-5900000,,,,,,,,,,-5900000,-5900000,-0.0975,,,,,,60512821.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26400000,,,,,,,,,,,-0.0975,,,60512821.0,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.804470400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29100000,29100000,,,,,-4200000,,,,,,,,,,-4200000,-4200000,-0.0675,,,,,,62222222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29100000,,,,,,,,,,,-0.0675,,,62222222.0,,,,,,,,,,,,,,,,,,
