date,trailingNetIncomeCommonStockholders,trailingChangeInCashSupplementalAsReported,annualOtherNonCurrentLiabilities,annualDilutedEPS,trailingInterestExpense,annualCashCashEquivalentsAndMarketableSecurities,annualRepaymentOfDebt,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,annualBasicEPS,annualBasicAverageShares,annualBeginningCashPosition,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentAssets,quarterlyCapitalStock,trailingRepaymentOfDebt,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualGrossPPE,annualNetIncomeContinuousOperations,trailingStockBasedCompensation,trailingNetIncomeContinuousOperations,trailingOtherNonCashItems,annualStockBasedCompensation,quarterlyAccountsPayable,quarterlyNetPPE,annualNonCurrentDeferredTaxesLiabilities,annualOperatingExpense,annualChangeInInventory,trailingSellingGeneralAndAdministration,quarterlyAccumulatedDepreciation,annualInvestingCashFlow,trailingNetOtherFinancingCharges,annualCapitalExpenditure,annualTotalRevenue,annualCapitalStock,annualPurchaseOfInvestment,trailingGrossProfit,quarterlyOtherCurrentLiabilities,quarterlyGrossPPE,annualInterestExpense,quarterlyCurrentLiabilities,trailingOperatingExpense,trailingBeginningCashPosition,trailingCostOfRevenue,annualInventory,quarterlyRetainedEarnings,annualNetOtherFinancingCharges,annualChangeInWorkingCapital,trailingChangeInInventory,annualDilutedAverageShares,annualAccumulatedDepreciation,annualGrossProfit,quarterlyOtherShortTermInvestments,quarterlyAccountsReceivable,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalAssets,annualNetIncome,trailingPretaxIncome,trailingNetIncome,quarterlyCurrentAssets,trailingCashDividendsPaid,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyLongTermDebt,trailingCommonStockIssuance,annualNetOtherInvestingChanges,annualRetainedEarnings,trailingOperatingIncome,annualCostOfRevenue,annualAccountsPayable,annualOtherCurrentAssets,annualCashDividendsPaid,trailingPurchaseOfInvestment,annualLongTermDebt,annualPretaxIncome,annualCurrentDebt,annualFreeCashFlow,annualOperatingIncome,annualEndCashPosition,trailingTotalRevenue,quarterlyTotalAssets,trailingEndCashPosition,trailingTaxProvision,trailingInvestingCashFlow,trailingDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyOtherNonCurrentLiabilities,annualCashAndCashEquivalents,annualOtherNonCashItems,annualDepreciationAndAmortization,annualStockholdersEquity,quarterlyInventory,trailingSaleOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,annualTaxProvision,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentAssets,annualOperatingCashFlow,trailingOperatingCashFlow,annualAccountsReceivable,annualCurrentAssets,annualSaleOfInvestment,annualOtherShortTermInvestments,annualCommonStockIssuance,annualEbitda,annualOtherIntangibleAssets,annualNetPPE,annualOtherNonCurrentAssets,annualNetIncomeCommonStockholders,annualCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualPurchaseOfBusiness,quarterlyCostOfRevenue,annualChangesInAccountReceivables,quarterlyOtherNonCashItems,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,annualResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,trailingBasicEPS,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,annualGoodwill,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,quarterlyGoodwill,quarterlyPretaxIncome,trailingRepurchaseOfCapitalStock,annualOtherIncomeExpense,quarterlyInterestExpense,trailingNetOtherInvestingChanges,quarterlyResearchAndDevelopment,trailingChangesInAccountReceivables,quarterlyTaxProvision,quarterlyEbitda,trailingDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,trailingOtherIncomeExpense,quarterlyCashFlowFromContinuingFinancingActivities,annualNonCurrentDeferredRevenue,annualCurrentAccruedExpenses,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,trailingDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualIncomeTaxPayable,quarterlyCashDividendsPaid,trailingBasicAverageShares,annualDeferredIncomeTax,trailingPurchaseOfBusiness,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,trailingDilutedEPS,quarterlyOperatingExpense,trailingResearchAndDevelopment,quarterlyOperatingIncome,annualRepurchaseOfCapitalStock,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,annualInvestmentsAndAdvances,quarterlyTotalRevenue,annualCurrentDeferredRevenue
2013-12-31,188096000.0,16186000.0,0.0,0.059823,1544000.0,317045000.0,-100618000.0,,63462000.0,95421000.0,-490873000.0,,,0.059823,1033872000.0,218170000.0,,,,-60528000.0,1043831000.0,77095000.0,4099438000.0,61849000.0,4331000.0,196015000.0,-25232000.0,,,,2527000.0,75058000.0,-5005000.0,137696000.0,,-16754000.0,316916000.0,-34816000.0,584719000.0,0.0,0.0,308943000.0,,,16479000.0,,136254000.0,836722000.0,632154000.0,99229000.0,,0.0,12871000.0,-12413000.0,1033872000.0,-3495130000.0,125449000.0,,,-16549000.0,,,1647617000.0,61849000.0,227258000.0,188096000.0,,-50887000.0,591398000.0,-226450000.0,,402466000.0,2788000.0,-1176527000.0,172689000.0,459270000.0,60227000.0,2072000.0,,-3186656000.0,265012000.0,70813000.0,101513000.0,149418000.0,50391000.0,317045000.0,941097000.0,,852908000.0,31243000.0,-854789000.0,122741000.0,,,317045000.0,8964000.0,105853000.0,1056219000.0,,2720060000.0,,8964000.0,,,184234000.0,264423000.0,86913000.0,603786000.0,,,0.0,193145000.0,22838000.0,604308000.0,0.0,61849000.0,323859000.0,267539000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,,,0.0,0.11,,646773000.0,-101301000.0,1465479000.0,63885000.0,331541000.0,,646773000.0,646773000.0,0.11,853421114.0,317045000.0,14708000.0,2583000.0,0.0,,1089031000.0,92259000.0,4144712000.0,93090000.0,,,,,63532000.0,592820000.0,11988000.0,90515000.0,1418000.0,,-3551892000.0,-96930000.0,,-80159000.0,664586000.0,0.0,-57199000.0,,63885000.0,4144712000.0,12136000.0,329571000.0,,,,93988000.0,-1093800000.0,0.0,19312000.0,,853421114.0,-3551892000.0,197771000.0,,74780000.0,,1089031000.0,195019000.0,1990069000.0,93090000.0,,,901038000.0,,524590000.0,,183031000.0,,3088000.0,-1093800000.0,,466815000.0,63532000.0,2583000.0,,,183031000.0,120812000.0,81690000.0,141581000.0,107256000.0,646773000.0,,1990069000.0,,,,,81690000.0,0.0,646773000.0,8265000.0,83767000.0,1465479000.0,93988000.0,,524590000.0,27722000.0,11988000.0,0.0,221740000.0,,74780000.0,901038000.0,,,331730000.0,216715000.0,14708000.0,592820000.0,0.0,93090000.0,329571000.0,195019000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,,,,,,,,1528960000.0,,,,334937000.0,491637000.0,,,,13390000.0,0.0,0.0,,,,,,,,,,58169000.0,650287000.0,,,,,,,,,,,,,60274000.0,650287000.0,,296764000.0,,,,,,,,,,,,156700000.0,87923000.0,,1149968000.0,188351000.0,,,,,864107000.0,,,,183068000.0,,,,,,,,,,,,,,,,,2014075000.0,,,,,62096000.0,0.0,,,,,85061000.0,,485115000.0,,5283000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,,,0.0,0.11,,510441000.0,-119854000.0,1490690000.0,53881000.0,-108574000.0,,510441000.0,510441000.0,0.11,1033871656.0,646773000.0,8516000.0,41796000.0,0.0,,1113903000.0,112147000.0,4069832000.0,112549000.0,,,,1331000.0,66280000.0,651300000.0,5246000.0,101737000.0,-14563000.0,,-3418532000.0,-207658000.0,,-183083000.0,650131000.0,0.0,0.0,,53881000.0,4069832000.0,7754000.0,277926000.0,,,,107081000.0,-992003000.0,0.0,-7839000.0,,1034816656.0,-3418532000.0,201426000.0,,58192000.0,,1113903000.0,143117000.0,1911733000.0,112549000.0,,,797830000.0,,421043000.0,,137871000.0,,-40000000.0,-992003000.0,,448705000.0,66280000.0,41796000.0,,,137871000.0,125252000.0,42750000.0,4694000.0,99689000.0,510441000.0,,1911733000.0,,,,,42750000.0,0.0,510441000.0,606000.0,78340000.0,1490690000.0,107081000.0,,421043000.0,12703000.0,5246000.0,0.0,187777000.0,,58192000.0,797830000.0,,,0.0,211346000.0,8516000.0,651300000.0,0.0,112549000.0,277926000.0,143117000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,,,,,,,,1486147000.0,,,,457909000.0,457909000.0,,,,6987000.0,61195000.0,0.0,,,,,,,,,,58442000.0,699512000.0,,,,,,,,,,,,,51753000.0,699512000.0,,298127000.0,,,,,-973452000.0,,,,,,,,76887000.0,,1151272000.0,143132000.0,,,,,776134000.0,,,,137063000.0,,,,,,,,,,,,,,,,,1927406000.0,,,,,42750000.0,0.0,,,,,101270000.0,,441259000.0,,6069000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,,,0.0,0.12,,341255000.0,-85500000.0,1488686000.0,35863000.0,-146831000.0,,341255000.0,341255000.0,0.12,1033871656.0,510441000.0,8176000.0,125547000.0,0.0,,1111870000.0,104218000.0,3960915000.0,128832000.0,,,,3872000.0,64790000.0,676588000.0,9276000.0,95573000.0,12220000.0,,-3284327000.0,-233398000.0,,-172636000.0,721428000.0,0.0,,,35863000.0,3960915000.0,3873000.0,237945000.0,,,,95199000.0,-912580000.0,-8000.0,-6064000.0,,1037288656.0,-3284327000.0,220348000.0,,81706000.0,,1111870000.0,100033000.0,1826664000.0,128832000.0,,,714794000.0,,337978000.0,,90757000.0,,-85000000.0,-912580000.0,,501080000.0,64790000.0,125547000.0,-35922000.0,,90757000.0,153480000.0,1874000.0,39272000.0,124775000.0,341255000.0,,1826664000.0,,,,,1874000.0,0.0,341255000.0,-556000.0,84414000.0,1488686000.0,95199000.0,,337978000.0,24648000.0,9276000.0,0.0,211908000.0,,81706000.0,714794000.0,,,,241767000.0,8176000.0,676588000.0,0.0,128832000.0,237945000.0,100033000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,,,,,,,,1555263000.0,,,,241437000.0,241437000.0,,,,8282000.0,202834000.0,0.0,,,,,,,,,,60999000.0,735161000.0,,,,,,,,,,,,,38880000.0,735161000.0,,252968000.0,,,,,-890376000.0,,,,,,,,78437000.0,,1183375000.0,92704000.0,,,,,717560000.0,,,,89373000.0,,,,,,,,,,,,,,,,,1900935000.0,,,,,4133000.0,0.0,,,,,100875000.0,,345672000.0,,3331000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,,,0.14,,374890000.0,-1990000.0,1695205000.0,40523000.0,20201000.0,,374890000.0,374890000.0,0.14,1034430282.0,341255000.0,7411000.0,,0.0,,1224874000.0,115905000.0,4347731000.0,145262000.0,,,,3312000.0,68124000.0,754096000.0,14123000.0,111254000.0,-20807000.0,,-3593635000.0,-197003000.0,,-138087000.0,808148000.0,0.0,,,40523000.0,4347731000.0,2178000.0,336839000.0,,,,115578000.0,-822287000.0,-5000.0,9509000.0,,1043366282.0,-3593635000.0,267177000.0,,71207000.0,,1224874000.0,46262000.0,2078306000.0,145262000.0,,,853432000.0,,383101000.0,,32139000.0,,-67036000.0,-822287000.0,,540971000.0,68124000.0,,-39693000.0,,32139000.0,172487000.0,60751000.0,120213000.0,155923000.0,374890000.0,,2078306000.0,,,,,60751000.0,,374890000.0,-4008000.0,103976000.0,1695205000.0,115578000.0,,383101000.0,27225000.0,14123000.0,,258300000.0,,71207000.0,853432000.0,,,2759000.0,278641000.0,7411000.0,754096000.0,,145262000.0,336839000.0,46262000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,,,,,,,1724405000.0,,,,836722000.0,1026856000.0,,,,6693000.0,,0.0,,,,,,,,,,66561000.0,789157000.0,,,,,,,,,,,,,42205000.0,789157000.0,,350848000.0,,,,,,,,,,,,190134000.0,74089000.0,,1267152000.0,38326000.0,,,,,1403292000.0,,,,29471000.0,,,,,,,,,,,,,,,,,2670444000.0,,,,,60694000.0,,,,,,127997000.0,,389174000.0,,8855000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,,,,0.169,,1444033000.0,-60613000.0,2155256000.0,44406000.0,422171000.0,,777000000.0,1444033000.0,0.171,1070699301.0,374890000.0,9571000.0,,0.0,,1304199000.0,130094000.0,4370337000.0,185608000.0,,,,1298000.0,79470000.0,832169000.0,18146000.0,125817000.0,-14199000.0,,-3538168000.0,-717239000.0,,-229837000.0,930268000.0,0.0,-1959653000.0,,44406000.0,4370337000.0,2203000.0,329569000.0,,,,129629000.0,,564992000.0,-14766000.0,,1082451301.0,-3538168000.0,311154000.0,667033000.0,121910000.0,,1304199000.0,44373000.0,3078274000.0,183158000.0,,,1774075000.0,,373942000.0,,26227000.0,,182595000.0,,,619114000.0,79470000.0,,-41066000.0,,26227000.0,221055000.0,4371000.0,44563000.0,185337000.0,777000000.0,,3078274000.0,,,,,4371000.0,,777000000.0,-18032000.0,119193000.0,2155256000.0,129629000.0,,373942000.0,35447000.0,18146000.0,,274400000.0,,121910000.0,1774075000.0,1279352000.0,667033000.0,403956000.0,342451000.0,9571000.0,832169000.0,,183158000.0,329569000.0,44373000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
