date,trailingPretaxIncome,quarterlyTotalAssets,annualRetainedEarnings,annualNetIncome,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,annualAccountsReceivable,annualPurchaseOfInvestment,quarterlyOtherCurrentLiabilities,trailingInvestingCashFlow,quarterlyChangeInCashSupplementalAsReported,annualCashDividendsPaid,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,annualGoodwill,annualPretaxIncome,quarterlyCostOfRevenue,annualSaleOfInvestment,quarterlyDepreciationAndAmortization,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,annualOtherNonCashItems,annualDepreciationAndAmortization,annualOperatingIncome,quarterlySellingGeneralAndAdministration,trailingTotalRevenue,annualLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualInvestingCashFlow,quarterlyGoodwill,trailingStockBasedCompensation,trailingCommonStockIssuance,annualStockholdersEquity,annualEndCashPosition,annualTotalAssets,quarterlyNetIncomeCommonStockholders,annualTaxProvision,trailingEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInventory,trailingCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,annualCurrentLiabilities,trailingOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,trailingChangeInAccountPayable,annualOperatingCashFlow,trailingOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCashAndCashEquivalents,annualAccountsPayable,quarterlyCurrentDebt,quarterlyInterestExpense,annualChangeInAccountPayable,quarterlyPurchaseOfInvestment,quarterlyOperatingExpense,trailingOtherIncomeExpense,annualOtherIntangibleAssets,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyOtherIntangibleAssets,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,annualInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,trailingNetOtherInvestingChanges,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,annualEbitda,quarterlyDilutedEPS,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualCashCashEquivalentsAndMarketableSecurities,annualBasicAverageShares,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,annualChangeInCashSupplementalAsReported,annualBeginningCashPosition,annualCurrentAssets,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualOtherNonCurrentLiabilities,annualNetIncomeCommonStockholders,quarterlySaleOfInvestment,annualDeferredIncomeTax,quarterlyChangesInAccountReceivables,annualInterestExpense,trailingChangesInAccountReceivables,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,annualSellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,annualRepaymentOfDebt,annualTotalNonCurrentAssets,annualOtherIncomeExpense,quarterlyBeginningCashPosition,annualCapitalExpenditure,trailingRepaymentOfDebt,quarterlyCapitalStock,trailingGrossProfit,trailingCapitalExpenditure,trailingNetIncomeCommonStockholders,quarterlyDilutedAverageShares,trailingDeferredIncomeTax,annualBasicEPS,annualOtherCurrentLiabilities,quarterlyStockholdersEquity,trailingNetOtherFinancingCharges,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,trailingInterestExpense,quarterlyTaxProvision,annualCashFlowFromContinuingFinancingActivities,annualDilutedAverageShares,annualCurrentDebt,annualInventory,trailingTaxProvision,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyStockBasedCompensation,annualOtherCurrentAssets,annualTotalRevenue,quarterlyOtherNonCashItems,quarterlyBasicEPS,annualCostOfRevenue,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,annualCapitalStock,trailingChangeInInventory,quarterlyEbitda,annualNetOtherFinancingCharges,annualStockBasedCompensation,annualFreeCashFlow,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyPretaxIncome,annualAccumulatedDepreciation,quarterlyRetainedEarnings,quarterlyBasicAverageShares,quarterlyRepurchaseOfCapitalStock,annualGrossProfit,quarterlyCashFlowFromContinuingFinancingActivities,trailingOperatingExpense,trailingNetIncomeContinuousOperations,annualNetIncomeContinuousOperations,annualOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyOperatingCashFlow,annualChangesInAccountReceivables,quarterlyGrossPPE,trailingCostOfRevenue,annualChangeInInventory,trailingPurchaseOfBusiness,trailingFreeCashFlow,trailingBeginningCashPosition,annualDilutedEPS,trailingNetIncome,quarterlyOperatingIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,trailingCashDividendsPaid,quarterlyCurrentLiabilities,trailingOtherNonCashItems,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,trailingResearchAndDevelopment,trailingSaleOfInvestment,trailingDilutedEPS,trailingPurchaseOfInvestment,annualResearchAndDevelopment,trailingDilutedAverageShares,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingBasicEPS
1999-12-31,673000000.0,,,37800000.0,,,,,,-1141000000.0,,,,,,,,,,,-80000000.0,,,46422000.0,86462000.0,114840000.0,,8230000000.0,,,,-25251000.0,,25000000.0,63000000.0,433023000.0,,1344857000.0,,,1465000000.0,,,573000000.0,,,1222000000.0,,,-185000000.0,132884000.0,806000000.0,,,,,,,,,-17000000.0,,,,,,,,,,,,,,,22000000.0,,,201302000.0,,8617000.0,-25251000.0,8617000.0,98998790.0,,,,,,648000000.0,,,37800000.0,,,,41991000.0,189000000.0,,-87000000.0,52087000.0,,,,,,11421000.0,,,-21000000.0,,1364000000.0,-799000000.0,469000000.0,,22000000.0,0.381823,,,-51000000.0,,,119000000.0,,-129517000.0,98998790.0,,,165000000.0,,,,,1057631000.0,,,887956000.0,,693000000.0,,55000000.0,,-129517000.0,,132884000.0,,911834000.0,,,,,,,,169675000.0,,558000000.0,508000000.0,37800000.0,54835000.0,451000000.0,,,,,,,,,6866000000.0,,-364000000.0,423000000.0,811000000.0,0.381823,472000000.0,,,,-131000000.0,,,,,,,,,,,,,,,,,
2000-12-31,,,,54999000.0,,,,,,,,,,,,,90694000.0,,,,,,,94620000.0,78757000.0,126109000.0,,,,,,-87693000.0,,,,504203000.0,,1374645000.0,,,,,,,,,,,,,173377000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,204866000.0,,11529000.0,-87693000.0,11529000.0,98998790.0,,,,,,,,,54999000.0,,,,37281000.0,,,,62038000.0,,,,,,1866000.0,,,,,,,,,,0.555,,,,,,,,-83286000.0,98998790.0,,,,,,,,1392276000.0,,,1193352000.0,,,,,,-83286000.0,,173377000.0,,850742000.0,,,,,,,,198924000.0,,,,54999000.0,72815000.0,,,,,,,,,,,,,,,0.555,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,,,,-71986000.0,,,,,,,,,,,,,-117339000.0,,,,,,,,,-29921000.0,,,,,,,,,,,,,,-45353000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29921000.0,,,,,98998790.0,,,,,,,,,-71986000.0,,,,35454000.0,,,,,,,,,,-26538000.0,,,,,,,,,,-0.725,,,,,,,,,98998790.0,,,,,,,,1087033000.0,,,1116954000.0,,,,,,,,,,,,,,,,,,-29921000.0,,,,-71986000.0,,,,,,,,,,,,,,,,-0.725,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,,,214590000.0,-7062000.0,,,123235000.0,,,,,,,,,,-14203000.0,,,,,,,,88018000.0,14072000.0,,,491677000.0,,,-38686000.0,,,,428519000.0,11123000.0,1309245000.0,,-7141000.0,,,,,67700000.0,177580000.0,,,,,-21326000.0,,681046000.0,,68207000.0,,,,,,,,,,,,,,,,,61798000.0,,,,,910874000.0,-3577000.0,102090000.0,,11123000.0,4901000.0,11123000.0,98998790.0,,,-67972000.0,79095000.0,336573000.0,,1472381000.0,50076000.0,-7062000.0,,-4716000.0,,35044000.0,,,,64258000.0,,,,,972672000.0,4530000.0,,-43587000.0,,,,,,,,-0.07,0.0,,,,,,,-7960000.0,98998790.0,41673000.0,170866000.0,,,,,0.0,1072627000.0,,,992058000.0,,,12495000.0,,,-3377000.0,,-64913000.0,139293000.0,858626000.0,,,,-561507000.0,,,,80569000.0,,,,-7062000.0,66497000.0,,,,-107155000.0,,,,,,,-42639000.0,,,,-0.07,,,,,,,,,,,,,,,,,,,,,,
2003-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6727000.0,6727000.0,,,,,,,,6727000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99659259.0,,,,,,,,,,,,,,,,,,,,,0.0675,,,,,,349279000.0,,,,,,,,,,,99659259.0,,,,,,,,,,,,,349279000.0,,,,,,,,,,,349279000.0,,,,,,,,,,,,,,,,,,,,
2003-12-31,,,229346000.0,14756000.0,,,178633000.0,,,,,,,,,,23503000.0,,,,,,,,88180000.0,65815000.0,,,509089000.0,,,-41581000.0,,,,445603000.0,37381000.0,1370113000.0,,8747000.0,,,,,93528000.0,215132000.0,,,,,78087000.0,,687278000.0,,93404000.0,,,,,,,,,,,,,,,,,77578000.0,,,,,879688000.0,-1249000.0,153995000.0,,37381000.0,3350000.0,37381000.0,98998790.0,,,26258000.0,11123000.0,412847000.0,,1510414000.0,41665000.0,14756000.0,,7112000.0,,38589000.0,,,,57014000.0,,,,,957266000.0,-2846000.0,,-44931000.0,,,,,,,,0.15,0.0,,,,,,,-10248000.0,98998790.0,28200000.0,180760000.0,,,,,0.0,1423034000.0,,,1301082000.0,,,12495000.0,,,-14102000.0,,33156000.0,136524000.0,902410000.0,,,,-630726000.0,,,,121952000.0,,,,14756000.0,56137000.0,,,,-39048000.0,,,,,,,-9894000.0,,,,0.15,,,,,,,,,,,,,,,,,,,,,,
2004-06-30,,1441909000.0,,,508489000.0,42658000.0,,,0.0,,,,198361000.0,933246000.0,95980000.0,,,364959000.0,,,,710168000.0,,,,,13098000.0,,,22540000.0,22540000.0,,,,,,,,22540000.0,,,-1335000.0,232927000.0,,,,,57376000.0,159021000.0,,,,,57376000.0,,28200000.0,11059000.0,,,13755000.0,,,,,,,,,,,,,73206000.0,929378000.0,,,,,,0.2275,,,,,,0.0,,,,,,,,,,,,,,,,60168000.0,-1500000.0,95030000.0,,,,,,,12495000.0,,,,98998790.0,,,,490431000.0,,,,,12137000.0,,,,,,860040000.0,-630726000.0,,,,,0.2275,,,,,,46413000.0,,,,,,,,34677000.0,,274425000.0,98998790.0,,,,,,,,,,,,,425127000.0,,,1490766000.0,,,,,,,,46413000.0,,508663000.0,,219210000.0,,,,,,,,,,,,,,,,
2004-09-30,,1505866000.0,,,347189000.0,41011000.0,,,0.0,,-6392000.0,,248462000.0,940493000.0,96469000.0,,,487520000.0,,21666000.0,,563567000.0,,,,,15055000.0,,,28317000.0,28317000.0,,,,,,,,28317000.0,,,-13400000.0,249359000.0,,,,,50984000.0,175367000.0,,,,,50984000.0,,1200000.0,10144000.0,,,15571000.0,,,,,,50984000.0,-43729000.0,,,,181261000.0,,68176000.0,782928000.0,32860000.0,,,,,0.248276,,,,,3568000.0,0.0,,,,,,,,,,,,,,,,84511000.0,-671000.0,121692000.0,,,,57376000.0,,,649000.0,,,,114054686.0,,,,722938000.0,,75000.0,,,17595000.0,,,,,,872317000.0,-630726000.0,,,,,0.25,,,,,,90606000.0,,,,,,16346000.0,-26853000.0,45912000.0,,302742000.0,113806540.0,,,-7039000.0,,,,,,,,,-11516000.0,572031000.0,44376000.0,,1503043000.0,,,,,,,,68940000.0,,565373000.0,,219361000.0,,,,,,,,,,,,,,,,
2004-12-31,,1592453000.0,348689000.0,120722000.0,296889000.0,40791000.0,234247000.0,,0.0,,-7588000.0,-1379000.0,234247000.0,920515000.0,102125000.0,,190662000.0,464731000.0,,18662000.0,,572841000.0,,,83172000.0,243166000.0,18987000.0,,296889000.0,47326000.0,47326000.0,-79963000.0,,,,769397000.0,43396000.0,1592453000.0,47326000.0,69940000.0,,3135000.0,319816000.0,,102125000.0,250215000.0,,43396000.0,235161000.0,,150781000.0,,572841000.0,43396000.0,146890000.0,1200000.0,7089000.0,,,16938000.0,,,192652000.0,,,43396000.0,-17844000.0,,,-11485000.0,-1379000.0,65463000.0,65463000.0,823056000.0,45622000.0,,855052000.0,-65000.0,326338000.0,,43396000.0,2785000.0,43396000.0,110461572.0,-70457000.0,0.0,6015000.0,37381000.0,671938000.0,,1529599000.0,40791000.0,120722000.0,,65188000.0,,39350000.0,,,,60238000.0,98338000.0,-65000.0,146890000.0,,920515000.0,-12935000.0,50984000.0,-52710000.0,,649000.0,,,,,,1.095,0.0,769397000.0,,1704000.0,,,28071000.0,-64803000.0,110710884.0,1200000.0,319816000.0,,855052000.0,-674547000.0,,0.0,1985353000.0,,,1682168000.0,,,649000.0,,100062000.0,0.0,,98071000.0,235161000.0,823056000.0,26345000.0,-23821000.0,75397000.0,-674547000.0,348689000.0,,,303185000.0,-57164000.0,,,120722000.0,60019000.0,,11391000.0,,-122231000.0,-21798000.0,563069000.0,67420000.0,,1529599000.0,,-119056000.0,,,,1.09,,81400000.0,,671938000.0,,250215000.0,,,,,,,,,,,,,,,,
2005-03-31,,1628309000.0,,,266589000.0,35657000.0,,,0.0,,3239000.0,,286129000.0,916227000.0,92677000.0,,,498833000.0,,21470000.0,,536887000.0,,,,,18075000.0,,,61143000.0,61143000.0,,,,,,,,61143000.0,,,69000.0,318181000.0,,,,,46635000.0,234641000.0,,,,,46635000.0,,1200000.0,6154000.0,,,18075000.0,,,,,,46635000.0,-17336000.0,-1381000.0,,,0.0,,62355000.0,798845000.0,34920000.0,,,,,0.468226,,,,,1635000.0,0.0,,,,,,,,,,,,,,,,119783000.0,-150000.0,168081000.0,,,,43396000.0,,,650000.0,,,,130584340.0,,,,829464000.0,,0.0,,,34480000.0,,,,,,853872000.0,-674547000.0,,,,,0.47,,,,,,123178000.0,,,,,,11271000.0,-43100000.0,95623000.0,,408451000.0,129876274.0,,,-31681000.0,,,,,,,,,-17336000.0,618616000.0,52256000.0,,1528419000.0,,,,,,,,101708000.0,,712082000.0,,261958000.0,,,,,,,,,,,,,,,,
