,annualCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,annualEndCashPosition,trailingTotalRevenue,trailingCostOfRevenue,quarterlyNetIncomeCommonStockholders,annualCurrentDebt,annualCostOfRevenue,annualTotalRevenue,annualResearchAndDevelopment,annualOtherCurrentAssets,quarterlyOtherNonCashItems,trailingChangeInAccountPayable,trailingResearchAndDevelopment,quarterlyStockBasedCompensation,annualNetOtherFinancingCharges,quarterlyPurchaseOfInvestment,quarterlyEbitda,annualCommonStockIssuance,annualFreeCashFlow,annualChangeInAccountPayable,quarterlyEndCashPosition,annualAccountsPayable,trailingEndCashPosition,trailingOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,trailingTaxProvision,annualOtherShortTermInvestments,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,annualChangeInWorkingCapital,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,annualNetIncomeContinuousOperations,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,trailingNetIncomeContinuousOperations,quarterlyGrossPPE,trailingFreeCashFlow,trailingSellingGeneralAndAdministration,quarterlyCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,trailingOperatingExpense,quarterlyCurrentAssets,annualOperatingExpense,annualNetOtherInvestingChanges,trailingNetIncome,annualCashAndCashEquivalents,quarterlyOperatingIncome,quarterlyTotalRevenue,annualTotalLiabilitiesNetMinorityInterest,trailingPretaxIncome,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,annualNetIncome,quarterlyOtherCurrentAssets,annualAccountsReceivable,annualBeginningCashPosition,annualCurrentAssets,quarterlyAccountsReceivable,annualOtherNonCurrentAssets,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,annualSellingGeneralAndAdministration,annualSaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyDilutedEPS,quarterlyChangeInAccountPayable,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,trailingNetIncomeCommonStockholders,quarterlyGrossProfit,annualOtherNonCashItems,annualCurrentAccruedExpenses,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualBasicAverageShares,annualRetainedEarnings,annualTotalAssets,trailingSaleOfInvestment,annualTaxProvision,quarterlyNetOtherInvestingChanges,annualDepreciationAndAmortization,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccumulatedDepreciation,quarterlyCashAndCashEquivalents,quarterlyTaxProvision,annualOperatingCashFlow,annualCapitalStock,trailingOtherIncomeExpense,quarterlyNetPPE,quarterlyCurrentDeferredRevenue,annualDilutedAverageShares,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,annualCurrentLiabilities,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualNetPPE,quarterlyOperatingExpense,annualStockBasedCompensation,annualGrossProfit,quarterlyOtherIntangibleAssets,quarterlyCurrentDebt,trailingDepreciationAndAmortization,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,annualOtherIntangibleAssets,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,annualEbitda,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,trailingPurchaseOfBusiness,quarterlyCommonStockIssuance,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,quarterlyResearchAndDevelopment,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,annualNonCurrentDeferredTaxesLiabilities,quarterlyOperatingCashFlow,annualCashCashEquivalentsAndMarketableSecurities,trailingPurchaseOfInvestment,annualChangesInAccountReceivables,annualPretaxIncome,quarterlyChangeInCashSupplementalAsReported,trailingChangesInAccountReceivables,trailingBeginningCashPosition,annualInterestExpense,trailingCapitalExpenditure,annualNonCurrentDeferredRevenue,annualPurchaseOfInvestment,quarterlyOtherCurrentLiabilities,annualDeferredIncomeTax,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyTotalNonCurrentAssets,trailingInvestingCashFlow,quarterlyDilutedAverageShares,quarterlyTotalAssets,annualGoodwill,annualAccumulatedDepreciation,annualDilutedEPS,annualBasicEPS,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,annualRepaymentOfDebt,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingChangeInWorkingCapital,annualInvestingCashFlow,trailingStockBasedCompensation,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualOperatingIncome,trailingGrossProfit,trailingDeferredIncomeTax,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,trailingInterestExpense,annualCashFlowFromContinuingFinancingActivities,trailingBasicAverageShares,quarterlyChangeInInventory,annualInvestmentsAndAdvances,trailingRepurchaseOfCapitalStock,quarterlyInventory,quarterlyRepurchaseOfCapitalStock,annualInventory,trailingRepaymentOfDebt,trailingCashDividendsPaid,trailingChangeInInventory,quarterlyInvestmentsAndAdvances,annualCashDividendsPaid,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingBasicEPS,quarterlyIncomeTaxPayable,trailingCommonStockIssuance,annualChangeInInventory,quarterlyCashDividendsPaid,annualIncomeTaxPayable,annualLongTermDebt,annualRepurchaseOfCapitalStock,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1422662400,38497000.0,,21658000.0,,,,,18730000.0,41010000.0,18370000.0,0.0,,,,,74500000.0,,,,-35694000.0,2781000.0,,4228000.0,,,163762000.0,,,41845000.0,,,14747000.0,,,,-59111000.0,,,,,,,,,,-10000.0,,,81062000.0,0.0,,18197000.0,,,214248000.0,,,,,-59111000.0,,13085000.0,25672000.0,82536000.0,,3507000.0,,-59111000.0,62692000.0,2100000.0,,,,,,-117198000.0,,,3112000.0,2882000.0,,,,90758777.0,-128098000.0,97050000.0,,130000.0,,1923000.0,,,,,,,-32749000.0,2000.0,,,,90758777.0,,,50486000.0,-199000.0,14514000.0,1492000.0,,6580000.0,22280000.0,,,,,,2093000.0,,,-56859000.0,,,,,,235000.0,-3200000.0,,,,65000.0,,60042000.0,,-7228000.0,-58981000.0,,,,,,8912000.0,-44526000.0,,,,,2553000.0,,,,,2630000.0,-1061000.0,-0.651298,-0.651298,,,0.0,,,,,-48571000.0,,358000.0,,-58782000.0,,,-4014000.0,-2945000.0,,77313000.0,,,,,,,,,,,,,,,,,,,,,,,
1454198400,67818000.0,29267000.0,58081000.0,,,-21428000.0,,36024000.0,85907000.0,28761000.0,0.0,3040000.0,,,2686000.0,69000.0,1000.0,-20313000.0,,-48237000.0,962000.0,58081000.0,5874000.0,,,243685000.0,7336000.0,,33537000.0,972000.0,,12673000.0,5838000.0,11707000.0,,-76302000.0,33537000.0,-204400000.0,330825000.0,-11269000.0,,7390000.0,,,87140000.0,-57000.0,,125668000.0,125871000.0,0.0,,54408000.0,-21285000.0,27138000.0,330825000.0,,,,623000.0,-76302000.0,0.0,23009000.0,21658000.0,125668000.0,23009000.0,4365000.0,10274000.0,-76302000.0,97110000.0,54221000.0,4570000.0,,1018000.0,-181062000.0,243685000.0,-181062000.0,,16864000.0,9441000.0,4570000.0,2630000.0,-21428000.0,-21428000.0,90758777.0,-204400000.0,149763000.0,,295000.0,0.0,2889000.0,131000.0,-71000.0,87945000.0,-2141000.0,54408000.0,138000.0,-41536000.0,2000.0,,5249000.0,67818000.0,90758777.0,-5000.0,,87140000.0,-19000.0,24095000.0,5249000.0,38149000.0,9832000.0,49883000.0,4053000.0,,,,,4053000.0,,-5000.0,-73099000.0,-2308000.0,4365000.0,848000.0,,,623000.0,0.0,8882000.0,0.0,-21290000.0,131000.0,-8961000.0,87945000.0,,-10668000.0,-76007000.0,-720000.0,,,,,11707000.0,-46360000.0,987000.0,,-5065000.0,,7390000.0,24095000.0,,,149763000.0,2630000.0,-2141000.0,-0.840712,-0.840712,9643000.0,58801000.0,-213000.0,2000.0,5874000.0,-57000.0,,1160000.0,,987000.0,,-75988000.0,,,36423000.0,-6701000.0,,76841000.0,,,,,,,,,,,,,,,,,,,,,,,
1461974400,,33346000.0,,,,-22753000.0,,,,,,2923000.0,,,3369000.0,,,-21817000.0,,,,43597000.0,,,,,841000.0,,,887000.0,90758777.0,,539000.0,,,,,,,-17194000.0,,,,,,,,,,,,,-22704000.0,31787000.0,,,-0.250698,,,,,,,,,,12379000.0,,,,,-0.250698,3681000.0,,,,,19408000.0,,,,-22753000.0,-22753000.0,,,,,,0.0,,,-71000.0,,,,81000.0,,,,,,,32000.0,,,,,,42112000.0,,,,,,,,,,-390000.0,,-2159000.0,,-337000.0,,0.0,,,8766000.0,,-22672000.0,,-15035000.0,,,,,-14484000.0,,,,,,,,,3090000.0,,,,,90758777.0,,,,,,3000000.0,58081000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469923200,,34563000.0,,,,-20601000.0,,,,,,3352000.0,,,3664000.0,,,-19477000.0,,,,32718000.0,,,,,1012000.0,,,1085000.0,90758777.0,,662000.0,,,,,,,-15033000.0,,,,,,,,,,,,,-20562000.0,37436000.0,,,-0.226986,,,,,,,,,,13780000.0,,,,,-0.226986,-2031000.0,,,,,23656000.0,,,,-20601000.0,-20601000.0,,,,,,0.0,,,-72000.0,,,,95000.0,,,,,,,56000.0,,,,,,44218000.0,,,,,,,,,,-416000.0,,-3195000.0,,48000.0,,0.0,,,9655000.0,,-20506000.0,,-11838000.0,,,,,-10879000.0,,,,,,,,,-2400000.0,,,,,90758777.0,,,,,,4207000.0,43597000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477872000,,40364000.0,,,,-21931000.0,,,,,,3953000.0,,,4836000.0,,0.0,-20685000.0,,,,25568000.0,,,,,715000.0,,,1205000.0,90758777.0,,3411000.0,6715000.0,,,21999000.0,-269685000.0,352583000.0,-11811000.0,,12701000.0,,,114311000.0,,,86982000.0,,,,,-21890000.0,42283000.0,,,-0.241641,,213000.0,,0.0,,,,26515000.0,,14103000.0,,,,3428000.0,-0.241641,1666000.0,-231806000.0,238272000.0,,,28180000.0,,,2630000.0,-21931000.0,-21931000.0,,,,,,0.0,,131000.0,-70000.0,42133000.0,-3716000.0,20134000.0,91000.0,,,,8985000.0,93103000.0,,50000.0,,,,,,50070000.0,,,7235000.0,,,,,,,-184000.0,,-3285000.0,6942000.0,751000.0,,,,,9706000.0,,-21840000.0,,-8526000.0,,,,,-7150000.0,,,,,,,1137000.0,,-4296000.0,,,33795000.0,,90758777.0,120777000.0,,,,,4000000.0,32718000.0,,2000.0,10020000.0,-187000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485820800,108012000.0,40568000.0,23282000.0,,,-18224000.0,,55949000.0,160326000.0,38659000.0,0.0,4210000.0,,,5258000.0,-1584000.0,0.0,-16576000.0,,-53843000.0,3322000.0,23282000.0,11897000.0,,,10658000.0,4397000.0,,14390000.0,1391000.0,,5275000.0,663000.0,5711000.0,,-83509000.0,14390000.0,-287909000.0,145982000.0,-9805000.0,,15132000.0,,,135324000.0,-167000.0,,92790000.0,187500000.0,0.0,,23282000.0,-17967000.0,48820000.0,145982000.0,,,,132000.0,-83509000.0,0.0,34544000.0,58081000.0,92790000.0,34544000.0,4984000.0,15687000.0,-83509000.0,148841000.0,18707000.0,5549000.0,,6000.0,-15347000.0,10658000.0,-15347000.0,,33133000.0,14438000.0,5549000.0,2630000.0,-18224000.0,-18224000.0,90758777.0,-287909000.0,130635000.0,,425000.0,0.0,4568000.0,200000.0,-183000.0,37672000.0,-4106000.0,23282000.0,158000.0,-42101000.0,8000.0,,11026000.0,108012000.0,90758777.0,-99000.0,,135324000.0,39000.0,37845000.0,11026000.0,51100000.0,17127000.0,104377000.0,9155000.0,,,,,9155000.0,,-594000.0,-78555000.0,-3103000.0,4984000.0,-5000.0,,,132000.0,0.0,10532000.0,0.0,-18066000.0,200000.0,-6702000.0,37672000.0,,-11993000.0,-83084000.0,-2286000.0,,,,,5711000.0,0.0,0.0,,-8387000.0,,15132000.0,37845000.0,,,130635000.0,2630000.0,-4106000.0,-0.92,-0.92,7500000.0,25568000.0,-396000.0,8000.0,11897000.0,-167000.0,,6965000.0,,0.0,,-83123000.0,,,-34799000.0,-11742000.0,,457000.0,,,,,,,,,,,,,,,,,,,,,,,
1493510400,,48819000.0,,,,-28901000.0,,,,,,4309000.0,,,8906000.0,,,-27059000.0,,,,221989000.0,,,,,8217000.0,,,1575000.0,39783000.0,,4425000.0,4927000.0,,,2500000.0,-317010000.0,154311000.0,-13342000.0,,13180000.0,,,143061000.0,,,279799000.0,,,,,-28634000.0,53007000.0,,,-0.73,,6323000.0,,0.0,,,,32171000.0,,17463000.0,,,,4822000.0,-0.73,3782000.0,165919000.0,11250000.0,,,35544000.0,,,6282000.0,-28901000.0,-28901000.0,,,,,,11873000.0,,,-207000.0,224226000.0,,221726000.0,248000.0,,,,13180000.0,115717000.0,,-19000.0,,,,,,64178000.0,,,9835000.0,,,,,,,111000.0,,-3656000.0,1671000.0,200108000.0,,199997000.0,,,15359000.0,,-28653000.0,,-9686000.0,,,,,198707000.0,,,,,,,0.0,,2243000.0,,,40431000.0,,39783000.0,320230000.0,,,,,11873000.0,23282000.0,,9000.0,15909000.0,-99000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501459200,,51545000.0,,,,-27002000.0,,,,,,4713000.0,,,11978000.0,,,-25442000.0,,,,126743000.0,,,,,-88519000.0,,,1713000.0,93576000.0,,2360000.0,4108000.0,,,86755000.0,-344012000.0,163358000.0,-10481000.0,,13302000.0,,,152799000.0,,,274686000.0,,,,,-27155000.0,60995000.0,,,-0.29,,6451000.0,,0.0,,,,35304000.0,,19682000.0,,,,4399000.0,-0.29,-2599000.0,152869000.0,10559000.0,,,41313000.0,,,6282000.0,-27002000.0,-27002000.0,,,,,,-84276000.0,,,-66000.0,213219000.0,,126464000.0,229000.0,,,,13302000.0,127218000.0,,382000.0,,,,,,68468000.0,,,11051000.0,,,,,,,-506000.0,,-4243000.0,1658000.0,-555000.0,,-49000.0,,,16923000.0,,-26773000.0,,-6238000.0,,,,,-95246000.0,,,,,,,0.0,,-3554000.0,,,41541000.0,,93576000.0,316227000.0,,,,,2500000.0,221989000.0,,10000.0,9848000.0,70000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509408000,,63152000.0,,,,-33778000.0,,,,,,5481000.0,,,14408000.0,,582000.0,-33404000.0,,,,137844000.0,,,,,-1161000.0,,,1823000.0,95474000.0,,3555000.0,3188000.0,,,86043000.0,-377790000.0,180702000.0,-11214000.0,,13122000.0,,,170961000.0,,,294672000.0,,,,,-35227000.0,68238000.0,,,-0.35,,6553000.0,,0.0,,,,46882000.0,,21123000.0,,,,4955000.0,-0.35,5072000.0,156455000.0,9741000.0,,,47115000.0,,,6282000.0,-33778000.0,-33778000.0,,,,,,0.0,,,-70000.0,223618000.0,,137575000.0,-940000.0,,,,13122000.0,138460000.0,,509000.0,,,,,,82342000.0,,,11455000.0,,,,,,,21814000.0,,-1743000.0,2463000.0,21814000.0,,0.0,,,19190000.0,,-34718000.0,,-9471000.0,,,,,11101000.0,,,,,,,0.0,,-11431000.0,,,42485000.0,,95474000.0,337157000.0,,,,,9150000.0,126743000.0,,10000.0,12875000.0,-69000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
