date,annualOperatingIncome,quarterlyDilutedEPS,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,annualResearchAndDevelopment,trailingOperatingIncome,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualAccountsPayable,annualOtherShortTermInvestments,annualFreeCashFlow,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,annualCommonStockIssuance,quarterlyDepreciationAndAmortization,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,trailingCostOfRevenue,annualOtherCurrentAssets,trailingTotalRevenue,annualChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyPurchaseOfInvestment,annualNetOtherInvestingChanges,annualDilutedAverageShares,quarterlyTotalNonCurrentAssets,annualCashAndCashEquivalents,trailingTaxProvision,trailingNetIncome,trailingPretaxIncome,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualPretaxIncome,quarterlyNetIncomeCommonStockholders,annualCashDividendsPaid,annualInvestmentsAndAdvances,annualCurrentDebt,quarterlyTotalAssets,quarterlyFreeCashFlow,annualNetIncomeContinuousOperations,annualOperatingExpense,annualCostOfRevenue,quarterlyBasicAverageShares,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualSaleOfInvestment,annualRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,annualStockholdersEquity,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,annualLongTermDebt,annualCurrentAssets,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyGoodwill,trailingNetIncomeCommonStockholders,annualRetainedEarnings,annualCurrentLiabilities,annualCurrentAccruedExpenses,quarterlyStockholdersEquity,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualTotalAssets,annualTaxProvision,annualBasicAverageShares,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,annualDepreciationAndAmortization,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyGrossProfit,quarterlyInventory,quarterlyLongTermDebt,annualAccountsReceivable,trailingGrossProfit,quarterlyOperatingExpense,annualNetPPE,trailingOtherIncomeExpense,annualOperatingCashFlow,annualGrossProfit,annualTotalNonCurrentAssets,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfBusiness,annualOtherIntangibleAssets,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTaxProvision,annualEbitda,quarterlyNetPPE,annualBasicEPS,quarterlyBeginningCashPosition,annualOtherIncomeExpense,quarterlyCurrentDebt,annualGrossPPE,quarterlyCapitalExpenditure,quarterlyChangesInAccountReceivables,annualChangeInInventory,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualPurchaseOfBusiness,quarterlyBasicEPS,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,quarterlyIncomeTaxPayable,quarterlySaleOfInvestment,trailingOperatingExpense,trailingSellingGeneralAndAdministration,annualDeferredIncomeTax,annualInvestingCashFlow,quarterlyOperatingCashFlow,annualDilutedEPS,annualCapitalExpenditure,annualAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,annualNonCurrentDeferredTaxesLiabilities,quarterlyGrossPPE,annualIncomeTaxPayable,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,annualChangesInAccountReceivables,quarterlyChangeInCashSupplementalAsReported,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCommonStockIssuance,trailingNetIncomeContinuousOperations,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyEbitda,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,annualStockBasedCompensation,annualGoodwill,annualInventory,quarterlyDilutedAverageShares,annualCashFlowFromContinuingFinancingActivities,annualNetOtherFinancingCharges,annualRepaymentOfDebt,annualInterestExpense,annualCapitalStock,annualPurchaseOfInvestment,annualTotalRevenue,trailingResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingInterestExpense,trailingFreeCashFlow,trailingEndCashPosition,trailingCashDividendsPaid,trailingDilutedAverageShares,trailingChangeInWorkingCapital,trailingCashFlowFromContinuingFinancingActivities,trailingNetOtherFinancingCharges,trailingInvestingCashFlow,trailingBasicEPS,trailingCommonStockIssuance,trailingChangeInAccountPayable,trailingOperatingCashFlow,trailingDepreciationAndAmortization,trailingDeferredIncomeTax,trailingStockBasedCompensation,trailingNetOtherInvestingChanges,trailingBasicAverageShares,trailingChangeInInventory,quarterlyInterestExpense,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,trailingSaleOfInvestment,trailingRepurchaseOfCapitalStock,quarterlyCurrentDeferredRevenue,trailingChangesInAccountReceivables,trailingRepaymentOfDebt,trailingPurchaseOfInvestment,trailingOtherNonCashItems,annualCurrentDeferredRevenue,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue
1983-12-31,-500000.0,,,,,,488537604.0,,100000.0,,,,0.0,,,,,400000.0,,0.0,1170589437.0,100000.0,1858897406.0,,,,,,177888000.0,,2400000.0,75731395.0,424683939.0,500415334.0,,,,-200000.0,,,,,,,,-200000.0,1300000.0,1800000.0,,,,100000.0,1200000.0,,,,4200000.0,,,,3800000.0,-200000.0,,,,424683939.0,-100000.0,300000.0,,,,,4600000.0,,177888000.0,,,,,,,,,,,,,688307969.0,,700000.0,11877730.0,0.0,800000.0,800000.0,,,2400000.0,,,,,,,,-400000.0,,-0.0025,,300000.0,,1000000.0,,,,,,,,,,,0.0,,,199770365.0,85083056.0,,0.0,,-0.0025,,-300000.0,,,,,,,,,,,,424683939.0,,,,,,,,,1000000.0,,,,,,,,2600000.0,114687309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-03-31,,-0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900000.0,900000.0,,,,,,,,,,,,,178080000.0,,-100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,900000.0,,,,,,,178080000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,-0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900000.0,900000.0,,,,,,,,,,,,,178080000.0,,-200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,900000.0,,,,,,,178080000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,-0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,,,,,,,,,,,,,178080000.0,,-200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,178080000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,-800000.0,,,,500000.0,,,,,,,,0.0,3200000.0,,,,500000.0,,0.0,,100000.0,,,-700000.0,,,,178080000.0,1000000.0,900000.0,,,,-3600000.0,1400000.0,500000.0,-600000.0,,,,,,4200000.0,,-600000.0,1900000.0,3100000.0,,,-100000.0,100000.0,1700000.0,,,100000.0,3700000.0,,,,3200000.0,-600000.0,,,,,-700000.0,500000.0,,3700000.0,,,4200000.0,,178080000.0,,,,,,,,,,1600000.0,,,,,900000.0,,0.0,1100000.0,1000000.0,,,900000.0,,,,,900000.0,900000.0,,-600000.0,900000.0,-0.005,,200000.0,,1300000.0,,,,100000.0,,,-400000.0,,,,0.0,,,,,,0.0,,-0.005,,-400000.0,,,1300000.0,,,,,,,,,,,,-3600000.0,,,,,,1600000.0,,,,,,,,4200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700000.0,1700000.0,,,,,,,,,,,,,178176000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,1700000.0,,,,,,,178176000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-30,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100000.0,2100000.0,,,,,,,,,,,,,178176000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,2100000.0,,,,,,,178176000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-09-30,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000.0,1800000.0,,,,,,,,,,,,,178208000.0,,200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000.0,,,,,,,178208000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-12-31,400000.0,,,,700000.0,,,,100000.0,,,,0.0,3800000.0,,,,800000.0,100000.0,0.0,,100000.0,,,-100000.0,,,,178304000.0,1200000.0,1200000.0,,,,-5200000.0,2600000.0,800000.0,300000.0,500000.0,,,,,5000000.0,,300000.0,2700000.0,5100000.0,,,0.0,100000.0,2500000.0,,,100000.0,4200000.0,,,,3800000.0,300000.0,,,,,-100000.0,700000.0,,4200000.0,,,5000000.0,200000.0,178304000.0,,,,,,,,,,1500000.0,,,,,1100000.0,,0.0,3100000.0,1200000.0,,,1200000.0,,,,,1200000.0,1200000.0,,600000.0,1100000.0,0.0025,,100000.0,,1700000.0,,,,100000.0,,,-600000.0,,,,0.0,,,,,,0.0,,0.0025,,-600000.0,,,1700000.0,,,,,,,,,,,,-5200000.0,,,,,,1500000.0,,,,,,,,8200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-03-31,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000.0,2500000.0,,,,,,,,,,,,,178208000.0,,200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000.0,,,,,,,178208000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
