,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,trailingOperatingIncome,annualResearchAndDevelopment,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,annualOtherShortTermInvestments,trailingFreeCashFlow,quarterlyDepreciationAndAmortization,trailingCommonStockIssuance,annualEndCashPosition,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualDilutedEPS,annualChangeInWorkingCapital,trailingTotalRevenue,annualOtherCurrentAssets,trailingCostOfRevenue,annualOperatingIncome,quarterlyRetainedEarnings,quarterlyTotalRevenue,annualNetOtherInvestingChanges,annualBasicAverageShares,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,trailingEndCashPosition,quarterlyOperatingIncome,quarterlyPurchaseOfInvestment,trailingPretaxIncome,trailingTaxProvision,quarterlyTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,annualCurrentDeferredRevenue,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,annualPretaxIncome,annualOperatingExpense,annualFreeCashFlow,quarterlyFreeCashFlow,annualCashDividendsPaid,quarterlyTotalNonCurrentAssets,annualCostOfRevenue,annualNetIncome,annualOtherNonCurrentAssets,trailingSaleOfInvestment,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualRepurchaseOfCapitalStock,annualTotalAssets,annualOtherNonCashItems,annualCurrentAssets,annualStockholdersEquity,quarterlyOtherCurrentAssets,annualLongTermDebt,quarterlyCurrentAccruedExpenses,annualDepreciationAndAmortization,annualCurrentLiabilities,quarterlyAccountsReceivable,trailingNetIncomeCommonStockholders,quarterlyCostOfRevenue,trailingNetOtherInvestingChanges,annualDilutedAverageShares,annualRetainedEarnings,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,quarterlyGoodwill,annualNetIncomeCommonStockholders,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,annualSaleOfInvestment,quarterlyLongTermDebt,quarterlyBasicAverageShares,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyBasicEPS,annualCommonStockIssuance,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,trailingRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyInventory,quarterlyGrossProfit,annualOtherIncomeExpense,annualTotalNonCurrentAssets,quarterlyCurrentDeferredRevenue,trailingGrossProfit,annualOperatingCashFlow,annualNetPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualOtherIntangibleAssets,annualGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,trailingRepaymentOfDebt,quarterlyCapitalStock,annualCashFlowFromContinuingFinancingActivities,quarterlyBeginningCashPosition,annualEbitda,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyTaxProvision,annualGrossPPE,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlyInterestExpense,quarterlyCapitalExpenditure,trailingDepreciationAndAmortization,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,annualChangeInInventory,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,annualIncomeTaxPayable,quarterlyAccumulatedDepreciation,annualPurchaseOfBusiness,quarterlyOtherIntangibleAssets,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,trailingOtherIncomeExpense,annualBeginningCashPosition,annualOtherNonCurrentLiabilities,quarterlyOperatingCashFlow,trailingInvestingCashFlow,quarterlySaleOfInvestment,trailingDeferredIncomeTax,annualCapitalExpenditure,quarterlyIncomeTaxPayable,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,trailingCapitalExpenditure,annualPurchaseOfInvestment,quarterlyChangeInCashSupplementalAsReported,annualAccumulatedDepreciation,quarterlyDilutedEPS,quarterlyRepurchaseOfCapitalStock,annualDeferredIncomeTax,annualInvestingCashFlow,trailingCashDividendsPaid,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,annualBasicEPS,trailingBeginningCashPosition,quarterlyDeferredIncomeTax,annualNonCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingNetIncome,annualNonCurrentDeferredTaxesLiabilities,trailingNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,annualChangesInAccountReceivables,trailingPurchaseOfInvestment,quarterlyResearchAndDevelopment,trailingOperatingExpense,quarterlyDilutedAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingChangeInInventory,trailingStockBasedCompensation,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualInventory,annualOtherCurrentLiabilities,quarterlyEbitda,trailingNetOtherFinancingCharges,annualInterestExpense,annualRepaymentOfDebt,annualGoodwill,annualStockBasedCompensation,trailingResearchAndDevelopment,annualTotalRevenue,annualCapitalStock,trailingChangeInWorkingCapital,trailingBasicAverageShares,trailingChangesInAccountReceivables,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingInterestExpense,annualChangeInAccountPayable,trailingBasicEPS,trailingChangeInAccountPayable,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310176000,,-3431700000.0,,,,,,,,,,,,,0.0,-1974300000.0,214900000.0,,0.815,,,0.0,,506000000.0,,,,365411765.0,53400000.0,310600000.0,,,,,,,201900000.0,,,,,525500000.0,752000000.0,0.0,,,,3675100000.0,310600000.0,-3727800000.0,,632500000.0,,,,,0.0,,2739000000.0,1974300000.0,,640200000.0,,,1457400000.0,,,,,381104294.0,1748400000.0,,,,,310600000.0,,,,,,,,,,,,,,,,,,,115000000.0,-2739000000.0,,,0.0,988800000.0,,,,1258000000.0,53400000.0,,,,,,625500000.0,,,,,1739500000.0,,,,,,,,,,,,,,,,,,0.0,-4120900000.0,,,,,,,,,,,,-750700000.0,,,,0.0,,,,0.85,,,,,,49000000.0,,,,,,,,,,,,,,,,885600000.0,1255500000.0,,,95500000.0,,,,,4933100000.0,,,,,,,,,,,
341798400,,914000000.0,,,,,,,,,,,,,0.0,3061300000.0,115700000.0,,0.6,,,71000000.0,,400800000.0,,,,368225806.0,69600000.0,228300000.0,,,,,,,741700000.0,,,,,344000000.0,874300000.0,0.0,,,,4194700000.0,228300000.0,549300000.0,,726600000.0,,,,,5202400000.0,,3404300000.0,2141100000.0,,724400000.0,,,2147300000.0,,,,,380500000.0,1860600000.0,,,,,228300000.0,,,,,,,,,,,,,,,,,,,132800000.0,1798100000.0,,,0.0,1248800000.0,,,,1275100000.0,69600000.0,,,,,,548500000.0,,,,,2093600000.0,,,,,,,,,,,,,,,,,,0.0,62200000.0,,,,,,,,,,,,-844800000.0,,,,0.0,,,,0.62,,,,,,127400000.0,,,,,,,,,,,,,,,,877500000.0,1405600000.0,,,189700000.0,,,,,5469800000.0,,,,,,,,,,,
373334400,,929800000.0,,,,,,,,,,,,,0.0,3234300000.0,119900000.0,,0.625,,,13500000.0,,417600000.0,,,,398412698.0,68200000.0,251000000.0,,,,,,,693300000.0,,,,,370900000.0,940500000.0,0.0,,,,4088600000.0,251000000.0,711100000.0,,755100000.0,,,,,5683900000.0,,3564500000.0,2449600000.0,,676100000.0,,,2304500000.0,,,,,401600000.0,1970500000.0,,,,,251000000.0,,,,,,,,,,,,,,,,,,,185400000.0,2119400000.0,,,0.0,1408300000.0,,,,1358100000.0,68200000.0,,,,,,603000000.0,,,,,2446300000.0,,,,,,,,,,,,,,,,,,0.0,83800000.0,,,,,,,,,,,,-1038000000.0,,,,0.0,,,,0.63,,,,,,169900000.0,,,,,,,,,,,,,,,,872000000.0,1611200000.0,,,232000000.0,,,,,5446700000.0,,,,,,,,,,,
404870400,,1151900000.0,,,,,,,,,,,,,0.0,3547500000.0,-40800000.0,,0.13,,,75200000.0,,32400000.0,,,,406923077.0,52400000.0,52900000.0,,,,,,,969800000.0,,,,,12100000.0,962800000.0,0.0,,,,3613000000.0,52900000.0,842300000.0,,754000000.0,,,,,5935700000.0,,3765300000.0,2388200000.0,,914000000.0,,,2395600000.0,,,,,406923077.0,1905000000.0,,,,,52900000.0,,,,,,,,,,,,,,,,,,,246200000.0,2170400000.0,,,0.0,1328100000.0,,,,995200000.0,52400000.0,,,,,,241200000.0,,,,,2526000000.0,,,,,,,,,,,,,,,,,,0.0,52900000.0,,,,,,,,,,,,-1197900000.0,,,,0.0,,,,0.13,,,,,,185000000.0,,,,,,,,,,,,,,,,760900000.0,1425800000.0,,,266600000.0,,,,,4608200000.0,,,,,,,,,,,
436406400,,1452600000.0,,,,,,,,,,,,,0.0,3604000000.0,-46400000.0,,0.015,,,62700000.0,,-6600000.0,,,,473333333.0,214900000.0,7100000.0,,,,,,,721400000.0,,,,,-39300000.0,891700000.0,0.0,,,,3082800000.0,7100000.0,923600000.0,,686400000.0,,,,,5880000000.0,,3801600000.0,2276000000.0,,1204300000.0,,,2151400000.0,,,,,473333333.0,1877400000.0,,,,,7100000.0,,,,,,,,,,,,,,,,,,,197100000.0,2078400000.0,,,0.0,1154800000.0,,,,885100000.0,214900000.0,,,,,,198700000.0,,,,,2482800000.0,,,,,,,,,,,,,,,,,,0.0,63600000.0,,,,,,,,,,,,-1328000000.0,,,,0.0,,,,0.015,,,,,,184700000.0,,,,,,,,,,,,,,,,632500000.0,1430000000.0,,,229900000.0,,,,,3967900000.0,,,,,,,,,,,
452131200,,,,,,,,,,,,,,,,,,,,,,,,,,1242700000.0,,,,,,1242700000.0,,,,,,,,,,,,,,,,,,,,,,,39300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,407220000.0,,,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095,,,,,,,,,,,,,,,,,,,,407220000.0,,,,,,,,,,,1242700000.0,,,,,,,,,,,,,,,,,,
460080000,,,,,,,,,,,,,,,,,,,,,,,,,,1037200000.0,,,,,,1037200000.0,,,,,,,,,,,,,,,,,,,,,,,29400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,407220000.0,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,407220000.0,,,,,,,,,,,1037200000.0,,,,,,,,,,,,,,,,,,
468028800,,1187800000.0,2218700000.0,,,,,,3674500000.0,,,,,,0.0,3406500000.0,-35900000.0,1187800000.0,0.26,,,4300000.0,,72800000.0,1914500000.0,1232400000.0,,403461538.0,41300000.0,104900000.0,,-3094000000.0,,,,3406500000.0,725600000.0,,5697300000.0,,,69000000.0,931300000.0,0.0,,,2022800000.0,3395100000.0,104900000.0,990200000.0,,728200000.0,85600000.0,,34200000.0,,5697300000.0,,3674500000.0,2290800000.0,4300000.0,994100000.0,,,2218700000.0,,,,,403461538.0,1914500000.0,2290800000.0,,,,104900000.0,,,,994100000.0,,,108100000.0,,,,,,,,,,539900000.0,,230800000.0,2022800000.0,,,0.0,1032600000.0,41300000.0,41300000.0,,1004100000.0,41300000.0,,,,,,275900000.0,,1032600000.0,,,2484100000.0,,,,,,,725600000.0,,,990200000.0,,-1451500000.0,,,,,,0.0,85600000.0,,,,,,,2484100000.0,,,,,-1451500000.0,,,,0.0,,,,0.26,,,,,,108100000.0,,1493100000.0,,,,,,,,,,,,,,539900000.0,1493100000.0,-3094000000.0,,234600000.0,,,,,4399200000.0,,,,,,,,,,,
475977600,,,,,,,,,,,,,,,,,,,,,,,,,,763100000.0,,,,,,763100000.0,,,,,,,,,,,,,,,,,,,,,,,-28200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,407220000.0,,,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,,,,,,,407220000.0,,,,,,,,,,,763100000.0,,,,,,,,,,,,,,,,,,
