,quarterlyTotalRevenue,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualNetOtherFinancingCharges,annualCurrentAccruedExpenses,quarterlyStockBasedCompensation,quarterlyOperatingIncome,trailingTaxProvision,quarterlyPurchaseOfInvestment,quarterlyEbitda,trailingNetOtherFinancingCharges,annualInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,quarterlyChangeInAccountPayable,trailingEndCashPosition,trailingRepurchaseOfCapitalStock,quarterlyInvestingCashFlow,annualOperatingExpense,quarterlyEndCashPosition,annualCurrentDeferredRevenue,quarterlyBasicEPS,annualCostOfRevenue,quarterlyBasicAverageShares,quarterlyGrossProfit,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyIncomeTaxPayable,annualGainsLossesNotAffectingRetainedEarnings,trailingSellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,annualOtherNonCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAssets,annualOtherShortTermInvestments,trailingFreeCashFlow,quarterlyGrossPPE,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualTotalLiabilitiesNetMinorityInterest,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,trailingBeginningCashPosition,annualChangeInWorkingCapital,annualCurrentAssets,trailingNetIncomeContinuousOperations,annualChangesInAccountReceivables,trailingCostOfRevenue,quarterlyRetainedEarnings,trailingOperatingExpense,annualRepurchaseOfCapitalStock,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,quarterlyDilutedAverageShares,annualRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,annualNetIncomeCommonStockholders,quarterlyGoodwill,annualNetIncome,annualCommonStockIssuance,annualFreeCashFlow,annualBeginningCashPosition,annualAccountsReceivable,quarterlyChangeInInventory,quarterlyOperatingExpense,annualOtherCurrentAssets,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,annualTotalNonCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,trailingSaleOfInvestment,annualTaxProvision,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,annualTotalAssets,annualStockholdersEquity,annualBasicEPS,annualDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyCapitalExpenditure,annualOtherNonCashItems,quarterlyCommonStockIssuance,annualChangeInInventory,quarterlyCashFlowFromContinuingFinancingActivities,annualDilutedAverageShares,annualCurrentLiabilities,trailingStockBasedCompensation,trailingDepreciationAndAmortization,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,trailingChangeInInventory,annualInventory,annualIncomeTaxPayable,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,annualSaleOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,annualStockBasedCompensation,trailingOperatingCashFlow,annualCapitalStock,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,annualPurchaseOfBusiness,quarterlyInventory,trailingOtherNonCashItems,quarterlyDilutedEPS,quarterlyOperatingCashFlow,annualNetPPE,annualOperatingCashFlow,annualDilutedEPS,annualGrossProfit,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyChangeInCashSupplementalAsReported,trailingPretaxIncome,trailingNetIncome,annualNonCurrentDeferredTaxesLiabilities,annualEbitda,quarterlyPretaxIncome,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyTaxProvision,annualNetOtherInvestingChanges,annualGrossPPE,quarterlyOtherShortTermInvestments,trailingChangeInCashSupplementalAsReported,quarterlyChangesInAccountReceivables,annualChangeInCashSupplementalAsReported,annualBasicAverageShares,annualOtherCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,annualPretaxIncome,quarterlyOtherIntangibleAssets,trailingChangesInAccountReceivables,annualGoodwill,annualRepaymentOfDebt,quarterlyTotalNonCurrentAssets,annualInterestExpense,quarterlyFreeCashFlow,trailingChangeInWorkingCapital,annualOtherNonCurrentLiabilities,trailingOtherIncomeExpense,trailingDeferredIncomeTax,trailingInvestingCashFlow,annualAccountsPayable,annualTotalRevenue,trailingCapitalExpenditure,annualCapitalExpenditure,trailingGrossProfit,trailingOperatingIncome,annualPurchaseOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,annualInvestingCashFlow,annualCashFlowFromContinuingFinancingActivities,annualNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyCapitalStock,annualEndCashPosition,trailingTotalRevenue,quarterlyBeginningCashPosition,annualOtherIncomeExpense,trailingPurchaseOfInvestment,annualOperatingIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingPurchaseOfBusiness,annualResearchAndDevelopment,trailingCashDividendsPaid,quarterlyResearchAndDevelopment,annualLongTermDebt,trailingRepaymentOfDebt,trailingBasicAverageShares,quarterlyLongTermDebt,trailingBasicEPS,trailingNetOtherInvestingChanges,trailingDilutedEPS,annualCashDividendsPaid,quarterlyCashDividendsPaid,trailingDilutedAverageShares,trailingInterestExpense,quarterlyPurchaseOfBusiness,trailingResearchAndDevelopment,trailingCommonStockIssuance
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009756800,,,-24000000.0,,,,,,,,,,,,,,,,,29417000.0,,,,,,,7793000.0,,,,,,,,,,,,,,,22706000.0,,,,,,10819000.0,,,,,,,,,,,,,,,-24000000.0,,-24000000.0,,,,,,,,,,135584000.0,,,20687000.0,,,,0.0,,,,146403000.0,123697000.0,-1.49,,,,,,,,16063000.0,14913000.0,,,,,,,,,,,,,,,,,,,,,,,,,-1.49,,,,,,,,110911000.0,,,,,,,,,,,16063000.0,,,,-24000000.0,,,,,,13000.0,,,,,,,,131598000.0,,,,,,,,,,,,,,,,,722000.0,,102181000.0,,,,,,,,,,,,,,,,,,,
1041292800,,,-17289000.0,,,,,,,,,,,,,,,,,37063000.0,,,,,,,12112000.0,,,,,,,,,,,,,,,32918000.0,,,,,,20221000.0,,,,,,,,,,,,,,,-17289000.0,,-17289000.0,,,,,,,,,,173951000.0,,,25803000.0,,,,0.0,,,,194172000.0,161254000.0,-0.87,,,,,,,,19931000.0,20806000.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.87,,,,,,,,178842000.0,,,,,,,,,,,19931000.0,,,,-17289000.0,,,,,,101000.0,,,,,,,,204645000.0,,,,,,,,,,,,,,,,,343000.0,,167582000.0,,,,,,,,,,,,,,,,,,,
1072828800,,,-7714000.0,,,,,,,,,,,,,,,,,49279000.0,,,,,,,19240000.0,,,,,,,,,,,,,,,57506000.0,,,,,,7833000.0,,,,,,,,,,,,,,,-7714000.0,,-7714000.0,,,,,,,,,,241181000.0,,,34189000.0,,,,0.0,,,,249014000.0,191508000.0,-0.34,,,,,,,,22384000.0,38266000.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.34,,,,,,,,281331000.0,,,,,,,,,,,22384000.0,,,,-7714000.0,,,,,,28000.0,,,,,,,,315520000.0,,,,,,,,,,,,,,,,,221000.0,,266241000.0,,,,,,,,,,,,,,,,,,,
1104451200,,,6126000.0,0.0,20738000.0,,,,,,,,,,4431000.0,,,,,246193000.0,,,,218422000.0,,,28424000.0,,,-45976000.0,,,,3205000.0,,,,,,-60478000.0,11485000.0,67087000.0,,,,,9069000.0,10332000.0,,,,,,,,,,,,-76147000.0,,,6126000.0,,6126000.0,64923000.0,-55943000.0,0.0,2490000.0,,,0.0,,,319321000.0,,,222713000.0,,,,,,,,329653000.0,262566000.0,0.08,21802000.0,,,,,-790000.0,,56090651.0,38663000.0,,,,,,2256000.0,,,,,,,,788000.0,,,,,,,,,289873000.0,39672000.0,0.08,252299000.0,26243000.0,,,,,,27908000.0,,,,,0.0,350351000.0,,,,0.0,55893078.0,1691000.0,,,6126000.0,,,,,,191000.0,,,,,,,11803000.0,470721000.0,,-95615000.0,,,,,,,-95615000.0,55943000.0,,,,0.0,,,-1678000.0,,6106000.0,,,,,,,,,,,,,,,,,,,
1128038400,151461000.0,,,,,,7753000.0,,,14550000.0,,,11145000.0,74004000.0,,,,,,,,,0.14,,58372266.0,82704000.0,,,,,,37473000.0,,,,14368000.0,,,399315000.0,,,,,,,,,,,,,-42713000.0,,,20461000.0,68757000.0,,297773000.0,58517125.0,,,1927000.0,,,,,,,,,74951000.0,,,,,67551000.0,,,11145000.0,11145000.0,,,0.0,36531000.0,,,,,,4688000.0,,,,,,,,,,,221000.0,,,,20142000.0,-79786000.0,,,,,,,,-602000.0,,2684000.0,,0.14,,,,,,,,,,,,,7540000.0,1412000.0,319529000.0,-3605000.0,,,,,,,,,,371777000.0,,17738000.0,,,,357409000.0,,,,,,,,,,,,,,,1958000.0,1958000.0,,,,,10912000.0,788000.0,,,,,,,-38587000.0,,,,,,,,,,,,,,,,,,
1135987200,173313000.0,61000.0,37696000.0,0.0,27223000.0,,7735000.0,,,15369000.0,,,4262000.0,83141000.0,57000.0,,,,-29714000.0,85080000.0,61000.0,,,511621000.0,,32158000.0,41159000.0,,,-28186000.0,,41982000.0,,2653000.0,,17824000.0,,,427120000.0,-86426000.0,-2654000.0,83141000.0,-241000.0,9333000.0,,,14980000.0,17824000.0,,,,-38451000.0,,,27223000.0,141155000.0,,309354000.0,,-38451000.0,0.0,1933000.0,37696000.0,,37696000.0,,-5605000.0,0.0,1933000.0,59000.0,24423000.0,0.0,,,374671000.0,15476000.0,,53935000.0,4262000.0,4262000.0,,-7456000.0,0.0,41159000.0,,392495000.0,309354000.0,1.43,28026000.0,57000.0,-29714000.0,,,-369000.0,2955000.0,26374000.0,41982000.0,,,,127000.0,,2625000.0,,2653000.0,-86426000.0,,,,,263000.0,0.0,,-1313000.0,,2625000.0,,,24862000.0,340694000.0,77431000.0,1.43,116074000.0,17738000.0,61000.0,-1897000.0,,,,59020000.0,7621000.0,1514000.0,340694000.0,3359000.0,0.0,427120000.0,,,,61000.0,26281000.0,1514000.0,7634000.0,392495000.0,30240000.0,17738000.0,,,,374671000.0,790000.0,-4852000.0,,,,,,13188000.0,627695000.0,,-83036000.0,,,,61000.0,61000.0,,-83036000.0,5666000.0,,13188000.0,263000.0,61000.0,,1958000.0,-3119000.0,,30994000.0,-28186000.0,,,,,,,,,,,,,,,,,,
1143763200,187015000.0,,,,,,12733000.0,,,20736000.0,,,7988000.0,105708000.0,,,,,-14200000.0,,133464000.0,,0.26,,30683000.0,37736000.0,,,,,,44028000.0,,,,147312000.0,,,432216000.0,,,,-1185000.0,4275000.0,,,,,,,,-30463000.0,,,26851000.0,149279000.0,,407880000.0,31078000.0,,0.0,2773000.0,,17738000.0,,,,,,-424000.0,25003000.0,,,,,16377000.0,42184000.0,,7988000.0,7988000.0,,,0.0,61680000.0,,,,,,58000.0,-14200000.0,,134172000.0,,124409000.0,,,,,,64000.0,,,,2748000.0,-86426000.0,,19496000.0,,,,-11997000.0,,-623000.0,,3049000.0,,0.26,23194000.0,,,,,,,133403000.0,,,,,13639000.0,7829000.0,345790000.0,5651000.0,,,,,,,,,8003000.0,513588000.0,,,,,,366276000.0,,8994000.0,,,,,,,,,,,,,133464000.0,133464000.0,,,,,9290000.0,325000.0,,,61000.0,,,,-26354000.0,,,,,,,,,,,,,,,,,,
1151625600,204936000.0,,,,,,15870000.0,,,24179000.0,,,10792000.0,105400000.0,,,,,-22805000.0,,142044000.0,,0.33,,32462000.0,44443000.0,,,,,,43914000.0,,,,155060000.0,,,446053000.0,,,,-2494000.0,2471000.0,,,,,,,,-19671000.0,,,26045000.0,160493000.0,,429653000.0,32903000.0,,0.0,1967000.0,,17738000.0,,,,,,9000.0,28573000.0,,,,,19148000.0,44264000.0,,10792000.0,10792000.0,,,0.0,61486000.0,,,,,,1285000.0,-22805000.0,,545000.0,,12556000.0,,,,,,65000.0,,,,2628000.0,-86426000.0,,17222000.0,,,,11997000.0,,-1116000.0,,3040000.0,,0.33,21876000.0,,,,,,,8580000.0,,,,,17427000.0,4866000.0,359627000.0,6635000.0,,,,,,,,,8309000.0,535053000.0,,,,,,379993000.0,,-929000.0,,,,,,,,,,,,,142044000.0,142044000.0,,,,,11718000.0,324000.0,,,133464000.0,,,,-17597000.0,,,,,,,,,,,,,,,,,,
1159574400,211260000.0,,,,,,17853000.0,,,26529000.0,,,11802000.0,119058000.0,,,,,-25494000.0,,157565000.0,,0.36,,32499000.0,45411000.0,,,,,,56052000.0,-2244000.0,,,172716000.0,,,466317000.0,,,,-1879000.0,7977000.0,,,,,,,,-7869000.0,,,33408000.0,165849000.0,,454166000.0,32885000.0,,0.0,3059000.0,,17738000.0,,,,,,-353000.0,27558000.0,,,,,17776000.0,43211000.0,,11802000.0,11802000.0,,,0.0,63006000.0,,,,,,71000.0,-25494000.0,,941000.0,,9549000.0,,,,,,68000.0,,,,2879000.0,-86426000.0,,15740000.0,,,,8015000.0,,-1106000.0,,3393000.0,,0.36,28419000.0,,,,,,,15521000.0,,,,,19800000.0,3755000.0,379891000.0,7998000.0,,,,,,,,,8676000.0,573224000.0,,,,,,400508000.0,,2925000.0,,,,,,,,,,,,,157565000.0,157565000.0,,,,,18818000.0,325000.0,,,142044000.0,,,,-6886000.0,,,,,,,,,,,,,,,,,,
