date,annualInvestingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyBasicAverageShares,quarterlyOperatingCashFlow,annualPurchaseOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyOtherNonCurrentAssets,trailingInvestingCashFlow,annualLongTermDebt,trailingCashDividendsPaid,annualOtherNonCashItems,quarterlyOtherCurrentLiabilities,trailingPretaxIncome,quarterlyResearchAndDevelopment,annualNonCurrentDeferredTaxesLiabilities,annualTotalAssets,trailingNetIncome,trailingPurchaseOfBusiness,annualStockholdersEquity,quarterlyAccountsReceivable,annualCurrentLiabilities,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCurrentAccruedExpenses,annualDepreciationAndAmortization,quarterlyCommonStockIssuance,annualInventory,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,annualRetainedEarnings,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,annualAccountsReceivable,trailingOperatingCashFlow,trailingChangeInWorkingCapital,annualGoodwill,annualCapitalStock,annualSaleOfInvestment,annualStockBasedCompensation,annualCommonStockIssuance,annualGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,quarterlyCashDividendsPaid,annualOperatingIncome,annualNetPPE,trailingGrossProfit,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,quarterlyDepreciationAndAmortization,annualTotalRevenue,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyCashCashEquivalentsAndMarketableSecurities,annualAccountsPayable,quarterlyDilutedEPS,quarterlyDilutedAverageShares,annualEbitda,annualBasicEPS,quarterlyCapitalStock,annualCashFlowFromContinuingFinancingActivities,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,annualEndCashPosition,trailingTotalRevenue,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,trailingChangeInCashSupplementalAsReported,trailingEndCashPosition,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,annualGrossPPE,annualNetOtherInvestingChanges,quarterlyCurrentDebt,annualCashAndCashEquivalents,quarterlyNetOtherFinancingCharges,annualPretaxIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,annualIncomeTaxPayable,trailingOperatingIncome,trailingOtherIncomeExpense,annualOtherNonCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,trailingOperatingExpense,annualOtherNonCurrentAssets,annualDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlySaleOfInvestment,trailingCapitalExpenditure,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,trailingDeferredIncomeTax,annualCapitalExpenditure,annualChangesInAccountReceivables,quarterlyOperatingIncome,annualRepurchaseOfCapitalStock,trailingInterestExpense,trailingNetIncomeContinuousOperations,annualCurrentAssets,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,annualDilutedEPS,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,annualCurrentAccruedExpenses,annualNetOtherFinancingCharges,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualBasicAverageShares,trailingNetOtherFinancingCharges,quarterlyEbitda,quarterlyNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,annualInterestExpense,annualRepaymentOfDebt,quarterlyChangeInInventory,trailingResearchAndDevelopment,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,trailingRepurchaseOfCapitalStock,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualTotalNonCurrentAssets,quarterlyOperatingExpense,quarterlyCurrentAssets,annualResearchAndDevelopment,quarterlyOtherNonCashItems,annualOtherCurrentAssets,quarterlyCurrentDeferredRevenue,annualGrossProfit,quarterlySellingGeneralAndAdministration,annualChangeInWorkingCapital,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,trailingCostOfRevenue,quarterlyPretaxIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInInventory,quarterlyTotalRevenue,trailingDepreciationAndAmortization,annualNetIncomeContinuousOperations,trailingTaxProvision,annualDilutedAverageShares,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,annualCurrentDeferredRevenue,trailingOtherNonCashItems,annualCashDividendsPaid,quarterlyBasicEPS,annualPurchaseOfBusiness,annualBeginningCashPosition,annualCostOfRevenue,annualNetIncome,annualFreeCashFlow,annualCurrentDebt,trailingChangeInInventory,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,trailingSaleOfInvestment,quarterlyInvestmentsAndAdvances,trailingBasicEPS,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,trailingDilutedEPS,trailingDilutedAverageShares,trailingCommonStockIssuance,trailingChangeInAccountPayable,annualInvestmentsAndAdvances
1980-06-30,0.0,,,,,,,,,-1487000000.0,14600000.0,-297000000.0,,,4070000000.0,,2700000.0,123600000.0,3696000000.0,-1843000000.0,71400000.0,,34900000.0,,,,,,,,21200000.0,,118000000.0,24800000.0,,,,4973000000.0,-619000000.0,,,,,,,1800000.0,,11500000.0,38500000.0,11827000000.0,,700000.0,12700000.0,,174600000.0,,0.0,17300000.0,,,,,,15000000.0,0.014925,,,,-9824000000.0,0.0,25542000000.0,,,305000000.0,2422000000.0,,-3118000000.0,53200000.0,,,700000.0,,11300000.0,,,,4181000000.0,341000000.0,0.0,,,,,,4930000000.0,7646000000.0,1200000.0,,,39100000.0,,,,-926000000.0,-14700000.0,35600000.0,-348000000.0,,,,,676000000.0,3696000000.0,71200000.0,,,,0.014925,,2117000000.0,,,7200000.0,32600000.0,48727000.0,-69000000.0,,,3696000000.0,,,,2000000.0,,,1003000000.0,,,,,-1500000000.0,,4047000000.0,52400000.0,,,,,900000.0,,50600000.0,,,4100000.0,52200000.0,,,,,,13715000000.0,,,,,2277000000.0,7200000.0,374000000.0,48727000.0,,,,,449000000.0,,,,0.0,124000000.0,7200000.0,0.0,2300000.0,,,,,,,,,,,,,,,
1980-12-31,0.0,,,,,,,,,,44900000.0,,,,,,2800000.0,160200000.0,,,75800000.0,,36700000.0,,,,,,,,24200000.0,,,28200000.0,,,,,,,,,,,,2200000.0,,11600000.0,44200000.0,,,22200000.0,14600000.0,,187300000.0,,0.0,47700000.0,,,,,,16900000.0,0.013169,,,,,0.0,,,,,,,,63900000.0,,,22200000.0,,11600000.0,,,,,,0.0,,,,,,,,2300000.0,,,43800000.0,,,,,-19700000.0,38500000.0,,,,,,,,99100000.0,,,,0.013169,,,,,7600000.0,35100000.0,48048000.0,,,,,,,,2200000.0,,,,,,,,,,,61100000.0,,,,,2700000.0,,55400000.0,,,4000000.0,84400000.0,,,,,,,,,,,,7600000.0,,48048000.0,,,,,,,,,0.0,131900000.0,7600000.0,0.0,1600000.0,,,,,,,,,,,,,,,
1981-12-31,0.0,,,,,,,,,,45900000.0,,,,,,7000000.0,188900000.0,,,84500000.0,,48700000.0,,,,,,,,27700000.0,,,37100000.0,,,,,,,,,,,,4500000.0,,15000000.0,49800000.0,,,3500000.0,34200000.0,,230900000.0,,0.0,55700000.0,,,,,,20500000.0,0.015802,,,,,0.0,,,,,,,,71100000.0,,,3500000.0,,15100000.0,,,,,,2800000.0,,,,,,,,3900000.0,,,57800000.0,,,,,-21300000.0,52300000.0,,,,,,,,101000000.0,,,,0.015802,,,,,8900000.0,44900000.0,49966000.0,,,,,,,,4500000.0,,,,,,,,,,,87900000.0,,,,,2000000.0,,72800000.0,,,6200000.0,104400000.0,,,,,,,,,,,,8900000.0,,49966000.0,,,,,,,,,0.0,158100000.0,8900000.0,0.0,3800000.0,,,,,,,,,,,,,,,
1982-12-31,0.0,,,,,,,,,,45600000.0,,,,,,8000000.0,168700000.0,,,78100000.0,,34300000.0,,,,,,,,25700000.0,,,39700000.0,,,,,,,,,,,,2100000.0,,6300000.0,48000000.0,,,9400000.0,34200000.0,,217200000.0,,0.0,56300000.0,,,,,,12600000.0,0.00439,,,,,0.0,,,,,,,,73700000.0,,,9400000.0,,3500000.0,,,,,,2700000.0,,,,,,,,8000000.0,,,59900000.0,,,,,-25700000.0,53600000.0,,,,,,,,78500000.0,,,,0.00439,,,,,2600000.0,30800000.0,44562000.0,,,,,,,,4800000.0,,,,,,,,,,,90200000.0,,,,,1400000.0,,66200000.0,,,900000.0,90600000.0,,,,,,,,,,,,2600000.0,,44562000.0,,,,,,,,,0.0,151000000.0,2600000.0,0.0,3500000.0,,,,,,,,,,,,,,,
1983-12-31,0.0,,,,,,,,,,47700000.0,,,,,,8100000.0,181400000.0,,,79000000.0,,42900000.0,,,,,,,,26900000.0,,,39700000.0,,,,,,,,,,,,4800000.0,,200000.0,45200000.0,,,16200000.0,35400000.0,,181900000.0,,0.0,59500000.0,,,,,,7200000.0,0.000878,,,,,0.0,,,,,,,,73200000.0,,,16200000.0,,200000.0,,,,,,3700000.0,,,,,,,,12400000.0,,,55500000.0,,,,,-28000000.0,48500000.0,,,,,,,,88400000.0,,,,0.000878,,,,,100000.0,37200000.0,45699000.0,,,,,,,,4800000.0,,,,,,,,,,,93000000.0,,,,,1400000.0,,55700000.0,,,100000.0,102400000.0,,,,,,,,,,,,100000.0,,45699000.0,,,,,,,,,0.0,126200000.0,100000.0,0.0,5700000.0,,,,,,,,,,,,,,,
1984-03-31,,,1200000.0,45699000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003951,45699000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52800000.0,,,,,,,,,,,,,,,,,52800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52800000.0,,,,,,,,,,,0.003951,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,1500000.0,45699000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003951,45699000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56700000.0,,,,,,,,,,,,,,,,,56700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56700000.0,,,,,,,,,,,0.003951,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,1600000.0,45733000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003951,45733000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60800000.0,,,,,,,,,,,,,,,,,60800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60800000.0,,,,,,,,,,,0.003951,,,,,,,,,,,,,,,,,,,,,
1984-12-31,0.0,,1900000.0,,,,,4600000.0,19900000.0,,44100000.0,,,50200000.0,,,5800000.0,194100000.0,,,84200000.0,,55400000.0,,,,29100000.0,,,,29100000.0,,,45800000.0,44100000.0,5800000.0,,,,,,,,,,400000.0,,10600000.0,44400000.0,,,11400000.0,26500000.0,,234900000.0,11400000.0,0.0,54500000.0,,11400000.0,,,,19200000.0,0.017119,,,,,0.0,,,,,,,,77600000.0,,5200000.0,11400000.0,,6200000.0,109900000.0,,,,,4600000.0,90800000.0,,26500000.0,194100000.0,77600000.0,,,19900000.0,,,57000000.0,,,,,-33200000.0,48400000.0,,,,-159800000.0,,,,103300000.0,1100000.0,,,0.017119,,,,,6100000.0,50200000.0,45834000.0,,-159800000.0,,,84200000.0,,,4900000.0,,,,,,,,,55400000.0,,90800000.0,,103300000.0,,,1100000.0,,67600000.0,,,100000.0,109900000.0,,45800000.0,44400000.0,,,,,54500000.0,,64500000.0,,6100000.0,,45834000.0,-33200000.0,,,,,,,,0.0,167300000.0,6100000.0,0.0,5200000.0,,,,,,,,,,,,,,,
1985-03-31,,,1900000.0,45834000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005267,45834000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000000.0,,,,,,,,,,,,,,,,,70000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000000.0,,,,,,,,,,,0.005267,,,,,,,,,,,,,,,,,,,,,
