date,trailingSellingGeneralAndAdministration,trailingNetOtherFinancingCharges,trailingBeginningCashPosition,trailingNetIncomeContinuousOperations,trailingFreeCashFlow,trailingOperatingCashFlow,trailingNetIncomeCommonStockholders,trailingTaxProvision,trailingDepreciationAndAmortization,trailingSaleOfInvestment,trailingOtherNonCashItems,trailingPurchaseOfBusiness,trailingPretaxIncome,trailingNetIncome,trailingCashDividendsPaid,trailingNetOtherInvestingChanges,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,trailingOtherIncomeExpense,trailingEndCashPosition,trailingPurchaseOfInvestment,trailingTotalRevenue,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,trailingInvestingCashFlow,trailingChangesInAccountReceivables,trailingResearchAndDevelopment,trailingCommonStockIssuance,trailingChangeInAccountPayable,trailingCashFlowFromContinuingFinancingActivities,trailingRepurchaseOfCapitalStock,trailingStockBasedCompensation,trailingGrossProfit,trailingDilutedEPS,trailingBasicEPS,trailingOperatingExpense,trailingDilutedAverageShares,trailingChangeInInventory,trailingCostOfRevenue,trailingInterestExpense,trailingDeferredIncomeTax,trailingBasicAverageShares,trailingOperatingIncome
2019-06-30,44934000000,19228000000,29712000000,26511000000,96262000000,100488000000.0,25948000000,2270000000,2170000000.0,324925000000,-1866000000.0,-12628000000,28781000000,25948000000,-10114000000,57539000000,-3910000000,7438000000.0,3148000000,38985000000,-400985000000,369412000000,-4226000000,9350000000,-101409000000,,,,,,,,,,,,,,,,,,
2019-09-30,45039000000,24363000000,25233000000,28812000000,101118000000,,28218000000,1506000000,,324986000000,,-10679000000,30318000000,28218000000,-12076000000,-268000000,-3910000000,,3260000000,34355000000,-406555000000,375090000000,-4085000000,9208000000,-104458000000,,,,,,,,,,,,,,,,,,
