date,trailingGrossProfit,trailingRepaymentOfDebt,trailingOperatingCashFlow,trailingNetIncomeCommonStockholders,trailingChangeInCashSupplementalAsReported,trailingDepreciationAndAmortization,trailingSellingGeneralAndAdministration,trailingCapitalExpenditure,trailingOperatingExpense,trailingOtherNonCashItems,trailingBeginningCashPosition,trailingCashDividendsPaid,trailingInterestExpense,trailingNetOtherFinancingCharges,trailingNetIncome,trailingNetIncomeContinuousOperations,trailingChangeInInventory,trailingFreeCashFlow,trailingChangeInWorkingCapital,trailingTotalRevenue,trailingResearchAndDevelopment,trailingCostOfRevenue,trailingCommonStockIssuance,trailingPurchaseOfInvestment,trailingOperatingIncome,trailingInvestingCashFlow,trailingEndCashPosition,trailingTaxProvision,trailingPretaxIncome,trailingSaleOfInvestment,trailingNetOtherInvestingChanges,trailingRepurchaseOfCapitalStock,trailingDeferredIncomeTax,trailingChangeInAccountPayable,trailingBasicEPS,trailingBasicAverageShares,trailingStockBasedCompensation,trailingChangesInAccountReceivables,trailingCashFlowFromContinuingFinancingActivities,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingOtherIncomeExpense,trailingDilutedAverageShares
2019-06-30,77159482000,-113297355000,-9098270000.0,18159428000,5129890000,9253953000.0,24979393000,-18217328000,44613324000,7830797000.0,90087764000,-12695435000,8355158000,23167559000,18159428000,19286710000,-57902002000.0,-27315598000,-49940249000.0,784037121000,14665273000,706877639000,4119710000.0,-27536586000,32546158000,-37678609000,94775254000,5018539000,24305249000,9193795000,2065304000,,,,,,,,,,,,
2019-09-30,80570387000,-109960038000,,19630852000,14304423000,,25673128000,-19453670000,46689363000,,85197319000,-12487282000,5869482000,36043136000,19630852000,20958701000,,-15728531000,,814468964000,16036716000,733898577000,,-33817381000,33881024000,-45621614000,98881809000,5241222000,26199923000,7853260000,-571600000,,,,,,,,,,,,
