date,trailingDepreciationAndAmortization,trailingChangeInInventory,trailingOtherNonCashItems,trailingCashDividendsPaid,trailingInterestExpense,trailingPurchaseOfInvestment,trailingBeginningCashPosition,trailingNetIncome,trailingInvestingCashFlow,trailingCapitalExpenditure,trailingOperatingExpense,trailingChangeInCashSupplementalAsReported,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,trailingNetOtherFinancingCharges,trailingResearchAndDevelopment,trailingGrossProfit,trailingEndCashPosition,trailingTaxProvision,trailingTotalRevenue,trailingCostOfRevenue,trailingOperatingIncome,trailingNetIncomeContinuousOperations,trailingFreeCashFlow,trailingSellingGeneralAndAdministration,trailingPretaxIncome,trailingNetOtherInvestingChanges,trailingSaleOfInvestment,trailingCommonStockIssuance,trailingOperatingCashFlow,trailingNetIncomeCommonStockholders,trailingRepurchaseOfCapitalStock,trailingDeferredIncomeTax,trailingChangeInAccountPayable,trailingBasicEPS,trailingBasicAverageShares,trailingStockBasedCompensation,trailingChangesInAccountReceivables,trailingCashFlowFromContinuingFinancingActivities,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingOtherIncomeExpense,trailingDilutedAverageShares
2019-06-30,10037593967.0,-5371848323.0,6541410603.0,-18893981017,13466241675,-14685182717,108651444166,20082331641,-60602373821,-45071001713,34811756318,-6477735203,-115382071279,-36504688733.0,16560091345,10462368417,65846488578,101457882110,4883604448,522765639249,456919150671,31034732260,21232443149,-42694885767,23008560525,26116047597,-2342891035,318965937,2401658977.0,2376115946.0,20082331641,,,,,,,,,,,,
2019-09-30,,,,-21632051704,10401818483,-14022494486,105769755348,20159953666,-55763352198,-45730806732,36014625619,6723449775,-123497474319,,27859429004,11951048825,67201603742,112106578355,4822171476,537013536630,469811932888,31186978123,21143803011,-44432385005,22707583380,25965974487,-2478903147,766515228,,,20159953666,,,,,,,,,,,,
